{'短评内容': '很好，开心来哟', '短评打分': 5}
{'短评内容': 'API测试 标准间\n\nAPI测试 标准间\n\nAPI测试 标准间', '短评打分': 5}
{'短评内容': 'API测试 标准房API测试 标准房API测试 标准房', '短评打分': 3}
{'短评内容': 'API测试 标准双人间 预付+双早', '短评打分': 5}
{'短评内容': '线上测试三', '短评打分': 5}
{'短评内容': '线上测试', '短评打分': 5}
{'短评内容': '其他测试', '短评打分': 5}
{'短评内容': '测试', '短评打分': 5}
{'短评内容': '其他测试', '短评打分': 4}
{'短评内容': '测试点评', '短评打分': 4}
{'短评内容': '二次匿名测试', '短评打分': 5}
{'短评内容': '测测测试试试', '短评打分': 5}
{'短评内容': '测测试试', '短评打分': 5}
{'短评内容': '测试下', '短评打分': 5}
{'短评内容': '测试商品，请勿下单~格林豪泰(北京西直河焦化厂地铁站快捷酒店) 特价标准房', '短评打分': 4}
{'短评内容': '5个出游类型测试', '短评打分': 4}
{'短评内容': '测试', '短评打分': 5}
{'短评内容': '测试一哈', '短评打分': 5}
{'短评内容': '测试测试测试', '短评打分': 3}
{'短评内容': '测试点评 啊 啊啊啊', '短评打分': 4}
{'短评内容': '我又来了哦哦哦', '短评打分': 4}
{'短评内容': '很好的一家酒店', '短评打分': 1}
{'短评内容': '体验很好啊耶耶', '短评打分': 1}
{'短评内容': '会哦跑活泼', '短评打分': 5}
{'短评内容': '好，不错', '短评打分': 5}
