{'短评内容': '早餐挺好的，适合带孩子，酒店位置好，有停车场', '短评打分': 5}
{'短评内容': '酒店位置好，有停车场，卫生干净', '短评打分': 5}
{'短评内容': '房间大，能见月亮岛景观，空气流通，明亮，热水好。设施陈旧，房间床旁间隙脏，踏脚线处才旧了，应再稍作修理会好很多，其它还好，特别要表场的是保洁阿姨很热情，主动帮助提行李到房间，介绍注意事项。已好久没见这么热心的人了，暖心！', '短评打分': 4}
{'短评内容': '经济实惠，干净，有停车场，鸭绿江边，很好。', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很一般，这样的房间价格太高了，性价比太差。', '短评打分': 3}
{'短评内容': '酒店位置很好，房间挺大，走廊装修的挺有趣的，没有一次性拖鞋，吹风机也没有。卫生还可以，无线网太慢，前台那几个女服务员服务态度真是一般，建议进行培训教育。', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '非常失败的一次住宿体验，以后不会在再住了，后悔！', '短评打分': 1}
{'短评内容': '挺好的 这个价位 空调不能自己设定', '短评打分': 5}
{'短评内容': '这个价格这样应该也不错了 WiFi比较慢 电视有的台信号不好 其他都好', '短评打分': 5}
{'短评内容': '经济型酒店', '短评打分': 4}
{'短评内容': '这此来房间内反锁和毛巾都换新了，卫生比之前好多了，前台服务态度好，房间电视台不多只有3个，无线网络超不好根本不能用，如果这两个问题能解决那就太好了。', '短评打分': 3}
