{'短评内容': '占地面积大，大厅空间也大，房间总体还不错，但看得出来装修很久了，个别地方的卫生做的不够好，还有提高空间', '短评打分': 4}
{'短评内容': '还可以 装修老旧了点 但是挺干净', '短评打分': 5}
{'短评内容': '三星老牌酒店吧', '短评打分': 3}
{'短评内容': '可', '短评打分': 4}
{'短评内容': '停车场挺大，房间内部设施比较旧。早餐还成，交通也还成。', '短评打分': 5}
{'短评内容': '基本满意', '短评打分': 4}
{'短评内容': '开始是木有热水  后来水都没有了  考研时去的 冬天 特别冷啊  不过服务还是不错的  环境也好  比较安静  周围也很方便', '短评打分': 4}
{'短评内容': '无比坚硬大套房 睡的那叫一个累 服务员态度很好', '短评打分': 3}
{'短评内容': '品牌酒店，值得信任！！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店设施陈旧，早餐时间太短。', '短评打分': 4}
{'短评内容': '不错的酒店，适合居住吧', '短评打分': 3}
{'短评内容': '已提前于昨天晚上入住了，环境不错，谢谢了!', '短评打分': 3}
{'短评内容': '位置不偏独门独院很清静', '短评打分': 3}
{'短评内容': '很干净，环境不错，服务也很好。只是明明定的一间大床的套间，却无故变成一个标间+一个小厅，不满中，，，', '短评打分': 5}
{'短评内容': '房间还可以，入住的人比较少，早点一般，太一般了，位置不错，出门有好多饭店，还有一大超市，宾馆自己的饭店可能根本就不营业，像快捷酒店', '短评打分': 5}
{'短评内容': '不錯', '短评打分': 3}
{'短评内容': '还算可以把，感觉跟本钢差不多，日落西山了，没什么人气', '短评打分': 5}
