{'短评内容': '周边环境很方便', '短评打分': 5}
{'短评内容': '这价位值了', '短评打分': 4}
{'短评内容': '电梯需要刷卡，感觉很安全。4楼房间有个小窗户通到天井，很安静。早餐住客20元，感觉该有的都有了。有免贵接送虹桥机场，很方便。', '短评打分': 5}
{'短评内容': '每次展会出差都住这边。', '短评打分': 5}
{'短评内容': '很好 超值 方便', '短评打分': 5}
{'短评内容': '性价比可以', '短评打分': 4}
{'短评内容': '很好很强大，很快很方便', '短评打分': 5}
{'短评内容': '和对象去旅游订的，锦江之星都是一样的，住过的都知道，干净满意', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '房间里面很干净，每天还都有清洁人员送矿泉水哈哈哈哈挺不错的，出大门口走几步有公交站交通方便，附近还有很多吃饭的地方～很棒棒哦推荐～', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '前台石先生解决开错发票问题很给力。不过，房间很小，而且转来转去很难找。早餐很少选择。但是附近吃饭很方便', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '不错。。。。。。。。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '多次住该酒店，感觉还可以', '短评打分': 3}
{'短评内容': '你爹了偷偷诺婆肉不错头目欧诺', '短评打分': 5}
{'短评内容': '挺好的，常住酒店之一', '短评打分': 5}
{'短评内容': '不错，干净', '短评打分': 5}
{'短评内容': '\r\n酒店还不错\r\n安静清洁', '短评打分': 3}
{'短评内容': '出行还算方便，就是位置有隐蔽，找了好一会才找到。\n电视机遥控不好用，调不好台。\n服务员态度很好，旁边就是家乐福，巴春，购物很方便。', '短评打分': 5}
{'短评内容': '安静，床舒服·························································································', '短评打分': 5}
{'短评内容': '坐公交到沪清平路之后走到一店去了，又走回去，才找到这个二店，建议在沪清平上一站就下车。\n周边游家乐福还有巴黎春天，想出去转转还可以坐公交去七宝。\n大厅有免费电脑可以用，服务很周到，可以借电吹风。\n房间很干净，有窗，离机场和车站很近，每半小时发一次车免费送到机场。加10块送到火车站。\n房间隔音效果不是很好，走廊的声音，隔壁的声音，还有飞机起降的声音都听得到。\n不过还是很满意的。 下次有机会到上海要走', '短评打分': 5}
