{'短评内容': '干净', '短评打分': 5}
{'短评内容': '无停车场', '短评打分': 5}
{'短评内容': '要特别特别好。', '短评打分': 5}
{'短评内容': '环境太闹了，晚上汽车声音太大，发票也没有，说好的寄过了几天也没收到，，，不知道还有启信没？', '短评打分': 3}
{'短评内容': '住店最差体验，有一说一，先是房卡没用，需要人手动开门，没错，就是拿一张可以开所有房门的卡去帮你开门，然后大清早起点没经过同意服务员直接刷卡进来了，，，然后退房的时候问我，为什么我拿的不是我对应房间的房卡，我是服气的，作为一个讲文明，懂礼貌的四号青年，我当然没有说什么了，我能和一个没脑子的人说什么？', '短评打分': 1}
{'短评内容': '还好吧，价格再低一点就好了', '短评打分': 5}
{'短评内容': '不错，环境可以，方便。。。。。。干净。', '短评打分': 5}
{'短评内容': '总体来说还不错', '短评打分': 5}
{'短评内容': '环境好，吃喝交通都方便。工作人员都很热情。', '短评打分': 5}
{'短评内容': '还不错，离景点近', '短评打分': 5}
{'短评内容': '非常干净', '短评打分': 5}
{'短评内容': '环境不错，服务很好', '短评打分': 5}
{'短评内容': '酒店还好吧', '短评打分': 5}
{'短评内容': '酒店前台工作人员态度非常恶劣～不想多说，很差', '短评打分': 2}
{'短评内容': '经济实惠，位置不错，下次还会住', '短评打分': 5}
{'短评内容': '好评！', '短评打分': 5}
{'短评内容': '带小朋友去华西二门诊看病的 挺近的 周边吃饭的地方很多 房间是临街的 还好玻璃够厚实 隔音不错 但是门的隔音效果却不行 外面汽车声音比较小 楼道里的人一点响动都听得到', '短评打分': 4}
{'短评内容': '房间还不错！就是门口在一个巷子里！感觉一般！', '短评打分': 5}
