{'短评内容': '房间不大，性价比一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置好。', '短评打分': 5}
{'短评内容': '一般吧！环境就那样', '短评打分': 4}
{'短评内容': '还房间是内窗...带小孩的建议问清楚...', '短评打分': 4}
{'短评内容': '天啦～人生的噩梦～办理入住退房速度很快～这个必须赞～床单被套是连锁酒店的标准~无功无过～主要是环境啊！环境啊！简直是噩梦～旁边是个巨大的城中村～人流吵杂不说～高音大喇叭动词打次动词打次～从早晨8点到晚上12点节假日无休啊～心脏病都要出来了～果断退房～', '短评打分': 2}
{'短评内容': '周边太吵了', '短评打分': 4}
{'短评内容': '房间环境不错，地理位置很便利', '短评打分': 5}
{'短评内容': '周边交通方便，环境还不错，就是房间了点', '短评打分': 5}
{'短评内容': '最差的一次住宿体验，房间隔音效果超级差，凌晨3，4点隔壁2男2女发神经吵架，导致一晚上失眠，打电话前台投诉，前台接通直接挂掉！！！最后忍无可忍亲自跑前台叫醒他投诉，隔壁还是不停讲话，一直持续到4点多，还是自己打他们房间电话投诉的。一晚上失眠睡不着了！', '短评打分': 1}
{'短评内容': '不怎么样', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '对面住了几户晚上不睡觉，早上起来就大声喧哗的不自觉的人，真心没睡好', '短评打分': 4}
{'短评内容': '环境还不错，小巧简朴，', '短评打分': 5}
{'短评内容': '环境不错，离世界之窗还算近，就是晚上不关窗楼下会很吵', '短评打分': 5}
{'短评内容': '出差来住的，正常的7天的水准。。', '短评打分': 5}
{'短评内容': '地铁站附近，房间狭小', '短评打分': 4}
