{'短评内容': '干净舒适 位置好 很不错的选择。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，便宜实惠，房间的板凳不太舒服，后靠背位置咯的腰疼', '短评打分': 5}
{'短评内容': '环境不错，房间也干净，就是早点太差-推荐。。。。。。 ', '短评打分': 5}
{'短评内容': '环境不错，房间也干净，家具业优，推荐。。。。。。', '短评打分': 5}
{'短评内容': '添加方便面及饮料', '短评打分': 3}
{'短评内容': '去了很多次，觉得很干净，早餐清单充实，这个钱花的很值！  ', '短评打分': 5}
{'短评内容': '欧式典雅；干净；早中晚餐不错；在中心北路津塘公路路口北100米，对于外地开车过来的，交通比较便利（得提前研究路线，建议酒店多作说明）。', '短评打分': 5}
{'短评内容': '设施很新，位置非常好，对面还有个大超市和海鲜城，下次还选这家！呵呵', '短评打分': 3}
{'短评内容': '光纤宽带+中央空调，足够推荐理由了，就是餐厅一般 菜种类太少', '短评打分': 5}
{'短评内容': '实地看了很多酒店，最后选择了这一家酒店，原因主要是这边比较干净，而且地毯什么的都不错，整个装修风格也比较现代，有一点欧式风格，而且交通非常的方便，无论是去开发区还是去海河边上。我选了一个商务套房加一个标准间，中间我需要很多特殊的东西，而且需要对房间进行美化布局，无论是服务员还是经理都是尽力满足，态度都很好，中间不小心把一个其实内部已经损坏不小的金属给弄断了，宾馆鉴定了以后认为不是我们的问题也没有让', '短评打分': 5}
{'短评内容': '整体感觉不错，干净舒适，暖风也不错。早点也好吃！', '短评打分': 3}
{'短评内容': '干净但房间小', '短评打分': 3}
{'短评内容': '位置离洋货和轻轨站都很近，房间干净，值得推荐的酒店', '短评打分': 5}
{'短评内容': '交通方便,对面就是洋货市场,公交轻轨都很方便乘坐.缺点是靠近马路边的房间比较吵,影响睡眠质量.', '短评打分': 5}
{'短评内容': '位置环境都不错。因为是2010年新开的，设备新。很满意。', '短评打分': 3}
{'短评内容': '酒店的地理位置比较好，就在洋货市场正对面，很方便，宾馆房间不大，但是床大啊，还有比较干净。还不错。就是我再网上订的是210元，为什么去了之后我看到挂牌价有的是198元啊，这点我觉得比较恶心，网上预订应该更优惠一点不是么。', '短评打分': 5}
{'短评内容': '酒店位置很好  过马路就进洋货市场  酒店不大但很干净  小两口住在此特安逸  有家的感觉  服务员很随和  早餐安排很好  总的印象不错    建议：备一些三项插头转换器   还有就是手纸我个人觉得不应该在收费', '短评打分': 5}
{'短评内容': '干净,清爽,实惠,很满意,在洋货市场西门,离轻轨站近,以后还住这里', '短评打分': 3}
{'短评内容': '交通方便，对面就是洋货市场，离轻轨站大概走10分钟。外面吃饭也很方便。房间也算干净，房间面积不大，属于经济型酒店。价格不算贵，200元左右一晚上。会推荐同事或者朋友入住。', '短评打分': 5}
{'短评内容': '环境、卫生、服务都很好，以后还是会选择华颐宾馆的', '短评打分': 5}
{'短评内容': '餐厅菜样式比较少 服务也一般，其他都非常好', '短评打分': 5}
{'短评内容': '酒店比较干净，对面即是洋货街。唯一不足的是儿童早餐居然不免费，要10块钱，有点贵。', '短评打分': 5}
{'短评内容': '中央空调+光纤宽带，难得的好酒店，就是房间板凳的靠背不太舒服', '短评打分': 5}
{'短评内容': '酒店不错~性价比挺高，就是房间有些潮湿不知道是什么原因。', '短评打分': 5}
{'短评内容': '去年新装修的，很干净，离洋货市场很近，打开窗户就可以看到。', '短评打分': 5}
{'短评内容': '酒店整体还是不错的，住了两晚唯一的遗憾就是没吃下他们的早餐，不知咋样，呵呵，周围的环境还可以，吃的喝的，玩的还是蛮全的', '短评打分': 5}
{'短评内容': '干净小巧，地理位子很好，正对着洋货市场，周边吃饭也很方便。', '短评打分': 5}
{'短评内容': '环境很整洁，比较干净，早点有些简单,酒店服务人员态度不错。', '短评打分': 5}
{'短评内容': '不错的酒店，面对洋货步行街，早餐还可以，性价比不错。对面的驴肉火烧也不错。', '短评打分': 5}
{'短评内容': '酒店还算说得过去，就是早餐时间太短，要是推迟到10点就好了。', '短评打分': 5}
{'短评内容': '干净整洁，交通便利，对面就是塘沽洋货市场，不错....', '短评打分': 5}
{'短评内容': '房间很干净就是格局稍显拥挤但是交通很方便', '短评打分': 3}
{'短评内容': '地理位置不错，洋货市场对面，很多商场饭店。酒店干净整洁，唯一不足是没有吹风机', '短评打分': 5}
{'短评内容': '酒店位置很好 设施完善 性价比超值  卫生条件良好  给我的感觉很舒适 有机会去的话还订他家。', '短评打分': 5}
{'短评内容': '环境挺好，出路挺方便', '短评打分': 3}
{'短评内容': '服务态度好，位置便利。很干净，很清静，美中不足早餐质量一般。', '短评打分': 5}
{'短评内容': '住的是不临街的大床房，房间设施很新，很干净，床很大，很舒服！24小时热水温度很好！\n存在不足：一是烧开水的九阳牌电热水壶不能把水烧开，二是中央空调噪音太大。', '短评打分': 5}
{'短评内容': '是家新开的酒店 位置不错离轻轨站很近 房间装修很新 不过就是临街 有点吵', '短评打分': 5}
{'短评内容': '酒店没有过人之处，但服务员很热情，房间很整洁。只是马路对面的洋货市场，有些嘈杂。', '短评打分': 5}
{'短评内容': '酒店环境可以，就是早晨还要等酒店员工吃完，才是顾客。早晨那个简单简直没法吃的早晨。', '短评打分': 1}
{'短评内容': '本酒店干净明亮，周边设施齐全，非常舒适，周边有海鲜特色的餐饮，权金城等', '短评打分': 5}
