{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '几年前住过还行，现在真是，，，真的该重装了', '短评打分': 2}
{'短评内容': '        无早餐，不能加床，无停车场，卫生间太小，无毛巾浴巾洗澡不方便，卫生堪忧。         我网定住2天缴房费2天计356元，因为卫生条件太差洗澡不方便住了一天要求退房，结果1天的房费178元不给退，协商很久也不退，最后我损失178元房费也不住了，不说了，上图', '短评打分': 1}
{'短评内容': '感觉还行吧', '短评打分': 5}
{'短评内容': '差的不能再差了  有史以来住的最垃圾的地方  不建议大家入住   连床单都感觉不是新的 洗也没洗干净  总之一句话 太差', '短评打分': 1}
{'短评内容': '不错挺干净的', '短评打分': 5}
{'短评内容': '环境好。很不错', '短评打分': 5}
{'短评内容': '还好，小四合院内。', '短评打分': 5}
{'短评内容': '小平房', '短评打分': 1}
{'短评内容': '床单被罩很干净，就是卫生间的设施比较差，不过这个价格还是可以的，老板人不错，位置在一个小区里，不太好找。', '短评打分': 5}
{'短评内容': '挺好…', '短评打分': 5}
{'短评内容': '卫生间无排气扇,无后窗,屋内有点憋闷。', '短评打分': 3}
{'短评内容': '很满意！', '短评打分': 5}
{'短评内容': '太差了，差差差差差差差差差差太太差了。', '短评打分': 3}
{'短评内容': '正式名称:北京美庐乡村旅馆。说宾馆实是误导人', '短评打分': 2}
{'短评内容': '一般……………………', '短评打分': 3}
{'短评内容': '很棒的地方，独立卫浴，热水很方便。很安静，卫生也不错。隔音不是很好，但也还好。有机会再去的话还是会选择住这里。还有一点……早上退房的时候，值夜班的大妈态度不是很好……', '短评打分': 3}
