{'短评内容': '这个酒店比较破旧了，比其他全季酒店整体环境差很多了。', '短评打分': 5}
{'短评内容': '有点吵，房间特别小', '短评打分': 2}
{'短评内容': '整体感觉还行', '短评打分': 5}
{'短评内容': '同事们住过浦东全季酒店。评价非常好。。这次到虹桥这边参加展会，指定全季酒店。好吧，选啊选，给他们选了最靠近展会的全季。  我真傻啊。居然没看评论，只看位置。。。。结果同事回来后，差评差评差评啊。。。500多的房间，非常不值。。早晨也烂。。。我和同事都百思不得其解，都是全季酒店，一个城市的，怎么差距那么大。。。。再跑回来看 其他用户点评，，，我晕啊。真是亮瞎我的钛合金狗眼！再看小照片居然是 汉庭.全', '短评打分': 2}
{'短评内容': '同事们住过浦东全季酒店。评价非常好。。这次到虹桥这边参加展会，指定全季酒店。好吧，选啊选，给他们选了最靠近展会的全季。  我真傻啊。居然没看评论，只看位置。。。。结果同事回来后，差评差评差评啊。。。500多的房间，非常不值。。早晨也烂。。。我和同事都百思不得其解，都是全季酒店，一个城市的，怎么差距那么大。。。。再跑回来看 其他用户点评，，，我晕啊。真是亮瞎我的钛合金狗眼！再看小照片居然是 汉庭.全', '短评打分': 2}
{'短评内容': '还行吧，房间环境一般', '短评打分': 4}
{'短评内容': '嗯 很好', '短评打分': 5}
{'短评内容': '虽然在静安区，条件算不得多好，晚上空调声特别大', '短评打分': 5}
{'短评内容': '不错&hellip;&hellip;', '短评打分': 5}
{'短评内容': '还行吧，就是有时候价格不一样', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '送个针线到离店时也没见到针线的影子，退房时服务小姐爱搭不理', '短评打分': 5}
{'短评内容': '复式楼满意', '短评打分': 5}
{'短评内容': '位置好，loft住起来能冲淡出差的枯燥感觉。', '短评打分': 4}
{'短评内容': '带女儿去上海玩住的这个酒店 每次都住的复式大床房 孩子喜欢有楼梯可以爬上爬下 和小地方比这个价格这个房间确实比较差 但在上海 而且这么好的地段应该算还可以的吧', '短评打分': 3}
{'短评内容': '不错啊，很干净', '短评打分': 5}
{'短评内容': '复式不方便。快捷酒店形式。本人不喜欢。', '短评打分': 3}
{'短评内容': '图片与实物不符！房间比较压抑！', '短评打分': 3}
{'短评内容': '酒店位置不错，价格小贵。', '短评打分': 5}
{'短评内容': '一 旧了…', '短评打分': 4}
{'短评内容': '房间较小… 与网络上描述得21-44平米又差异…', '短评打分': 4}
{'短评内容': '还不错的酒店，位置很好。', '短评打分': 4}
{'短评内容': '位置很好，地铁近，市中心，去哪都方便，静安寺步行5分钟即到。', '短评打分': 3}
{'短评内容': '交通,吃饭,购物都很方便,酒店服务中规中矩,房间内设施都还可以', '短评打分': 5}
{'短评内容': '在静安寺这样的地方，属于性价比较高的了，复式房，因为层不高，楼上有点低矮，楼下是沐浴房和客厅，楼上楼下各有一沙发，倒是很新，地段是没得说了，出门就是四通八达的，附近也有美食，还是很不错的。', '短评打分': 5}
{'短评内容': '酒店是旧住宅楼改建成的，复式房没想象的好，上下楼梯整个楼都在震，但是还算干净，这个位置这个价格还算可以，以后不会再住这了', '短评打分': 1}
{'短评内容': '非常好，复层房，很温馨、很浪漫。市中心价格合适，出行方便', '短评打分': 5}
{'短评内容': '设施非常新，出入方便，房间非常大，性价比高！', '短评打分': 5}
{'短评内容': 'very nice place at convienent location', '短评打分': 5}
{'短评内容': ' 酒店很新。很干净', '短评打分': 3}
{'短评内容': '房间很好。就是晚上房间里即使关了空调也有抽风机的响声，影响睡眠', '短评打分': 3}
{'短评内容': '总体来说还好，服务周到，干净，但临街的房间隔音较差，建议改进。', '短评打分': 5}
{'短评内容': '地理位置好，交通比较方便。其他方面毕竟是经济型酒店，也没那么多要求，总的来说还可以。', '短评打分': 5}
{'短评内容': '还是第一次住复式的酒店，楼下好像是个小办公室。不错。只是，晚上去卫生间还要下楼，有点不适应。服务员的技能还有待提高。但整体设施不错。早餐不太好，建议出去到街上解决。有很多餐厅还有面包房。 ', '短评打分': 5}
{'短评内容': '还不错，下次过去应该还会住这边的，地铁静安寺站就在附近，出行很方便。吃的喝的也都有，就是不包早餐比较讨厌。另外酒店的卫生情况有待加强，通风系统管道里边很脏的，都吹到房间里来了。还有被套上粘了一些细细的黑色的小毛屑，挺讨厌的', '短评打分': 5}
{'短评内容': '简直让人喜出望外，在静安寺这样的地段能够订到汉庭全季的特价房，越层式，床很软，卫生间非常宽敞。不足的是，有一只茶水杯工作人员没有清洗过就放着了。', '短评打分': 5}
{'短评内容': '非常好，交通方便，服务没的说。房间很舒服，还是跃层的。。以后还会选这家', '短评打分': 5}
{'短评内容': '酒店位置很好 离地铁近 环境也不错', '短评打分': 3}
{'短评内容': '非常好，交通方便，离地铁2号线7号线非常近，周围购物餐饮都很到位，下次还入住。', '短评打分': 5}
{'短评内容': '交通方便，服务温馨，房间很好，床很大。不知道为什么给了我一间复式的房间，我在楼下吃饭。楼上休息，感觉很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
