{'descr': '基本都还可以，就是网上预定没有早餐就不合适了', 'star': 5}
{'descr': '酒店格局小', 'star': 5}
{'descr': '非常', 'star': 5}
{'descr': '最近在装修，', 'star': 5}
{'descr': '位置很方便', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '，，，，，。，，，，', 'star': 5}
{'descr': '干净卫生，满意', 'star': 5}
{'descr': '就还可以吧，嗯哼～', 'star': 5}
{'descr': '还算可以吧，毕竟价钱不高，而且廊坊确实也没有太好的酒店。', 'star': 4}
{'descr': '环境卫生好，价格适合', 'star': 5}
{'descr': '酒店很差，订房间是高层，入住是1层，电视没有图像，房间没有网络，服务态度不好', 'star': 1}
{'descr': '周围噪声太大，玻璃不隔音！', 'star': 3}
{'descr': '挺安静的，房间设施淋雨头老了。', 'star': 5}
{'descr': '房间干净，交通方便。', 'star': 3}
{'descr': '交通方便，还不错，有早餐', 'star': 3}
{'descr': '服务态度很好，退房速度快', 'star': 5}
{'descr': '还不错，团购很方便，其实旁边还有个百元快捷酒店，可以在美团上团购，比这个更优惠啊，廊坊的酒店价格都不贵，这个距离新朝阳很近，金光道上，很不错了', 'star': 3}
{'descr': '很不错啊，两个人住的双床房，很舒服', 'star': 3}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '餐饮只能去南侧的人人乐附近。北边少有吃饭的地方。', 'star': 4}
{'descr': '门口免费停车。车位充足。', 'star': 5}
{'descr': '门口免费停车。车位充足。', 'star': 5}
{'descr': '门口免费停车。', 'star': 5}
{'descr': '房间干净，舒适。', 'star': 5}
{'descr': '早餐不够丰富。水果品种单一。', 'star': 4}
{'descr': '早餐不够丰富。水果品种单一。', 'star': 4}
{'descr': '服务不错，空调有问题，不制热。早餐凑合吃，不能要求太高', 'star': 4}
{'descr': '价格还行，含早餐，虽然早餐一直一个样', 'star': 4}
{'descr': '价格还行，含早餐，虽然早餐一直一个样', 'star': 4}
{'descr': '酒店挺好，不过京东就比较坑了，说好7天返积分，这都半个多月了。在不停的和客服扯淡后才给发', 'star': 5}
{'descr': '每次出差都住这里，服务不错，房间略小，早餐基本上就那几样，没啥变化', 'star': 5}
{'descr': '还不错吧，地方好找，挺干净', 'star': 5}
{'descr': '不实在京东的预订都不给确认', 'star': 5}
{'descr': '还不错，每次出差都住这。服务还不错，就是房间略小一点', 'star': 5}
{'descr': '汉庭不错设备服务都不错', 'star': 5}
{'descr': '到店后居然查不到订单，给前台的人出示了短信，汉庭的人才自己做成京东的订单的……\r\n悲剧啊', 'star': 4}
{'descr': ' 价格稍贵，服务可以', 'star': 3}
{'descr': '干净，卫生，地点也很好找。推荐', 'star': 3}
{'descr': '酒店还算可以 没什么大的问题 总体说的过去 ', 'star': 5}
{'descr': ' 这家还不错！', 'star': 3}
{'descr': ' 住的安静，感到很温馨。', 'star': 3}
{'descr': '酒店干净，环境安静，停车较方便，周围吃饭很方便。', 'star': 3}
{'descr': '酒店位置好找，又处于北京后海附近，吃住玩都挺方便，价位也合理，值得再次入住', 'star': 5}
{'descr': '还好吧，就是隔音效果不太好，晚上有发卡片的，电视收的太太少了', 'star': 5}
{'descr': '地理位置不错，环境还可以，出行比较方便，总体不错', 'star': 5}
{'descr': '这次住的房间靠着马路边，隔音不好，其他的还是可以！', 'star': 5}
{'descr': '位置比较难找,在居民区中,停车位难找.\n房间还可以,服务还中规中矩.', 'star': 1}
{'descr': '很好，很干净，离超市也不远，值得来看看！！！', 'star': 5}
{'descr': '临近鼓楼。交通十分便利。客房干净舒适。相对其他如家已经算相对好的了。服务员态度也特别热情，每次见面都打招呼。但就是一层尽头的双床房临近餐厅，噪声较大。希望注意一下~', 'star': 5}
{'descr': '价格还算合理公道，起码在北京已经很不错了。美中不足的是厕所有点差，天花板有几块砖有点翘角。入住第一天发现塑料拖鞋上居然还有大概是上一位住客留下的头发！这点需要改进。\n\n--------------------------------------------------------------------------------\n-----------------------------------', 'star': 5}
{'descr': '就是住住！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '双人间房间太小了,卫生还可以,地理位置不错,服务一般.', 'star': 5}
{'descr': '位置不错，环境安静，汉庭一贯风格，推荐入住', 'star': 5}
{'descr': '位置不太好找，但是很僻静，不远就是美食街，服务很好！', 'star': 5}
{'descr': '地点离地铁站很远，而且不好找。服务人员明显不够，但是态度很比较热情。', 'star': 1}
{'descr': '房间干净，服务态度热情，周边环境很方便，有很多吃饭的地方。', 'star': 5}
{'descr': '吃饭不是很方便 别的都还好 吃饭不是很方便 别的都还好 ', 'star': 5}
{'descr': '楼下可以免费喝三杯咖啡 茶 奶 很好 就是隔音有点不好 浴室的设计很独特', 'star': 5}
{'descr': '快捷酒店，安静，卫生，价格合理，我是第二天去八达领，附近坐车很方便', 'star': 5}
{'descr': '服务态度很好，很有礼貌，很热心告知你要去的路线。最开始住238，每天被食堂吵死了，早上6点打电话给前台帮我们换了房间。', 'star': 5}
{'descr': '前台人员少，结帐有点慢，三楼房间好一些', 'star': 3}
{'descr': '二环附近，方便去八达岭长城、十三陵，房间还干净。', 'star': 5}
{'descr': '推荐 房间虽小 设施很全 服务态度很好 就是刚进房间的时候有点味道 性价比较高', 'star': 3}
{'descr': '总体一般，价格较为经济合算，出行方便. 适合要求不太高的', 'star': 5}
{'descr': '卫生很好，但是空调声音大了点。', 'star': 3}
{'descr': '该酒店服务温馨、周到！', 'star': 3}
{'descr': '总体来说性价比不是很高，房间超小。但是还算干净，服务很用心，但是需要改进的地方还有很多。', 'star': 5}
{'descr': '已经很多次选择，主要是离我们办事处比较近，但是服务前台的态度不是很好', 'star': 5}
{'descr': '酒店服务很好', 'star': 3}
{'descr': '干净舒适，早餐可口，交通方便，下次还会过来！', 'star': 3}
{'descr': '房间小，吃饭过条马路小饭馆还很多。距离市中心近', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '服务还不错,位置不好找,在居民区里面', 'star': 3}
{'descr': '如家不错，房间干净，而且服务态度很好，房间这个时候很暖和', 'star': 5}
