{'短评内容': '新装修，挺漂亮', '短评打分': 5}
{'短评内容': '环境正体不错，交通 购物便利。', '短评打分': 5}
{'短评内容': '不错 干净便宜', '短评打分': 5}
{'短评内容': '还不错，价格较低', '短评打分': 5}
{'短评内容': '环境一般般，前台服务态度不好！', '短评打分': 5}
{'短评内容': '房间有一股发霉的味道也没有垃圾桶，顶上还有蜘蛛网，价格放在那没啥好说了。', '短评打分': 4}
{'短评内容': '商务出差住还行', '短评打分': 3}
{'短评内容': '99的价格，99的房间。预期不高，所以恰如其分了', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '价格比较便宜，位置比较偏，房间味道有点大，里面光线不怎么好，在里面比较阴暗。总的来说还可以吧，房间干净度还是可以的。', '短评打分': 4}
{'短评内容': '有点吵，但就是好在够便宜，对面又有卜峰莲花，KFC，出门就有公交车站，方便', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '没什么', '短评打分': 3}
{'短评内容': '进去的时候有很大的味，通了风就好多了。没窗户', '短评打分': 4}
{'短评内容': '酒店的设施很简约，前台也比较小清新，挺好', '短评打分': 5}
{'短评内容': '比我之前去过的其他酒店还便宜，里边环境很好，很干净', '短评打分': 5}
{'短评内容': '很好 服务也不错 很好 服务也不错 很好 服务也不错 很好 服务也不错 ', '短评打分': 5}
{'短评内容': '恩。总体还不错，一次性牙刷牙膏拖鞋 =3块钱', '短评打分': 5}
{'短评内容': '环境什么的都不错！只可惜没一次性物品···不过这个价钱值了！', '短评打分': 5}
{'短评内容': '挺好的实惠', '短评打分': 3}
{'短评内容': '不错，一贯整洁，干净，空间相对其他分店相对较大，网速快', '短评打分': 5}
{'短评内容': '酒店环境很好，房间也挺大的，很干净。装修也很特别。', '短评打分': 5}
{'短评内容': '第二天入住了，因为这个地方，从汕头汽运总站过去可以直接搭28路公交车', '短评打分': 5}
{'短评内容': '房间小了点，也没有提供一次性用品，但出门在外，会这个价格图个安静与干净，不是嘛', '短评打分': 5}
{'短评内容': '很干净，超值，物有所值，但酒店床单被罩不是天天换！', '短评打分': 5}
{'短评内容': '各方面都挺好的，性价比高，只是网速比较慢', '短评打分': 5}
{'短评内容': '各方面都挺好的，就是网速有点不太给力····', '短评打分': 5}
{'短评内容': '很好！只是代金卷不知道能用不，等会退房的时候问问', '短评打分': 3}
{'短评内容': '不错，很好～就是隔音效果差', '短评打分': 3}
{'短评内容': '性价比不错！值得推荐，我朋友过去住过，不错，周边环境不错，购物方便。', '短评打分': 5}
{'短评内容': '感觉挺不错的，蛮温馨的，不过房间里就是没有配牙膏和牙刷啊', '短评打分': 5}
{'短评内容': '房间总体来说还算可以，比较简洁，不过有点闷。设计很年轻化.富有浪漫情调。没WIFI，上网不是很方便。个人觉得还还是不错，性价比比较高，有机会还会去。。', '短评打分': 5}
{'短评内容': '隔音效果不好！其他还不错', '短评打分': 3}
