{'短评内容': '房间很整洁，新装修的，周边吃饭的地方也多，楼下就是公交站又方便', '短评打分': 5}
{'短评内容': '确实很一般。而且比较吵。携程预订，还不欢迎', '短评打分': 2}
{'短评内容': '总体感觉很好，服务生态度热情，设施还可以，房间很干净。酒店位置在商业区，购物非常方便，吃的地方也有很多选择，出行打的，坐车都很容易，值得向朋友推荐。  ', '短评打分': 5}
{'短评内容': '携程确认后到达宾馆，老板说没房间，要求加钱升级！天空下着大雨无奈被迫接受！没有诚信的商家', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以  价格也很便宜  值得去', '短评打分': 5}
{'短评内容': '好哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '价格低廉，房间卫生非常差，接待员挺和蔼，服务挺满意的。', '短评打分': 2}
{'短评内容': '就这个地段，应该来说服务和设施还是和价格匹配的', '短评打分': 4}
{'短评内容': '没想到携程网上还推荐如此糟糕的酒店： 1，房间有异味，必须把窗一直开着。 2，付了三晚的费用，但是第三天提前退房（下午18:00以前），女老板竟然不退还第三天的半天房费。  希望携程网推荐的酒店能去实际地点做些暗访，推荐一些值得信赖的酒店，即使价廉（这家酒店标准价格238元一晚，不便宜），基本的卫生条件和服务还是必须要。  以后还能相信携程的推荐吗？？？', '短评打分': 2}
{'短评内容': '床头连个插座都没有，手机充电麻烦。差评。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧，主要价格实惠，其它就可以将就一下了', '短评打分': 3}
{'短评内容': '还行吧，主要价格实惠，其它就可以将就一下了', '短评打分': 3}
{'短评内容': '房间很一般，比较旧，位置还不错的，周围吃饭的地方很多', '短评打分': 3}
{'短评内容': '一般般吧 价钱在这儿也不能要求太高 还行', '短评打分': 4}
{'短评内容': '前台小姑娘服务态度很好，这次又预定', '短评打分': 5}
{'短评内容': '设施相对比较简陋，如果要求不是很高的话可以尝试一下，毕竟价格还是挺实惠的。', '短评打分': 5}
{'短评内容': '门脸比较小,不过房间还不错。', '短评打分': 3}
{'短评内容': '差不多吧', '短评打分': 3}
{'短评内容': '唯一的优点就是便宜…', '短评打分': 3}
