{'短评内容': '设施陈旧，空气略差。', '短评打分': 2}
{'短评内容': '年代太久了，比较旧。最关键是中央空调坏的', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '听名字就吓人，门口有很大的停车位，也有接送车到门口的道路，十足星级酒店的规划，大厅也很大，装修就一般，房间也比较久，气味大，我是听酒店的名字有气派也订的房间', '短评打分': 3}
{'短评内容': '装修比较老，电视机还是显像管的，住的蛮舒服，就是中央空调没开早上看才16℃还好没冻出病', '短评打分': 4}
{'短评内容': '不值这个价格', '短评打分': 3}
{'短评内容': '酒店太旧，网上订了到酒店后无法入住，酒店要求到店付现，网上付款还没有退回。', '短评打分': 3}
{'短评内容': '只能说一般。', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '太老了', '短评打分': 3}
{'短评内容': '一般 网络都没有', '短评打分': 3}
{'短评内容': '酒店一般', '短评打分': 3}
{'短评内容': '有些贵 上下层 环境还好吧 。。', '短评打分': 5}
{'短评内容': '不错，很方便，很气派，', '短评打分': 5}
{'短评内容': '太脏了 千万不要住了 没有一样东西干净 太老了', '短评打分': 1}
{'短评内容': '在鹰潭这个酒店算可以了，就是酒店的牙膏牙刷应该换质量好的，否则影响领导健康，感觉是假冒伪略产品。没有免费的矿泉水。', '短评打分': 5}
{'短评内容': '酒店还好。', '短评打分': 3}
{'短评内容': '该酒店的位置很不错，周围环境很好，办事方便。酒店房间很大。', '短评打分': 5}
{'短评内容': '酒店所处地理位置好,临江而建,安静,空气清新。距离沪昆高速很近，但离市中心有一段距离。房间设备齐全，洗浴方便。令人奇怪的是，房间内的床单破旧，餐厅较脏，自助早餐过于简单。希望酒店在这些方面能够有所改善。', '短评打分': 5}
{'短评内容': '酒店房间和楼道空间宽敞，门前停车方便，交通方便，对面是信江，南边还有个东湖，门前是信江风光带，风景很好，适合渡假休息。不足的是房间提供没有纸巾，收费的茶叶和免费的茶叶放错了位置，容易误用引麻烦。感觉房价贵了些。', '短评打分': 5}
{'短评内容': '好的方面：酒店硬件设施很不错。酒店前的广场大、气派、停车方便；房间内的设施也很好、干净、整洁、空调也给力。\n还可以做得更好的：酒店大堂前没有服务生，车开到门口没人搭理，没有帮着推一下大的行李箱；房间内冰箱内是空的、瓶装矿泉水也没有。', '短评打分': 5}
{'短评内容': '环境很好,价格适中,我喜欢。不过今天有大客户搞活动，有点吵闹。', '短评打分': 5}
{'短评内容': '下次估计是不会去了，外表很漂亮，内部房间不行呀，硬件不行呀，停车到是很方便', '短评打分': 1}
{'短评内容': '酒店外表可以，内部房间确实有点旧，感觉硬件不是很好', '短评打分': 1}
{'短评内容': '1）位置离市中心比较远，不适合出差入住；\n2）毛巾，及床上用品陈旧，肯定是用了几年；\n3）早餐简直是简单得不再简单了！\n\n-------------------不推荐朋友入住', '短评打分': 1}
{'短评内容': '挺干净，服务还不错，离市区稍微有点远，打车不方便', '短评打分': 3}
{'短评内容': '环境比较恬静，服务态度好，适合家庭度假使用。', '短评打分': 5}
{'短评内容': '已经多次入住该酒店，感觉越来越旧。尤其是被褥，竟然有大面积的血渍，叫服务员更换后，还是有很多洗不掉的污点，还有很多日久磨损的破洞。感觉被单应该要更新了，否则我是不会再入住了。', '短评打分': 1}
{'短评内容': '蚊子很多，隔音不好，早餐没吃，不知道好不好', '短评打分': 1}
{'短评内容': '感觉环境很不错，酒店服务挺好，特别适合家庭旅行！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很失望于这家酒店会得到一些网友的好评，造成我的上当之旅。我4月24日入住于该酒店323房。预定价288元。房间内设施陈旧，设计老套。无法让人相信是08年开张的酒店。另外床很硬，枕头很矮，让人难以入睡。最不能容忍的是房间里弥漫的脚气味道，令人无时无刻不觉得自己有如住在廉价招待所。服务就不提了，早餐失望，有如进了寺庙，除了咸蛋、茶叶蛋之外，再无荤腥。光头米粉叫人如何下咽？酒店大堂能看到的只有一台电梯，', '短评打分': 1}
{'短评内容': '酒店很新，不过位置比较偏\n周围环境不错~~~~~~~~~', '短评打分': 5}
{'短评内容': '挺安静的酒店。也挺干净的。隔饭店、超市、药店都很近，上沪昆高速也方便。\n不过不知是不是春节涨价了的缘故，我觉得288一间的价格还是有点高的。\n隔音效果一般，隔壁房的人聊天聊到3点半才罢休。\n我儿子认床，在床上转了一晚上没睡沉……', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店环境还不错,紧靠信江边上,早餐收太早,九点不到就没东西吃了', '短评打分': 3}
{'短评内容': '酒店正对着信江，环境不错。房间干净，配套设施比较普通，价格有点偏高。', '短评打分': 5}
{'短评内容': ' 位置很好 酒店也可以用边上就是美食街道味道不错', '短评打分': 3}
{'短评内容': '在鹰潭还不错啦，早餐比较普通，房子里面的空调不太好，其他都ok，在鹰潭值得推荐。', '短评打分': 5}
{'短评内容': '硬件不理想，隔音不好，楼上走路声搞得我一夜睡不好！', '短评打分': 1}
{'短评内容': '酒店非常温馨，面对信江，门口就是鹰潭冬泳基地，非常值的住！', '短评打分': 5}
{'短评内容': '卫生方面很好，打扫的很干净，设施也齐全，服务也很到位，住的很满意。', '短评打分': 5}
{'短评内容': '设施方面挺完善的，性价比挺高的。', '短评打分': 5}
{'短评内容': '交通不方便', '短评打分': 5}
{'短评内容': '去的时候在修桥，有点绕路，酒店卫生条件有待加强，卫生间没有隔断也没有浴帘，洗完澡到处都是水，其它的还行吧！', '短评打分': 5}
{'短评内容': '地理位置很好 交通非常便捷，出去旅行非常方便，性价比不错 ', '短评打分': 5}
{'短评内容': '+设施有点旧，这个价格不值。', '短评打分': 5}
{'短评内容': '酒店还行，房间也可以，早餐不好，鸡蛋还是坏的', '短评打分': 3}
{'短评内容': '酒店还行但早餐不丰富蛋还是坏的', '短评打分': 5}
{'短评内容': '性价比很好的酒店，下次出行还会住的。', '短评打分': 5}
{'短评内容': '酒店周边的环境很美，位于信江河畔，可以散散步什么的，很惬意！', '短评打分': 5}
{'短评内容': '位置不错，离我办事的地方很近，出行方便，环境也很舒适。', '短评打分': 5}
{'短评内容': '客房的设施比较新，使用的效果也不错，环境也挺整洁的。', '短评打分': 5}
{'短评内容': '我住的房间打扫的很干净，布局很合理，感觉很温馨。', '短评打分': 5}
{'短评内容': '服务员办事很有效率，住退房手续办理的很快，态度还不错。', '短评打分': 5}
