{'短评内容': '房间大，性价比高', '短评打分': 5}
{'短评内容': '舒服下车再来', '短评打分': 5}
{'短评内容': '不错，房间大，不局促', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间面积挺大的  很安静  很温馨   周围吃饭  交通都比较方便  有空调   而且去周边玩也很方便', '短评打分': 5}
{'短评内容': '挺普通的，没多大好感，一分钱一分货吧。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '位置略偏   总体不错   房间里空调噪音  实在是有点受不了', '短评打分': 4}
{'短评内容': '房间干净，交通方便', '短评打分': 5}
{'短评内容': '干净舒服房间大', '短评打分': 5}
{'短评内容': '好，会再来', '短评打分': 5}
{'短评内容': '不错，安静，房间大，卫生条件好，酒店服务员服务态度很好，周边有很多吃的，出行也很方便，步行200米左右就有公交站。', '短评打分': 5}
{'短评内容': '赞一个，房间干净，最主要是大大大', '短评打分': 5}
{'短评内容': '非常好，干净', '短评打分': 5}
{'短评内容': '很好，房间超大，服务也好', '短评打分': 5}
{'短评内容': '整体还是可以的 服务不错 设施还行 适合过度居住 价格合适 就是位置稍微偏一点', '短评打分': 5}
{'短评内容': '已经是好几次入住了，环境和服务都很好，旅游出差很好的选择。', '短评打分': 5}
{'短评内容': '整体上还不错，这个价钱已经算可以了。就是刚进去的时候，房间有点味道，木头的味道。我们住的是自主房，所以也没有洗漱的那些一次性用品。', '短评打分': 5}
{'短评内容': '酒店位置不错，进出方便，房间也够大，前台小姐热情礼貌。', '短评打分': 3}
{'短评内容': '房间比较大，够宽敞，推荐入住', '短评打分': 3}
