{'短评内容': '环境干净，服务好，房间大。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '对于这样一家闹市中的酒店来说房间算是闹中取静了，设计很特别，用的物品也都很好。卫生过硬，而且还很周到的准备了大桶饮用水。唯一问题是停车场是和商场共用的，车位非常紧，很难进出。不过总体来说非常好。', '短评打分': 5}
{'短评内容': '路过住了一晚，酒店管理不错，细节到位，卫生也很好。特别是用品很齐全，完全不需要自己准备很多东西了。下次路过还会再去的。', '短评打分': 5}
{'短评内容': '环境不错，卫生还可以', '短评打分': 4}
{'短评内容': '位置很好周边各大商场美食小吃应有尽有非常便利，门口就是繁华的济南路，公交车站就在楼下便利极了。日式房间异国风情不错', '短评打分': 5}
{'短评内容': '很好，周边吃饭购物方便，性价比很高', '短评打分': 5}
{'短评内容': '每次都入住，房间很大', '短评打分': 5}
{'短评内容': '每次到东营都会住', '短评打分': 5}
{'短评内容': '每次去东营都会住，房间很大', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 1}
{'短评内容': '服务意识很强，房间整洁，设计精妙新裁，', '短评打分': 5}
{'短评内容': '房间的设施还不错，电脑网速很好，卫生间没有淋雨门，花洒喷头不太好！总体环境还不错', '短评打分': 5}
{'短评内容': '处于东营唯一的繁华路段，振华商厦，中心医院附近卫生干净，房间偏小，价格便宜网速贼快', '短评打分': 5}
{'短评内容': '酒店服务不错，第一次去·东营，价位还可以，比较低环境还可以', '短评打分': 5}
{'短评内容': '不能说环境差，简直太差。我上次住的是商务大床窗户不能叫窗户只能叫天窗，屋里异味很大设施太陈旧，噪音很大根本无法休息，我前些天去的空调也有问题只有冷风。别的就不多说了。', '短评打分': 1}
{'短评内容': '卫生条件很好，室内空间也够大，房间隔音效果很好。门口多家银行，离银座商城步行5分钟，西临胜利油田第一中学，东临胜利油田中心医院。', '短评打分': 5}
{'短评内容': '酒店很不卫生，床单被罩都是脏的，毛巾浴巾都是烂的！', '短评打分': 3}
{'短评内容': '酒店比较干净，我住的126的大床房，感觉还行。\n美中不足：洗手台下水管漏水，下水道的味道有点往上反，空调机的声音有点大，房间靠马路，建议不要选靠近马路的房间。', '短评打分': 5}
{'短评内容': '地段很好，酒店上网速度飞快，感觉不是在中国了。。。。。\n\n当然硬件设备就还差了点，总的来说物有所值。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '环境一般，设施不好，早餐也不好吃！我下次是不会住了。', '短评打分': 1}
{'短评内容': '前台接待态度很差，我老公要充电说可以，等拿来充电器又说不可以', '短评打分': 1}
{'短评内容': '条件简陋，卫生一般，但价格实惠，服务不错。希望能够改进。', '短评打分': 5}
{'短评内容': '服务态度很好，工作效率很快。房间环境比想象中的要好。', '短评打分': 5}
{'短评内容': '酒店设施不错，主要是价格实惠，适合商务人士入住，以后还会继续入住。', '短评打分': 5}
