{'短评内容': '不错哦  环境可以卫生', '短评打分': 5}
{'短评内容': '安逸舒适，每次都住这', '短评打分': 5}
{'短评内容': '前台余秋菊很好好好好好', '短评打分': 5}
{'短评内容': '前台余秋菊服务周到回答问题耐心', '短评打分': 5}
{'短评内容': '前台余秋菊服务周到贴心下次还住', '短评打分': 5}
{'短评内容': '前台余秋菊服务周到', '短评打分': 5}
{'短评内容': '房间里的设施设备很好用！热水非常快！前台彭庆和刘芬态度真是不错！每次来永远都是那么热情 主动帮我倒他们为客人准备的养生茶或者柠檬茶 周边环境不错坐车非常方便！交通方便 而且停车也很方便 房间里的电视和无线很快！卫生干净！', '短评打分': 5}
{'短评内容': '交通方便，服务态度好。', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 5}
{'短评内容': '干净卫生每次都选这一家。', '短评打分': 5}
{'短评内容': '干净卫生安静每次去遂宁都选这一家', '短评打分': 5}
{'短评内容': '很差 杯子很薄', '短评打分': 5}
{'短评内容': '还可以，就是我住的那个房价床头没有插座给手机充电', '短评打分': 5}
{'短评内容': '前台，琴姐服务态度好的很', '短评打分': 5}
{'短评内容': '环境很好。价格便宜', '短评打分': 5}
{'短评内容': '房间还可以', '短评打分': 5}
{'短评内容': '房间卫生干净，前台刘芬很优秀，何瑶陈慧也非常不错 下回还会来住', '短评打分': 5}
{'短评内容': '很好。住着很舒适', '短评打分': 5}
{'短评内容': '来了几次这里还可以，前台刘芬也挺好，下次回来还会入住', '短评打分': 5}
{'短评内容': '还可以！多次入住！前台刘芬很棒的！也很贴心！还有银耳汤4可以喝！不错', '短评打分': 5}
{'短评内容': '非常好，忘记前台接待名字了很好', '短评打分': 5}
{'短评内容': '很无语，在这上面订酒店太不靠谱了。最终取消了订单，退款还比较及时第二天就收到了', '短评打分': 5}
{'短评内容': '下次还入住', '短评打分': 5}
{'短评内容': '房间还可以  就是厕所有点味道', '短评打分': 5}
{'短评内容': '酒店就在路口，车就停酒店门前，有保安看守，房间干净整洁，过路临时住一晚性价比还是很高了。', '短评打分': 4}
{'短评内容': '1.卫生堪忧，2天换的被罩都有脏东西，有一天竟然有一片红呼呼的，看了特别恶心。希望改进2.态度很好。', '短评打分': 3}
{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '还行吧！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '各方面都还是都不错的，推荐', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很不错，一直都是出差首选酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间干净整洁，条件还行吧，只是找个地方住住的话，还是可以的。进去有新房间那种不太好闻的气味，离市中心还有一段距离，就近没什么便利店、餐馆，这是比较不方便的，但总体入住房间的感受还不错。唯一最不好的就是大马路旁边，晚上睡觉不能开窗户透气，不然车辆经过的声音吵的没法儿睡。', '短评打分': 5}
{'短评内容': '房间大，服务一般，没有早餐让人很遗憾。办158的会员卡会比网上定要便宜，而且带早餐。', '短评打分': 5}
{'短评内容': '房间舒适干净，到这里没错的，下次再来也来这。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间很大，服务一般', '短评打分': 3}
{'短评内容': '相当可以..对得起价格..前台在有点笑容就好了', '短评打分': 5}
{'短评内容': '比想像中好很多，地理位置不错，出行方便，下次还会选择入住', '短评打分': 5}
{'短评内容': '房间大，光线好', '短评打分': 3}
{'短评内容': '酒店还是不错的，很干净，挺静的，唯一的缺点是停车位太少了，要不停的挪车，走的时候等了好久才能出来，希望能改进一下。', '短评打分': 5}
{'短评内容': '干净整洁！交通便利！服务还很周到哟！值得推荐！', '短评打分': 5}
{'短评内容': '挺好，环境和位置都不错，比较安静，不会像市中心那样喧闹，交通也特别方便', '短评打分': 5}
{'短评内容': '环境卫生感观较好，服务质量较高。', '短评打分': 3}
{'短评内容': '服务不错，装修还可以，下次再来还会入住', '短评打分': 3}
{'短评内容': '酒店干净.交通也方便', '短评打分': 3}
{'短评内容': '点评晚了,不好意思,酒店不错,东西很新.很干净.', '短评打分': 5}
{'短评内容': '酒店开业不久，很干净整洁，住起还是挺舒服的。只是酒店的商务大床房很几种规格不一样的。有些房间挺宽敞，有床，桌子，茶几，椅子等，有些房间就只摆下床，桌子。房间不同，因为床都是1.8*2的，价格都一样，按商务大床房收费。不过总的来说还是不错，如果这些差异也与价格保持一致就更好了！', '短评打分': 5}
{'短评内容': '价格实在，卫生尚可，网速慢，非会员不供应早餐，设备尚可，洗浴卫生用品全，有烟缸无火柴。所有入住人员必须有身份证哦！', '短评打分': 5}
{'短评内容': '在遂宁还算比较经济实惠的，位置环境都可以。\n就是离马路太近了，晚上睡觉不关窗，噪声会比较大！\n在遂宁还算比较经济实惠的，位置环境都可以。\n就是离马路太近了，晚上睡觉不关窗，噪声会比较大！', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比高。房间大，卫生条件好。下次还会选择入住。', '短评打分': 5}
{'短评内容': '住得还可以。但停电后，无备用电源。前台连蜡烛都没有。', '短评打分': 5}
{'短评内容': '房间不错，但新装修味道较大', '短评打分': 3}
{'短评内容': '性价比高，交通便捷，卫生舒适，就是网速太慢，不错，下次还住。', '短评打分': 5}
{'短评内容': '由于新开张不久，设备很新，毛巾很舒服，很干净。早上有送早餐，非常好。交通方便，很安静', '短评打分': 5}
{'短评内容': '环境很好～很干净～可能是新店的原因 屋里有装修后的味道', '短评打分': 3}
{'短评内容': '房间还可以', '短评打分': 3}
