{'短评内容': '非常好！性价比高，服务一流，出差旅行不二之选！', '短评打分': 5}
{'短评内容': '服务热情，房间干净', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '已经不是第一次入住了 服务一流！门前停车场很大，房间温暖的很 外面严寒 房间里像春天。前台很贴心 来回出行都帮忙叫车 不用冒着严寒出去打车 让我在大厅等着就可以。已经是我在伊春下榻的专属酒店了。值得一提的是酒店还有餐厅，味道不错 简直不要太方便！推荐推荐！', '短评打分': 5}
{'短评内容': '房间可以，早餐一般', '短评打分': 4}
{'短评内容': '帮同事订的', '短评打分': 5}
{'短评内容': '酒店不错，在伊春算是比较高档的了', '短评打分': 5}
{'短评内容': '酒店服务一般，毕竟是小地方，早餐不好，我竟然吃到了完全生的鸡蛋，根本没有煮，就送上来了，撒了我一身鸡蛋清，鸡蛋黄，差评。服务员一点态度也没有', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境、位置好', '短评打分': 5}
{'短评内容': '酒店环境设施都不错，就是位置较偏，吃饭出行不方便', '短评打分': 5}
{'短评内容': '住得舒服，比较干净', '短评打分': 4}
{'短评内容': '伊春环境很好，酒店也算干净！', '短评打分': 4}
{'短评内容': '酒店不错', '短评打分': 4}
{'短评内容': '各方面都很好，值得推荐', '短评打分': 5}
{'短评内容': '地理位置有点偏，出行不太方便，房间挺新，服务态度好。', '短评打分': 5}
{'短评内容': '地理位置还行，出行不太方便，房间格局一般，就餐环境还行。', '短评打分': 5}
{'短评内容': '可能是伊春最好的酒店，硬件设施很好，18曰晚入住因路不熟打电话给前台问路当班服务员很热情。可能是位置有点偏入住客人不多早餐偏简单。', '短评打分': 3}
{'短评内容': '酒店环境很不错，设备比较新，房间也大，还有早餐。就是位置偏了点，坐车不方便', '短评打分': 5}
