{'短评内容': '你追牛股挺牛公', '短评打分': 5}
{'短评内容': '工体警惕听题挺牛股体验', '短评打分': 5}
{'短评内容': '位置不错，有停车场，周边买东西很方便，隔一条马路就是公园，设施比较老旧，电视清晰度不佳，床的清洁度有待提高，尤其是枕头，看起来有淡淡的黑色，我是反着枕的', '短评打分': 3}
{'短评内容': '有早餐，两种套餐二选一，一种是稀粥包子，一种馄饨油条。这是个老酒店了，房间设施比较陈旧，地板也不是很新了，墙角也有掉皮，打扫的还算卫生。因为住酒店的人不多，所以洗澡水得多放一会儿才热。电视倒是挺清楚的，比大锅强，估计是有线电视。大床房间不大，估计标间能大点。洗漱用品质量还不错。周边是住宅区。酒店院里有饭馆，停车位。', '短评打分': 4}
{'短评内容': '早餐在院子里面', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '7日晚上近凌晨才入住这家酒店，天亮6点钟就赶机场，不慎将手机遗落前台，经朋友帮忙不停拔打电话后，前台的季女士核实了情况后帮忙把手机寄回深圳。感恩！', '短评打分': 4}
{'短评内容': '酒店餐饮真的不错，性价比可以', '短评打分': 5}
{'短评内容': '感觉还可以', '短评打分': 5}
{'短评内容': '还可以，性价比高', '短评打分': 3}
{'短评内容': '酒店很陈旧，大酒店和快捷酒店差不多', '短评打分': 4}
{'短评内容': '卫生还行，没有异味，就是热水不足，晚上洗澡，放很久的水，还是不太热。', '短评打分': 5}
{'短评内容': '酒店环境很好，很优雅很清静，交通很便利，酒店管理和服务还不错，比较实惠，但感觉不是很专业。总之此次入住感到很满意。下次还会选择。', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '环境很幽静，服务员态度和蔼，有停车场，可以免费停车 ', '短评打分': 5}
{'短评内容': '环境很幽静，服务员态度和蔼，有停车场，可以免费停车 ，', '短评打分': 5}
{'短评内容': '环境很好，早餐不错，下次还会选择这个酒店', '短评打分': 5}
{'短评内容': '挺好的酒店，干净、整洁，餐厅不错，旁边还有宵夜点，晚上可以吃吃烧烤，周边服务设施挺周全。', '短评打分': 5}
{'短评内容': '酒店不错，干净、整洁，周边服务设施挺齐全，酒店的餐厅味道也很好，烤鸭很正宗。', '短评打分': 5}
{'短评内容': '价格偏高，酒店卫生一般，早餐比较传统，更是没有什么可选性，并且需要先支付房费，且不能退', '短评打分': 1}
{'短评内容': '还行挺干净的，院里面有24小时的吃的  但是酒店本身的饭店只有包间  没有大堂 两三个人不提供服务', '短评打分': 5}
{'短评内容': '沐浴及洗漱用品自己带比较好，酒店隔音效果还可以，酒店旁边有24小时快餐店，吃饭方便。就是出行交通不是很方便。', '短评打分': 5}
{'短评内容': '室内布置简单，环境还行，交通便利，但是餐厅真不怎么样，周边没有餐饮服务，倒是到处都有足疗店。宾馆后门对着小区，倒是清静。', '短评打分': 3}
{'短评内容': '应该属于快捷酒店，环境比较干净，虽然临近路边，但是有两层窗户，隔音效果还不错。酒店楼下还有24小时快餐店，比较方便。', '短评打分': 5}
{'短评内容': '酒店真的很不错', '短评打分': 3}
{'短评内容': '设施很老旧，卫生还可以，价格一般般，应该不会再入住', '短评打分': 1}
{'短评内容': ' 对得起这个价格吧，就是吃饭不太方便，赠送的早晨过于简单', '短评打分': 3}
{'短评内容': '环境挺好，服务态度也好，就是空调不制热，', '短评打分': 5}
{'短评内容': '。房间宽敞，干净。服务态度歉和。环境也很安静。', '短评打分': 3}
{'短评内容': '交通比较方便，在顺义应该算是比较实惠的酒店。', '短评打分': 5}
{'短评内容': '酒店的环境不错，挺卫生的。就是有些房间的暖气管路会传来别的房间的杂音。另外酒店吃早点的地方挺不错，无论早点还是正餐都很实惠。', '短评打分': 5}
{'短评内容': '位置比较好找，离hyundai和林河开发区都不远，房间的浴室比较大，但那个旧拖鞋还是尽快撤了吧。', '短评打分': 5}
{'短评内容': '本次表现不错，质量不稳定啊。房间就那样了。', '短评打分': 5}
{'短评内容': '酒店在这个价位来说还算干净', '短评打分': 3}
{'短评内容': '网上定的大床房，太小了，', '短评打分': 3}
{'短评内容': '酒店不怎么好，但是附近也没有其它酒店了，可怜的地方。', '短评打分': 1}
{'短评内容': '一般般，房间还可以，服务一般，价格比快捷要高，消费不低，周边不是很方便', '短评打分': 5}
{'短评内容': '一般吧，中规中矩，房间还可以，服务一般，价格比快捷要高，消费不低，周边不是很方便', '短评打分': 1}
{'短评内容': ' 服务还好，房间还好。', '短评打分': 3}
{'短评内容': '相对于这个价格是很划算的了，服务比较满意！', '短评打分': 5}
{'短评内容': '感觉挺方便，现金返还挺现实，大家一起加入吧会有惊喜的！旅途愉快！', '短评打分': 5}
{'短评内容': '前台服务较好，房间挺大，挺干净，设施挺新，再去顺义还会住这里。', '短评打分': 5}
{'短评内容': '还好，服务挺好，去的玩了点，预订给留着，态度挺好\n卫生间的毛巾上怎么有长头发呢？', '短评打分': 5}
{'短评内容': '房间新装修，还可以！！其他一般一般。。。。', '短评打分': 5}
{'短评内容': '酒店装修风格类似快捷酒店，离顺义县城有点远，这个价格总体来说，还是比较有性价比的', '短评打分': 3}
{'短评内容': '＋非常安静，服务也不错', '短评打分': 3}
{'短评内容': '环境很好,价格也很公道', '短评打分': 3}
{'短评内容': '还是可以的，房间小了点，还是可以的，房间小了点，还是可以的，房间小了点，', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '很舒适', '短评打分': 3}
{'短评内容': '十酒店入住后.房间比较宽敞.卫生也搞得好!', '短评打分': 3}
{'短评内容': '位置有点不好找，但工作人员的指路还是很清晰的。服务速度非常快，一个电话人就到。房间不算大，但是该有的东西都很齐全，也很干净。美中不足的是，隔音效果差了点，起码要扣10分。下次再去顺义，也还是不错的选择。', '短评打分': 5}
{'短评内容': '己入住怎幺又调价了', '短评打分': 3}
{'短评内容': '还可以就是有点味', '短评打分': 3}
{'短评内容': '一般\n于秀清', '短评打分': 3}
{'短评内容': '性价比很高，房间宽敞干净~~离着机场也就二十分钟吧，挺近的~~ 很愉快的一次经历', '短评打分': 5}
{'短评内容': '这个酒店还算不错！虽说离顺义县城有些距离但是还是不错的！\n交通也方便，也安静！', '短评打分': 5}
{'短评内容': '价格适宜，地理位置也不错，离城区很近又不在城区内所以交通很便利，吃饭也很方便，最好的是酒店对面是顺义公园，闲时去里面转转，环境很好。只是房间内没有衣柜不太方便，第一天住在朝西的房间，楼下养了一条狗总叫很闹心，第二天换了房间安静多了。', '短评打分': 5}
{'短评内容': '房间卫生条件还可以，特价房比较值，楼下就有餐馆，吃比较方便。', '短评打分': 5}
{'短评内容': '环境好,服务优! 整洁实惠，就是隔音稍差但无大碍，比较满意. \n', '短评打分': 5}
{'短评内容': '性价比还可以，如果有机会，还会考虑再去的。', '短评打分': 5}
{'短评内容': '己入住酒店,还可以。', '短评打分': 3}
{'短评内容': '酒店房间还算干净，就是大床房太小。标准间的大小令人满意。餐厅的菜又贵又咸，服务员态度还不好。', '短评打分': 5}
{'短评内容': '周边环境还可以，服务员态度一般。但是不知道是不是我所居住的房间上面是他们的工具间或者别的什么用途的房间，从我入住开始一直就咚咚的响声。', '短评打分': 1}
{'短评内容': '房间有点小，不过这个价格也算凑合了，因时间较久，建筑感觉不合理，向迷宫', '短评打分': 5}
{'短评内容': '房间太小\n于秀清', '短评打分': 3}
{'短评内容': '环境好,服务优! 整洁实惠，就是隔音稍差但无大碍，比较满意.', '短评打分': 5}
{'短评内容': '装修和七天差不多，就是电视不爽，只有不到十个台能看，洗澡很舒服，淋浴头水很大，很干净，推荐', '短评打分': 5}
{'短评内容': '住过几次了，服务依旧很令人满意。\n硬件达不到令人满意的程度。', '短评打分': 5}
{'短评内容': '这次住的个大床间，空间较小。网速比较慢。其他方面一般般。工作人员服务比较到位。', '短评打分': 5}
{'短评内容': '环境安静，服务人员较热情，下次去可以再入住。', '短评打分': 5}
{'短评内容': '价格适中、安静，免费上网、网速还可以，非常满意、下次还住这里。', '短评打分': 5}
{'短评内容': '还可以 位置不错 希望大家来试试看 推荐给朋友', '短评打分': 5}
{'短评内容': '环境不错，安静。交通一般。周边餐饮比较少，不太方便吃饭。', '短评打分': 5}
{'短评内容': '这个酒店从外面看还蛮好了，可惜啊，屋里有异味，而且床被都非常旧，洗手间惨不忍睹，服务员态度不是一般的差！', '短评打分': 1}
{'短评内容': '预定时提示可以享受免费加床和延长退房时间，前台告诉我不享受，核实后确实有，最后协商酒店还是让我享受了，这些事情应该都应该确认的时候沟通好吧。', '短评打分': 5}
{'短评内容': '卫生很差，特别是一些犄角旮旯的地方卫生服务员根本不打扫，卫生间马桶下长满黑毛，床铺被单还可以', '短评打分': 1}
