{'短评内容': '性价比挺高，房内设施在同价位来说算是好的了', '短评打分': 5}
{'短评内容': '陌陌摸摸', '短评打分': 5}
{'短评内容': '酒店位置较好，因修路出入不太放便，装修陈旧，卫生间有异味！', '短评打分': 3}
{'短评内容': '青岛酒店就住爱尊客', '短评打分': 5}
{'短评内容': '出差一直这家', '短评打分': 5}
{'短评内容': '出差一直这家', '短评打分': 5}
{'短评内容': '好，这家的房很宽敞，装修的确很有味道，沙发也很舒服，就是沙发套被之前的人抽烟烫坏了几个点。\n电视不太清楚。\n住之前还怕在路边晚上很吵，结果外面是居民楼，二十四小时都很安静。\n床也很舒服。\n价格略高，但是高得有底气！', '短评打分': 5}
{'短评内容': '很好 很赞?????????????????????????????????????', '短评打分': 5}
{'短评内容': '酒店很一般，隔音效果不是很好，酒店周边吃饭的地方很多，交通很方便，毛巾用的比较旧了，总体还可以', '短评打分': 4}
{'短评内容': '酒店干净 没有发卡片的', '短评打分': 5}
{'短评内容': '极力推荐', '短评打分': 5}
{'短评内容': '酒店位置不错，周围交通便利，各种设施齐全，卫生干净，服务也不错，价格自然也偏高些。有些房间无线信号不好用。要改进', '短评打分': 4}
{'短评内容': '酒店位置不错，周围交通便利，各种设施齐全，卫生干净，服务也不错，价格自然也偏高些。有些房间无线信号不好用。', '短评打分': 4}
{'短评内容': '位置不错，环境也可以，就是服务一般，希望以后能提高一些吧', '短评打分': 4}
{'短评内容': '很不错，价格合适，房间很好，早餐简单了点。下次还去住。', '短评打分': 5}
{'短评内容': '很不错，价格合适，房间很好，早餐简单了点。下次还去住。', '短评打分': 5}
{'短评内容': '酒店位置很好，购物就餐都很方便，卫生也还不错，算是香港中路一家性价比较高的酒店，推荐！', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '房间太旧，性价比差', '短评打分': 3}
{'短评内容': '第三次入住了，交通很方便，位置很好，就是房价设施有点旧', '短评打分': 5}
{'短评内容': '服务不错，交通方便，就是房间设施有点陈旧', '短评打分': 5}
{'短评内容': '房间有点旧了，不过位置还不错，交通方便', '短评打分': 3}
