{'descr': '条件一般，但想到100元也就这样了', 'star': 3}
{'descr': '环境舒适 服务态度好 卫浴用品齐全 独立热水供应 有电脑跟网线 非常推荐  ', 'star': 5}
{'descr': '我定的有电脑的标间，到了那告诉我们那个暖气不好冷最好都住3楼，可是3楼还没电脑。但是卫生条件还可以。早餐的馒头挺好吃的。', 'star': 5}
{'descr': '入住的感觉不错，就是房间有些潮这个不大满意。', 'star': 3}
{'descr': '交通方便，出门就是龙沙公园。', 'star': 3}
{'descr': '酒店不错，单间是大床，两个人没问题，比标间合适。', 'star': 3}
{'descr': '听当地人说这酒店以前是不夜城夜总会，最近才改的宾馆，所以大多都不知道这个地方。酒店内简直就是私人住宅，还不是24小时热水，洗澡要先烧热水器的水，很不方便。早餐也是一些粥、烧饼、和咸菜……', 'star': 1}
{'descr': '好', 'star': 3}
{'descr': '酒店条件不错，价格便宜，很好', 'star': 3}
{'descr': '条件差，没有空调。屋里没有防盗链，热水器不能加热，拖鞋重复使用，就像个小旅店。不会再入住了。', 'star': 3}
{'descr': '感觉一般，总体还可以。但是说明有误导嫌疑，单人间无电脑只有网线并没有细说。还有有无空调也没有特别说明', 'star': 1}
{'descr': '服务人员，不错。地点还好。这么便宜还有早餐吃。哈哈哈', 'star': 5}
{'descr': '房间很大，早餐也不错，附近有龙沙公园，很方便', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '可能是因为前台是新来的，讲话很不礼貌，不耐烦，另外所有房间的卫生间都是透明的，洗澡很不方便－ －！总之我是再也不会去这家店的。希望老板能改进一下。', 'star': 1}
{'descr': '服务态度很不好、设施烂，再也不想去', 'star': 3}
{'descr': '不错很安静周围环境很好', 'star': 3}
{'descr': '很好', 'star': 3}
