{'短评内容': '酒店位置很好，来考试预定的，很方便，环境也可以，晚上不会怎么吵，老板人也不错，很好，下次考试还会预定', '短评打分': 5}
{'短评内容': '位置很好，前台很热情，而且离考试地方很近！不错不错，下次过来考试改住这里！附近吃的也可以，而且不算吵！很不错的地方。', '短评打分': 5}
{'短评内容': '很好 经常住了 性价比很高', '短评打分': 5}
{'短评内容': '很好方便 就在天河客运站 南方医院附近！', '短评打分': 5}
{'短评内容': '很好很方便 在天河客运站附近！', '短评打分': 5}
{'短评内容': '相当一般，不建议再次入住。', '短评打分': 3}
{'短评内容': '服务交接不清楚，吩咐两次的事都没办，没有服务意识', '短评打分': 3}
{'短评内容': '环境不错，比较安静。', '短评打分': 5}
{'短评内容': '环境不错，挺安静的。', '短评打分': 5}
{'短评内容': '还好吧，携程的小帅哥挺好人的。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房子还算新，但是网上预订竟然比直接到店还贵，这太不合理了！', '短评打分': 3}
{'短评内容': '宾馆内部环境可以，服务态度不错，但周围餐厅少了点', '短评打分': 5}
{'短评内容': '环境不错，服务态度好', '短评打分': 3}
{'短评内容': '房间有点小，离南方医院较近。环境还可以吧。', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是房间小些.酒店下面就是一家湘菜馆，比较方便。', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是房间小些，也许是天气原因，房间有点潮湿，空调没有制热，晚上有些冷', '短评打分': 3}
{'短评内容': '很值这个价', '短评打分': 3}
