{'短评内容': '位置好，有车场', '短评打分': 5}
{'短评内容': '环境太好了', '短评打分': 5}
{'短评内容': 'Jane免费升级，服务超好', '短评打分': 5}
{'短评内容': 'Jane 服务很棒 免费升级', '短评打分': 5}
{'短评内容': 'jane服务很棒', '短评打分': 5}
{'短评内容': '说早餐很好，这很重要，前台服务不错', '短评打分': 5}
{'短评内容': 'jane服务很棒免费升级', '短评打分': 5}
{'短评内容': '前台mikko和daisy服务很周到，酒店设施能游泳不错很好，下次还会考虑住这的', '短评打分': 5}
{'短评内容': '酒店环境不错.前台服务人员态度也很好，尤其是前台的mikko和daisy，很好，第一次来入住，体验不错，看见我们带宝宝来，还特别照顾，会推荐朋友来', '短评打分': 5}
{'短评内容': '差评，绝对的差评。在那订房了，押金美腿给我。我打电话过去，结果客服说已经给了！！！打了好几次，算了，不说，反正就是不退。真心很火。', '短评打分': 1}
{'短评内容': '房子太普通了，卫生间毛巾都不够多，很是郁闷，唯一不错的就是在市区，吃喝玩乐的地方都很近，不理想', '短评打分': 5}
{'短评内容': '不错的一次旅行', '短评打分': 5}
{'短评内容': '不错的 主要位置方便.', '短评打分': 5}
{'短评内容': '时间久了记得不太清楚了', '短评打分': 4}
{'短评内容': '老酒店了，以前应该是五星级的，现在有点旧了', '短评打分': 4}
{'短评内容': '环境很棒，最棒的是早餐，位置也很中心，', '短评打分': 5}
{'短评内容': '总体可以，性价比高', '短评打分': 4}
{'短评内容': '蛮好的 以后还会去', '短评打分': 5}
{'短评内容': '酒店环境还不错，客房房间有待提升', '短评打分': 4}
{'短评内容': '设备陈旧，餐饮差', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '同事很满意，距离本地同事交通便利，性价比很不错。', '短评打分': 4}
{'短评内容': '房间比较宽敞，还升级了房型，很好，以后还会入住', '短评打分': 5}
{'短评内容': '此酒店以前是喜来登酒店，客人来无锡后经常安排此酒店入住，后改变成现酒店，第一次入住，情况如何还要观察。', '短评打分': 3}
{'短评内容': '不错，交通蛮便利的，下次还会来，就是设施有点陈旧', '短评打分': 5}
{'短评内容': '外观还是可以的  自助晚餐也不错 比附近金陵饭店便宜些 性价比还是可以的', '短评打分': 5}
{'短评内容': '1.市中心位置，不错；\n2.设施略显陈旧；\n3.性价比高。', '短评打分': 5}
{'短评内容': '位置很好，商业中心位置。就是酒店的设施有点老，但很干净。', '短评打分': 5}
{'短评内容': '性价比还可以，位置不错， 地下车库不是很好不太干净', '短评打分': 5}
{'短评内容': '酒店不错…就是住18层洗澡水压不够…水很小', '短评打分': 3}
{'短评内容': '干净方便', '短评打分': 3}
{'短评内容': '第二次入住，感觉没第一次棒了，可能房型不一样的缘故吧', '短评打分': 5}
{'短评内容': '服务需要改进，更加考虑顾客。房间硬件较旧。游泳池很好。', '短评打分': 5}
{'短评内容': '房间小，其他还可以，位置好，吃饭购物方便', '短评打分': 5}
{'短评内容': '很差很差的酒店！设施差、服务态度也不好！', '短评打分': 1}
{'短评内容': '老牌五星酒店，不过游泳的水很干净，服务也比较好，还是很喜欢，在市中心。', '短评打分': 5}
{'短评内容': '房内设施一般', '短评打分': 3}
{'短评内容': '这次是帮同事预订的，同事评价说非常不错，早餐比较丰盛，下次有机会再住', '短评打分': 5}
{'短评内容': '酒店是无锡位置最好的了，价格也不错，但是感觉还不到5星的水平，前台服务还需要改善', '短评打分': 5}
{'短评内容': '地理位置很好，走到崇安寺步行街就五分钟，能这个房价也都归功于位置，网上看的图片很漂亮，实际比较陈旧，照片是美化了', '短评打分': 5}
{'短评内容': '前身是喜来登，挺旧的.早餐没有吃，也不知道质量何如，下次应该不会去了', '短评打分': 1}
{'短评内容': '每次来无锡都会住这家酒店，周边购物很方便的。', '短评打分': 5}
