{'短评内容': '酒店太旧太脏，進房聞到一股腳臭味 馬上換了個房間 每個東西都很陳舊 地毯看起來非常非常的髒床墊還凹了一個洞 真的應該翻新一下', '短评打分': 2}
{'短评内容': '酒店位置还算不错，在潮安县也算比较好点的酒店。酒店比较陈旧，设施一般，网络速度还可以。早餐就很一般了。', '短评打分': 4}
{'短评内容': '酒店位置不错，中餐厅做的很好吃，西餐厅早餐很用心，点餐比较差，房间很大，浴室大，水压也大，服务人员也很热情。不过酒店比较旧了，走道和房间地毯比较脏，还有味道。不过价格便宜还是推荐入住。', '短评打分': 4}
{'短评内容': '酒店位置不错，中餐厅做的很好吃，西餐厅早餐很用心，点餐比较差，房间很大，浴室大，水压也大，服务人员也很热情。不过酒店比较旧了，走道和房间地毯比较脏，还有味道。不过价格便宜还是推荐入住。', '短评打分': 4}
{'短评内容': '酒店位置不错，中餐厅做的很好吃，西餐厅早餐很用心，点餐比较差，房间很大，浴室大，水压也大，服务人员也很热情。不过酒店比较旧了，走道和房间地毯比较脏，还有味道。不过价格便宜还是推荐入住。', '短评打分': 4}
{'短评内容': '靠主街。但很吵。一晚没睡着。', '短评打分': 1}
{'短评内容': '房间外观是现代质感的建筑，简洁典雅，造型刚中有柔，尽显青岛地域建筑风情。房间内厅和卧室都是正南向的。宽敞的阳台，将蓝天、海水和阳光融合在一起，白天可感受阳光的明媚，晚上可享受满天星光的浪漫。让你体会到奢华海景风光，让你流连忘返。', '短评打分': 1}
{'短评内容': '房间外观是现代质感的建筑，简洁典雅，造型刚中有柔，尽显青岛地域建筑风情。房间内厅和卧室都是正南向的。宽敞的阳台，将蓝天、海水和阳光融合在一起，白天可感受阳光的明媚，晚上可享受满天星光的浪漫。让你体会到奢华海景风光，让你流连忘返。', '短评打分': 5}
{'短评内容': '酒店算是当地比较好的，价钱也算是满意了，酒店位于旺区街道，想找吃的，逛的一下楼就有，非常方便，总体感觉满意！早餐品种虽然少了点，但菜更新很快，整体环境不错。楼层服务员态度很好，停车场的保安很专业，', '短评打分': 5}
{'短评内容': '老酒店。但舒适。不比声乐酒店差', '短评打分': 5}
{'短评内容': '原以为酒店比较久了，会很旧。去到时候感觉外观保持得还不错。厕所空间有点小而且没有挂衣服的地方，吹风机只有冷风没有热风，被子和枕头感觉不太干净，因订的是5间优惠，早餐是围桌的，份量有点少，我们去的多是男生，只能勉强填一下肚子。', '短评打分': 3}
{'短评内容': '酒店不错、服务不错、环境不错、', '短评打分': 5}
{'短评内容': '环境尚可价格合理，房间装修已陈旧需适当改善。', '短评打分': 4}
{'短评内容': '酒店房间时间有点长，显得有点旧，早餐也一般般，就是交通挺方便', '短评打分': 5}
{'短评内容': '环境很好哦', '短评打分': 5}
