{'descr': '还不错，算是周边有档次的了。', 'star': 5}
{'descr': '不想多评价，预定不让退，打电话不接，情愿在别的酒店再订一间也不想进去住', 'star': 1}
{'descr': '没有早餐的', 'star': 4}
{'descr': '卫生较好，交通便利，周围很多吃饭的地方，离东站大约12公里，滴滴的话20块就可以到，总体来说还算不错', 'star': 5}
{'descr': '床够大，房间宽敞，设施标配，有电梯，位置好，周围肃静适合休息，吃饭方便，停车方便近。卫生还能接受，隔音一般。硬性规定不能延长一小时退房。', 'star': 5}
{'descr': '不好', 'star': 1}
{'descr': '太差了，浴室没有莲蓬头，被子上都是污点，早上起来服务员楼道里聊天，吵的整个早上都没法睡觉，歧视团购，都是边上房', 'star': 1}
{'descr': '房间真的是醉了，预定了房间，去了酒店告诉我没有那个房了，要我加20升电脑房，加就加吧，可你电脑没有网络让我抱着电脑看啊！空调遥控器是坏的，打开空调是制冷，而且接着就没有显示了，勉强关掉了。还有，洗澡只有几分钟的热水是什么鬼？妈的，大冬天的让我洗了个冷水澡。', 'star': 3}
{'descr': '还行，隔音不差。性价比高', 'star': 5}
{'descr': '服务环境都还可以，楼下吃东西地方很多', 'star': 4}
{'descr': '干净，舒适，服务态度很好，', 'star': 3}
{'descr': '没住啊，怎么回事，让评论', 'star': 3}
{'descr': '停电停水，服务淡漠，抓狂的体验', 'star': 4}
{'descr': '不错的环境。已经住过两次了', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '位置比较偏僻，价格比较便宜，设施还可以，但是竟然没taxi！送到机场要30（坐黑车）。', 'star': 1}
{'descr': '房子挺大，就是没有沙发。。。', 'star': 3}
{'descr': '离机场挺近的，价格也还可以，不过我住的房子好像还有装修的味道在里边。', 'star': 5}
{'descr': '我是2012年6月9号凌晨2点钟到店的,提前7天订的房快到了联系说已经没有房间了???后来通过电话费了好大的周折才入住酒店的,酒店的环境不错,价格也比较合理,但是前台的服务度可不敢恭违,不是会员12点必须退房对于我来说是一个很大的打击,退房时前台不给临时寄存箱包也是没有人性化管理的表现!!!', 'star': 5}
{'descr': '新开的酒店，房间布局还不错，水温忽冷忽热，周边大学城商业区，挺吵', 'star': 3}
{'descr': '超值。无论是各个地方，我比较了一下，下次还是会来。', 'star': 5}
{'descr': '入住舒适', 'star': 3}
{'descr': '酒店设施各方面还行，但前台服务不怎样，人员业务不熟。', 'star': 5}
{'descr': '1. 停车方便。但没有划线略显凌乱；\n2. 冷热水龙头不是一体的，调节很不方便。\n   每次调洗澡水都很费劲，不是冷就是热。洗到一半打浴液时也不敢关了，再开又得调半天。其实现在带混水阀的冷热水开关也就几十块钱，何不替换了呢？省下的水费很快就能弥补这块开支。\n3. 屋子虽大，却缺少沙发或椅子。导致空有空地，却没地坐，没地放东西。\n4. 吃饭方便。东边有刑家锅贴，西北有第一楼，都在50米以内的距离。\n', 'star': 5}
