{'短评内容': '干净', '短评打分': 5}
{'短评内容': '离出差的地方比较近 住着也还可以', '短评打分': 5}
{'短评内容': '还可以 比较舒服', '短评打分': 5}
{'短评内容': '设施比较新', '短评打分': 5}
{'短评内容': '酒店环境不错，对面有几个小饭馆，离酒店500米有条商业街，有几种小吃蛮好吃的，鸡排也很便宜，10元还送一杯酸梅汤，一家很不起眼的早点味道不错，价格便宜，蒸饺和鱼汤面都一共10元', '短评打分': 5}
{'短评内容': '不错，很干净卫生，服务态度很好', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '一直住这家酒店，出行比较方便，还行吧', '短评打分': 4}
{'短评内容': '停车方便，也很好找', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施很好，管理不错。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '房间有味道，没有梳子', '短评打分': 3}
{'短评内容': '房间空间大，早餐不太行', '短评打分': 4}
{'短评内容': '经济酒店，也还好，不过比以前贵了', '短评打分': 4}
{'短评内容': '设施新，干净，房间大。早餐很好干净，比盐城其他地方干净多了。一贯的汉庭。', '短评打分': 5}
{'短评内容': '干净卫生 ，服务很好，道路畅通，第二次入住了:-D', '短评打分': 3}
{'短评内容': '第一次入住，环境不错，。就是偏远了些。服务很好的', '短评打分': 5}
{'短评内容': '干净，宽敞，舒适，白色液晶电视，感觉很好，下次还住那里，唯一不足比较偏远，但很安静，去起亚办事住那里方便', '短评打分': 5}
{'短评内容': '还好，房间比较干净，就是好比较偏，而且门口是个大路，一大早车很吵', '短评打分': 5}
{'短评内容': '酒店本身不错，服务非常贴心，就是位置太偏了好难找', '短评打分': 5}
{'短评内容': '工作人员很热情，环境很好…房间很大很干净…汉庭真的很好…', '短评打分': 3}
{'短评内容': '房间很大，地方有些偏，吃饭购物不太方便，新装修的很干净！', '短评打分': 5}
{'短评内容': '房间够大，干净，就是有点偏远，吃和玩不方便', '短评打分': 5}
{'短评内容': '很好，性价比高，房间也很大，早饭品种也多，下次还住', '短评打分': 3}
