{'短评内容': '非常好，不错不错不错不错。', '短评打分': 5}
{'短评内容': '设施老旧，对不起价格。', '短评打分': 3}
{'短评内容': '酒店位置不错，停车方便，有餐饮。刚入住就有小礼物。不错', '短评打分': 5}
{'短评内容': '比较陈旧', '短评打分': 5}
{'短评内容': '早餐很好', '短评打分': 5}
{'短评内容': '环境好，卫生挺干净。卫生间有点小。', '短评打分': 5}
{'短评内容': '老星级酒店，设备有些老了，充电的地方不太多，没有空调暖气，周边环境还可以，比较适合出差居住。总体评价一般', '短评打分': 3}
{'短评内容': '卫生打扫得很干净，虽然设施比较旧但挺不错的。门口有公交站。很方便。不远处有几个吃饭的地方挺好吃的，也很便宜。下次去还会去住。', '短评打分': 5}
{'短评内容': '非常好，交通便利', '短评打分': 5}
{'短评内容': '总体不错 早餐有当地的特色 牛肉汤 ', '短评打分': 4}
{'短评内容': '酒店棒棒哒。附近也有很多吃的呦，服务人员也是特别的热情。下次去淮南还会住这一家，推荐', '短评打分': 5}
{'短评内容': '说是四星级的，可是设备挺旧的。早餐种类不是很多。', '短评打分': 4}
{'短评内容': '大家好，现在我就要说胡说八道了我说的那种可能有一些我也不知道我在说什么，请大家见谅很久之前我就听过科大讯飞这个输入法，但是这个输入法到底是什么样的我也没有用过，因为我并不知道她觉得她是一个很好的输入法，用百度搜索或者是其他的苹果自带的输入法，当时罗永浩发现了这个视频的时候，我发现过去这个说法也太厉害了，他怎么能这么厉害的识别率如此之高，而且无论有什么话普通话要怎么说他都脱口可以吃别的我没想到他真是', '短评打分': 5}
{'短评内容': '酒店位置不错，设施有点老，总体满意，但是这次去居然餐厅爆满，无法店内用餐，本来要宴请客户的，实在郁闷。', '短评打分': 3}
{'短评内容': '比较不错', '短评打分': 5}
{'短评内容': '酒店各方面都很到位，唯一不足可能就是酒店装修有点陈旧吧！', '短评打分': 5}
{'短评内容': '在这么一个城市，算是不错了，设施有点旧，但还干净。', '短评打分': 4}
{'短评内容': '前台服务员态度很好。一进房间感到很温馨，比较喜欢。房间设施太旧，其他都还好。周边环境有点脏。早餐不错！', '短评打分': 3}
