{'短评内容': '很好很好非常好！', '短评打分': 5}
{'短评内容': '卫生不错，早餐还可以', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '非常的不错，的确早餐的刀削面很好', '短评打分': 5}
{'短评内容': '不错不错哟', '短评打分': 5}
{'短评内容': '吃饭方便 其它一般', '短评打分': 4}
{'短评内容': '还不错，交通方便', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '不错哟，以后还要用京东', '短评打分': 5}
{'短评内容': '太差劲了', '短评打分': 5}
{'短评内容': '京东棒棒哒，订酒店首选京东', '短评打分': 5}
{'短评内容': '非常棒免费早点，服务态度棒棒哒，房价价格优惠，特色美食', '短评打分': 5}
{'短评内容': '装修还有一个月结束，暖气好热。喜迎初雪', '短评打分': 5}
{'短评内容': '不错。。。。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还好，出差一般都住在这里', '短评打分': 4}
{'短评内容': '住得舒服，吃得也不错', '短评打分': 5}
{'短评内容': '价格合适，条件也不错。', '短评打分': 5}
{'短评内容': '真心的不错，这个价位也便宜，吃住都很方便。', '短评打分': 5}
{'短评内容': '每月出差都来这里，环境好，交通方便，吃的也不错还挺实惠。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '三星级酒店标准，走廊有沙发可以休息。房间很大。暖气很热。最值得一提的是中午自助餐。20元一位，凉菜热菜将近二十种，有羊排、红烧牛肉和鱼头，还有现做的刀削面以及免费的啤酒和百事家族饮料简直太值太值了唉说得我好像个吃货。', '短评打分': 5}
{'短评内容': '很舒服 因为定的房没有了 给换了个套件 太值了', '短评打分': 5}
