{'短评内容': '不是七天旗下', '短评打分': 3}
{'短评内容': '环境不错，干净宽敞', '短评打分': 4}
{'短评内容': '无早，好停车，房间很大的气味。', '短评打分': 4}
{'短评内容': '服务热心快肠真好，下次再来光顾', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '不错 不错不错', '短评打分': 5}
{'短评内容': '可乐 可以 干净不错', '短评打分': 5}
{'短评内容': '可以 不错  只是不是七天啦！', '短评打分': 5}
{'短评内容': '不是七天的连锁，但是还好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店门口牌子很小，不太好找，门口好停车，房间很大，很舒适，卫浴设施比较旧，晚上入住也没提醒我拿牛奶，早上说过时间了拿不了了', '短评打分': 5}
{'短评内容': '酒店门口牌子很小，不太好找，门口好停车，房间很大，很舒适，卫浴设施比较旧，晚上入住也没提醒我拿牛奶，早上说过时间了拿不了了', '短评打分': 5}
{'短评内容': '酒店大堂很一般，房间还好，标间比较宽敞。', '短评打分': 5}
{'短评内容': '卫生状况不好，毛巾发黑，地板上很脏，不过周围吃的挺方便', '短评打分': 3}
{'短评内容': '热水挺热，如果Wifi信号再好点就更好了', '短评打分': 5}
{'短评内容': '网络信号太不给力，不是联不上，就是老掉线。', '短评打分': 5}
{'短评内容': '可以。', '短评打分': 5}
{'短评内容': '洗澡水挺热的，不错！', '短评打分': 5}
