{'短评内容': '适合出差旅游住宿', '短评打分': 5}
{'短评内容': '服务态度好，酒店有点偏，交通还可以。', '短评打分': 4}
{'短评内容': '感觉还行就是一次性的鞋子不大好用，房间也没纸巾。靠路边的虽然有双层窗户，但是隔音效果并不佳，请放个正常拖鞋吧毕竟洗澡，一下就湿了。', '短评打分': 4}
{'短评内容': '很满意  不错', '短评打分': 5}
{'短评内容': '很舒适 挺大的', '短评打分': 5}
{'短评内容': 'Simply the hotels is amazing with nice place', '短评打分': 4}
{'短评内容': '环境优雅，真心不错', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '房间非常干净，满意', '短评打分': 5}
{'短评内容': '性价比较高，值得一住', '短评打分': 5}
{'短评内容': '非常不错的酒店，以后还会过来的', '短评打分': 5}
{'短评内容': '还不错，性价比高', '短评打分': 5}
{'短评内容': '性价比可以了 干净', '短评打分': 4}
{'短评内容': '挺好的，舒服', '短评打分': 5}
{'短评内容': '越城区的如家估计有段时间了，但是如家是我住过的最舒服的酒店，就是地方有点偏僻，不过附近就有公交站，而且很近的地方就有超市啊，而且有在装电吹风，越来越舒服了', '短评打分': 5}
{'短评内容': '位置还可以，周围比较安静，附近小吃较少，交通比较方便', '短评打分': 5}
{'短评内容': '地理位置有点**，房间不错，设施也还可以，就是貌似有点抠，定了个单人间，明知道肯定会带老婆一起的，它酒店就偏偏只给放一双拖鞋，一套洗刷用品，那天把哥给气的啊！要改啊！', '短评打分': 1}
{'短评内容': '挺干净的，交通也方便', '短评打分': 3}
{'短评内容': '宾馆内部环境还不错，但是位置有点偏，不好找！期间厕所马桶堵塞了，，之后给换了个房间！算是那次住宿的败笔吧，，', '短评打分': 5}
{'短评内容': '太偏僻，房间太小', '短评打分': 3}
{'短评内容': '还不错的。我和我同学最开始为了省点钱是订的单人间，到了之后没单人间了给我们换了标间，收单人间的钱，超级好啊，卫生什么的也不错。早餐没吃过不知道怎么样', '短评打分': 5}
{'短评内容': '还不错的，性价比来说。停车也方便。也算干净', '短评打分': 5}
{'短评内容': '酒店挺安静的。步行5分钟左右，公交车比较多。酒店卫生条件一般，服务态度较好。', '短评打分': 5}
{'短评内容': '网上预定比会员卡合算  上次入住办了一张会员卡 看来用处不大了    房间相对比较小 隔音不怎么好  不过挺干净的 ', '短评打分': 5}
{'短评内容': '环城河边，环境优越，价格在绍兴地区还算一般，住宿环境总体可以。\n交通有些不便，很多司机不知道这家酒店在哪', '短评打分': 5}
{'短评内容': '。环境不错，就是稍微偏一点，挺干净卫生！', '短评打分': 3}
{'短评内容': '环境和地段都算中上，连锁店只要干净就好了 ', '短评打分': 5}
{'短评内容': '卫生干净服务不错地理位置也不错\n', '短评打分': 3}
{'短评内容': ' 酒店本身很好，房间服务员非常不错。\n但\n1、5.1临时涨价较多，\n2、前台服务态度太差\n3、不包早\n', '短评打分': 1}
{'短评内容': '挺干净，还算安静。数码电脑房的机器不行。', '短评打分': 3}
{'短评内容': '走廊真心长…隔音有点差…总体还是不错的…', '短评打分': 3}
{'短评内容': '服务环境都很好\n离景区都很近 出行也十分方便 傍边就是火车站\n离新西站也只要15分钟左右\n外面的街道很安静 \n风景也很好 我房间的外面就正好看见陈家新太门那个古建筑', '短评打分': 5}
{'短评内容': '乔波国际会议中心总体给我留下的印象还是蛮不错的，而且酒店的服务质量也是属于一流的，尤其是客房的走廊堪称目前为止我所见到的最宽的一家酒店了，配套设施一流，更以其特色滑雪为青年人所向往，我喜欢这家酒店，以后有机会的话还是会选择这一家的', '短评打分': 5}
{'短评内容': '隔音差了点。能听到不和谐声音。所以。单身人士还是考虑一下', '短评打分': 5}
{'短评内容': '房间还不错，主要是周围环境非常好，强烈推荐！', '短评打分': 3}
{'短评内容': '不错，就是隔音比较差,我住的是电梯口8204房间。服务态度也不错！', '短评打分': 5}
{'短评内容': '住的商务大床房，28平，180床很舒服，比汉庭快捷和168的床好。数字电视、宽带。可惜没wifi。可选数码大床房配电脑。\n距离火车站1公里多点，步行过去车站路、环城路到下大路，很方便。\n周围环境不错，酒店在古城墙下面，虽然只有两个门楼，一段城墙，不过能看到水陆两城门。', '短评打分': 5}
{'短评内容': '距离市区较远，但环境很好，很安静。推荐给大家！', '短评打分': 5}
