{'短评内容': '是、一直想到一切就是说从未如此简单', '短评打分': 5}
{'短评内容': '还可以的吧', '短评打分': 5}
{'短评内容': '早餐丰富，地理位置优越，交通便捷，停车也方便，下次再预定。', '短评打分': 4}
{'短评内容': '早餐没吃，不能加床，不适合带孩子，位置挺好，有停车场。性价比还不错，赣州物价还是比较好的，推荐给你。', '短评打分': 5}
{'短评内容': '酒店干净，卫生，设施齐全价格合理。', '短评打分': 5}
{'短评内容': '还好吧，第一次来赣州', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '值得拥有哦，感觉不错啊', '短评打分': 5}
{'短评内容': '还行吧 。', '短评打分': 3}
{'短评内容': '环境，早餐不错', '短评打分': 4}
{'短评内容': '非常不错，早餐很好', '短评打分': 5}
{'短评内容': '不错还好！但房间能闻到一楼火锅店的味道', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '如果是218元豪华标间，性价比不怎么搞，住的还行！', '短评打分': 4}
{'短评内容': '3星级的酒店，不错。离汽车站，火车站都很近。第二次来自住了，房吧内消费的东西也不算贵得离谱。', '短评打分': 5}
{'短评内容': '交通很方便火车汽车站都很近。房间不错，比较大，卫生干净。性价比很高。', '短评打分': 5}
{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '老旧酒店了，住着还凑合吧。服务员没太多服务意识。大半夜的让我补交押金，无语…', '短评打分': 3}
{'短评内容': '铁龙酒店价格实惠，有停车场', '短评打分': 3}
{'短评内容': '酒店的餐厅很无语， 餐厅服务人员太差了， 一个人去了，让帮忙找个位置，还不带路，直接叫我自己的桌子， 卫生情况也很差！完全不推荐', '短评打分': 1}
{'短评内容': '交通便利，房间卫生一般。', '短评打分': 3}
{'短评内容': '很好，住在11楼，风景很好，前台态度蛮好。设施中上。', '短评打分': 3}
{'短评内容': '第一次入住此酒店`感觉内部空气不流通很闷 ```', '短评打分': 5}
{'短评内容': ' 前台服务太差', '短评打分': 3}
{'短评内容': '入住发现房间竟然没有打扫。第二天离店忘记开发票，当天晚上电话询问补开，竟然回答离柜不管。\n设施差、早餐差、服务差！！！', '短评打分': 1}
{'短评内容': '酒店不错，价格也合适，只是早餐还需改善些', '短评打分': 3}
{'短评内容': '房间大，卫生一般88888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888', '短评打分': 5}
{'短评内容': '感觉不错，房舍整洁干净，楼下一二楼的餐厅生意十分火爆。是我这一路最为满意的酒店。', '短评打分': 5}
