{'短评内容': '交通便利，吃饭方便，房间环境优雅！', '短评打分': 5}
{'短评内容': '房间破旧，卫生间太恶心了，都不敢洗澡！周边环境不好，酒店设施不全，前台服务态度不好！房间卫生不干净，遥控器都一层灰！', '短评打分': 3}
{'短评内容': '前台接待冷漠，房间一般吧，面积挺小的...', '短评打分': 3}
{'短评内容': '环境和房间实在是太差了。', '短评打分': 2}
{'短评内容': '位置不太好', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '住宿条件很不好，卫生差，住的不舒坦，浴室设施都是坏的', '短评打分': 1}
{'短评内容': '服务很傻逼，只能这么说。', '短评打分': 2}
{'短评内容': '房屋太小，家具太旧，卫生一般，服务态度差，距离火车站不像网上宣传的那样，实际距离2.7公里，来回打车40元。不会再入住了。', '短评打分': 2}
{'短评内容': '环境不错，很安静，很干净，从高铁站到酒店很近的，打车几分钟。 早上起来很多出租车等在门口拉客，对于赶点上车的旅客是很方便的。开价20元，平时就是起步价10元。其它时间用打车软件叫车很方便，很快就来了。楼下有饭馆，吃饭很方便。好评必须的', '短评打分': 3}
{'短评内容': '距离武汉高铁站不远但没有公交车直达。早上起来很多出租车等在门口拉客，对于赶点上车的旅客是很方便的。开价20元，平时就是起步价10元。其它时间用打车软件叫车很方便，很快就来了。楼下有饭馆，吃饭很方便。旅店有点旧但还能接受，如果车站没有客房了这里还是可以作为备选的。', '短评打分': 3}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '就那么回事吧。。', '短评打分': 4}
{'短评内容': '酒店房间明亮，价位适中。', '短评打分': 3}
{'短评内容': '还行吧，毕竟比较便宜，而且距离武汉火车站比较近，走路十分钟左右。', '短评打分': 4}
{'短评内容': '我订的是单间（无窗），但是实际还是有窗户的。比较不错，条件还可以，离武汉站也很近，打的起步价。', '短评打分': 5}
{'短评内容': '离高铁站非常近，可以走路过去。前台明亮，房间就有点简陋咯', '短评打分': 5}
{'短评内容': '价格不合理，会员价和非会员价差别很大。还不给办理会员卡，哎，一般话。', '短评打分': 3}
{'短评内容': '酒店可以，服务周到，卫生尚可，就是吃饭有点麻烦', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '服务到位，很不错', '短评打分': 3}
{'短评内容': '房间真的好狭窄，随身带的20寸登机箱都没有地方放，只好塞在梳妆柜下面，可是梳妆柜下面原本放的凳子又没有地方放了，只好挤在床和墙壁之间，于是住客在里面完全无法走动了。马桶连盖子都已经掉了，空调响得跟跟运行中的大型机械似的，十分影响睡眠。', '短评打分': 1}
{'短评内容': '房间太小，也许是酒店需要返佣金给网站的原因所以把前台挂牌99的特价房当作138的普通单间给我们的吧。', '短评打分': 1}
{'短评内容': '位置很好，房间不是很干净。卫生间味道比较大，不过价格在那，还算性价比高。 \n', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '离武汉火车站很近,打车起步价就到了,卫生也可以没什么问题.', '短评打分': 5}
{'短评内容': '这家宾馆唯一的好处就是离火车站近，打车起步价就到，但是入住手续真的很简陋，没有系统查询，我们报姓名入住时，服务员死活说我们没有预定过，并在一个非常旧的本子上翻呀翻，终于找到了我们的预定信息，但告诉我们已没有我们预定的房型了，只有更贵些的，我们不同意，服务员就在那里扯皮，接待的服务员自言自语，说某某怎么干的活呀，明明预定了，也不登记过来，最终我们坚持要原价位的房间，里面出来了一个负责的人同意以预定价', '短评打分': 1}
{'短评内容': '酒店內部新裝修，很清潔，服務員態度不錯。但是周圍環境很差，300米開外有大煙窗，幾乎就是農村的地方，沒有公交，打車還不便，走路到高鐵站半個鍾，想投宿的看著辦吧。', '短评打分': 1}
