{'短评内容': '位置不错，房间干净无异味舒适，距离湖边近，周围景点路边有点闹，早饭一般，热水不够热。酒店旁边正在装修中。', '短评打分': 5}
{'短评内容': '晚上喝了酒没法开车才定的，一个人住标间，挺不错的', '短评打分': 5}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错很好不错。', '短评打分': 5}
{'短评内容': '离太湖很近，步行10分钟。鱼人码头吃饭也方便！', '短评打分': 4}
{'短评内容': '酒店位置不是太好找，但离太湖景区很近，周边配套还算方便，房间不算大，但还是很干净，卫生间配置也还可以，都是品牌的，性价比还行。', '短评打分': 4}
{'短评内容': '商务性酒店，设施一般，交通方便', '短评打分': 3}
{'短评内容': '周边环境好，观景美食都很方便。', '短评打分': 4}
{'短评内容': '地理位置佳，周围餐饮店集中选择很多，饭后环湖散步景色也很好。', '短评打分': 4}
{'短评内容': '不错，性价比很高！', '短评打分': 4}
{'短评内容': '景区宾馆周边吃的地方不多。位置还行就在太湖边', '短评打分': 4}
