{'短评内容': '火车站附近', '短评打分': 4}
{'短评内容': '感觉很一般吧。', '短评打分': 4}
{'短评内容': '停车场一到六层方便', '短评打分': 5}
{'短评内容': '商厦一层美食真不错，购物非常方便，隔壁边上有24KFC，停车场一到六层都有，免费的哦，配套设施非要全', '短评打分': 5}
{'短评内容': '不错很好、!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '一家很不错的酒店 窗外的夜景不错', '短评打分': 5}
{'短评内容': '房间不错 地理位置也不错 唯一的缺点就是房间骚扰电话不断此起彼伏', '短评打分': 5}
{'短评内容': '房间隔音不好 隔壁的说话声音听的一清二楚 还有卫生间的墙壁还漏水 换了房间换了房卡 没想到第二天房卡打不开 我也是醉了 还是到前台重新去换的', '短评打分': 3}
{'短评内容': '挺不错的，比直接到那里买便宜好几十，没想到京东上也能买。', '短评打分': 5}
{'短评内容': '火车站乘一站地铁就可到达酒店，交通还是挺便利的，有提供水果，只是水果是烂的，电话沟通后送了新的过来。。房间还是蛮干净的，但布局不合理，床头居然没有充电插座，床的对面还有一面镜子。。', '短评打分': 5}
{'短评内容': '住的是标间，房间超大，空间感很好，酒店前台服务态度很好，客房服务员素质很高，酒店用品很干净，，超多火锅食物可选，过瘾，购物更方便，离黄河、大莹、富民服装、童装城、女人街就是几分钟的路程，对购物者来说，是最好的入住酒店酒店旁边是医院，酒店交通方便，在主要交通道旁，下次到虎门肯定选这家酒店。', '短评打分': 5}
{'短评内容': '不错?????', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '出行方便，过年的时候性价比不错', '短评打分': 5}
{'短评内容': '周边环境还不错，离玄武湖也近', '短评打分': 5}
{'短评内容': '周边环境还不错，离玄武湖也近', '短评打分': 5}
{'短评内容': '这次没有上次的体验好，房间小了电脑也取消了。地毯还有点脏', '短评打分': 4}
{'短评内容': '老牌酒店了，交通便利周围吃饭购物也方便', '短评打分': 4}
{'短评内容': 'Nice place with nice amenities.  Id highly recommend', '短评打分': 4}
{'短评内容': 'had a nice room, and very central place in the city', '短评打分': 4}
{'短评内容': 'Had a nice stay.  It was convenient to get around and the staff were friendly', '短评打分': 4}
{'短评内容': '挺好的，挺不错的。', '短评打分': 5}
{'短评内容': '酒店距火车站较近，但是性价比不是很高。周边出行还是很方便，吃饭也有很多选择，楼下就有美食城，很多种口味都可以选择。', '短评打分': 3}
{'短评内容': '环境很好。交通也很便利。下次来还会选择这家酒店入住！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还是不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '酒店位置好找，服务没话说，去前台时问是否有电脑房，接待马上给调了间电脑房，这点很意外，相当满意。房间环境不错，很干净，就是下面是铁路，晚上火车经过有点吵，不过对我影响不是大。总之很满意，下次去南京还住这家', '短评打分': 5}
{'短评内容': '大堂还过的去，房间灯光幽暗很不舒服，还不如快捷酒店', '短评打分': 1}
{'短评内容': '首先，酒店的诚信有问题。订的是带电脑的商务间，给的是普通单间，经过交涉才给换了房间。其次，酒店的设施非常陈，不及普通的商务联锁酒店。用四个字概括：质次价高。', '短评打分': 1}
{'短评内容': '地址好找，好认，交通及其方便（距离火车站，客运站近），买东西什么的很方便，超市商家多，酒店比较豪华，舒适，一住就是两天，还要感谢前台的客服姐姐给我们把房间保留到21点～～～', '短评打分': 5}
{'短评内容': '服务态度还好，中央空调效果太差，房间一般，我住的328房间，总体打60分，唯一的好处靠火车站近', '短评打分': 3}
{'短评内容': '好评，环境服务都挺好，价钱也不贵。', '短评打分': 3}
{'短评内容': '在火车线路旁边，有点吵。晚上火车过十几趟，住朝南的房间会好些。', '短评打分': 1}
{'短评内容': '很好的酒店圆形床很有特点为，很安静下次来还会入住', '短评打分': 5}
{'短评内容': '总体来说还行吧，就是房间有点老了，服务员的服务质量还有待提高', '短评打分': 5}
{'短评内容': '太旧了，冰箱里有德国小镰，有气味，交通还比较方便。不会再去', '短评打分': 1}
{'短评内容': '酒店很干净，设施齐全，对得起三星这块牌。床品很舒服。下次可以推荐别人，', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '酒店离市中心还是蛮远的，条件还算凑活吧。', '短评打分': 5}
{'短评内容': '不错的老酒店，就是设施老了点！以后去南京还会选择白宫大酒店的！', '短评打分': 5}
{'短评内容': '房间不错，就是电视遥控器有点问题。早餐需要改进。', '短评打分': 5}
{'短评内容': '酒店工作人员还是比较热情，帮忙换了一间不吵的房间，谢谢。', '短评打分': 5}
{'短评内容': '离火车站很近，出行方便。去新街口大约20多块。', '短评打分': 5}
