{'短评内容': '环境卫生都好', '短评打分': 5}
{'短评内容': '真的很完美', '短评打分': 5}
{'短评内容': '周边交通方便、快捷！', '短评打分': 5}
{'短评内容': '周边交通方便、快捷。适合再次入住！', '短评打分': 5}
{'短评内容': '交通便利，景点延地铁二号线有很多，酒店步行至大行宫地铁站5分钟。房间地毯一周清洗一次。', '短评打分': 4}
{'短评内容': '酒店位置不错，虽然房间有些旧了，但是床品很好，睡觉很舒服，酒店房间在高层视线也很好，续住了一晚！值得推荐', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '非常的干净安静舒适', '短评打分': 5}
{'短评内容': '还可以吧，对得起这个价格了，酒店楼下都是公司和各种少儿培训班，人比较乱而杂吧，不过位置很方便的，还不错', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '第一次住该酒店，地理位置不错，地铁出来很近，新街口离得不远，交通也很方便。酒店设施一般，感觉三星级的条件，房间有些吵，早餐一般', '短评打分': 3}
{'短评内容': '环境不错，性价比好', '短评打分': 5}
{'短评内容': '具体丢还不错', '短评打分': 5}
{'短评内容': '设施比较旧，床太软，服务态度差。', '短评打分': 1}
{'短评内容': '和同事一起出差，已经评论过了！再也不会入住了！没有选对酒店，还是预付，只有住了！', '短评打分': 4}
