{'短评内容': '服务一般，意识不强，早餐不好吃', '短评打分': 4}
{'短评内容': '挺不错的呀', '短评打分': 5}
{'短评内容': '满分，棒棒哒，', '短评打分': 5}
{'短评内容': '朋友说不错哦！下次还去', '短评打分': 5}
{'短评内容': '床不舒服，隔音不好', '短评打分': 3}
{'短评内容': '还可以吧，就是临街，稍微有点吵。。', '短评打分': 5}
{'短评内容': '东西不错我喜欢', '短评打分': 5}
{'短评内容': '总体环境还算可以，差在wifi太不给力，须改善', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '不错，床很舒适，光线有些暗了，不太合适办公', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '挺好的，房间很大，价格优惠！旁边吃饭的地方也很多，晚上和客户在旁边酒店吃完饭几步就走回房间。早上还有吃早茶的地方。非常推荐商务出差之选', '短评打分': 5}
{'短评内容': '房间空间比其他维也纳酒店要小一些，服务还不错，对于没有早餐也在办手续的时候推荐了周边的价格不一的餐厅，方便选择', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 4}
{'短评内容': '房间卫生细节呀、前台服务啊、还有被子、花洒等用品和其他维也纳国际品牌都是一样的，房价很便宜哦，总之性价比超高，推荐！', '短评打分': 5}
{'短评内容': '酒店真心不错，在佛山体验最好的酒店了。', '短评打分': 5}
{'短评内容': '挺好的！对于出差的我来说真是一个很舒服的地方！房间干净整洁！赞一个！', '短评打分': 5}
{'短评内容': '离南海影视城蛮近的，开车5分钟之内吧。关键是前台服务好的很，客房卫生很干净，维也纳值得信赖的品牌，值得推荐。', '短评打分': 5}
{'短评内容': '环境优美，价格合理，是理想的出差旅行的住宿首选', '短评打分': 5}
{'短评内容': '很好，给力，好好。', '短评打分': 5}
{'短评内容': '感觉一般，房间不大', '短评打分': 3}
{'短评内容': '离市区太远，房间没想象中好，总体还可以吧~！\n', '短评打分': 5}
{'短评内容': '房间卫生可以，水够热，但隔音效果不好，入住的标准单间只有电视柜背后才有插座不方便，拐角房不方正，但也对得起价格吧。', '短评打分': 5}
