{'短评内容': '不怎么好！无线没有，空调不好用！', '短评打分': 2}
{'短评内容': '感觉很好 下次还回去', '短评打分': 5}
{'短评内容': '还行吧，就是雨伞落下了，房间大姐当垃圾给扔掉了。。哎。给个好评吧。', '短评打分': 5}
{'短评内容': '房间\n环境挺好的\n，服务态度也不错。周边有点小吵', '短评打分': 5}
{'短评内容': '位置优越，硬件一般，性价比高。', '短评打分': 3}
{'短评内容': '价格合理，房间空间大，离火车站非常近，但房间内很安静，超值！', '短评打分': 5}
{'短评内容': '性价比很好了这个价位，位置好方便', '短评打分': 3}
{'短评内容': '房间很大，总的来说还可以', '短评打分': 3}
{'短评内容': '错不了，速8的环境及服务还有卫生等那绝对是刚刚的', '短评打分': 5}
{'短评内容': '酒店卫生条件不错，服务还可以，价格实惠。', '短评打分': 5}
{'短评内容': '房间大小适中，感觉还不错，就是隔音效果差了点。', '短评打分': 5}
{'短评内容': '网络慢，而且前台服务差，交了压金还说我没交。什么玩艺啊。超级郁闷', '短评打分': 3}
{'短评内容': '干净，价钱便宜，就是离市内稍微有点距离，坐公交也方便', '短评打分': 5}
{'短评内容': '不错，房间很大，挺经济实惠。', '短评打分': 3}
{'短评内容': '非常好，很喜欢，干净，安静，以后出差还是会住这里。', '短评打分': 5}
{'短评内容': '位置很方便 服务不错 房间装修和设施有点旧 性价比一般', '短评打分': 1}
{'短评内容': '不错 服务到位 而且交通方便 火车站 购物都很近', '短评打分': 5}
{'短评内容': '比较干净', '短评打分': 3}
{'短评内容': '酒店环境不错，卫生也很干净，临近火车站，交通比较便利，值得推荐', '短评打分': 5}
{'短评内容': '服务很好,房间也比较干净,只是无早餐,不过尝尝扒鸡也不错', '短评打分': 3}
{'短评内容': '很满意，下次还会再来的…………………………', '短评打分': 5}
{'短评内容': '酒店太吵不隔音，房间里说话走廊上听的很清楚 ，而且空调不是很暖和', '短评打分': 1}
{'短评内容': '该酒店就在火车站边上，还比较卫生~~房间不错~~经济 便捷~~~~', '短评打分': 5}
{'短评内容': '服务很好,也很安静非常不错！', '短评打分': 3}
