{'短评内容': '还可以性价比最高', '短评打分': 5}
{'短评内容': '地方特别难找，找了好久，问了好几个人，还好好人多，到了酒店也还好，WIFI有点不给力，隔音效果比较差，一晚上净听别人打呼噜了', '短评打分': 4}
{'短评内容': '酒店还行，就是不好找，属于江西工商学院的宾馆，平时基本不接待外客都是学校的人.', '短评打分': 4}
{'短评内容': '特别差', '短评打分': 2}
{'短评内容': '安静、服务态度好，在学校里面', '短评打分': 3}
{'短评内容': '酒店很难找。环境一般。', '短评打分': 3}
{'短评内容': '还不错，很宽敞明亮，就是可能很久没人住过', '短评打分': 5}
{'短评内容': '还可以，就是比较难找', '短评打分': 3}
{'短评内容': '太角落里了  很难找  设备也不齐全 不满意', '短评打分': 3}
{'短评内容': '设施齐全，价格实惠，还可以吧，比较安静。', '短评打分': 5}
{'短评内容': '环境还不错，就是位置有点难找，总的来说还是值', '短评打分': 5}
{'短评内容': '房间有电脑空调等设备齐全，交通位置便利，旁边小吃饭馆很多，超市就在附近，里面停车方便，各种会议培训的的最佳之选，总之非常值得推荐的一个地方', '短评打分': 5}
{'短评内容': '蛮好的，可以推荐给其他人住，设施齐备，还有电脑', '短评打分': 5}
{'短评内容': '太难找了。门口小吃倒是不错，价廉物美。酒店内部味道很难闻。', '短评打分': 1}
{'短评内容': '临时居住也还可以。价位不算高，也还能住。', '短评打分': 5}
{'短评内容': '酒店偏僻,难找。', '短评打分': 3}
{'短评内容': '\r\n性价比不错，此预期感觉好，只是觉得前台服务不太热情，也许是对散客不感兴趣吧。', '短评打分': 3}
{'短评内容': '我的第一反应是服务不好 我住酒店前几天就预定了 结果到了酒店 服务员却说没有我的订单 真是的 一开始还让我加10元另外开房 哪有这样服务的啊  自己出了错 应该承担错误 还让顾客来承担损失。我在那里跟服务员理论了 好久  还好让我以预定的价格住了。客房里的电脑网速超慢。', '短评打分': 1}
{'短评内容': '卫生不错，房间打扫的挺干净，位置一般，不是在市区，但是挺安静，休息的很好。', '短评打分': 5}
{'短评内容': '酒店还不错，性价比挺不错，值得推荐一下。', '短评打分': 5}
{'短评内容': '环境干净安静，总体感觉性价比挺高。', '短评打分': 5}
{'短评内容': '房间挺宽敞挺干净的，液晶大电视看着很爽，出行也很方便，住的挺满意的。', '短评打分': 5}
{'短评内容': '房间挺大，卫生挺好，价格挺合理。', '短评打分': 5}
