{'短评内容': '不错的酒店！', '短评打分': 5}
{'短评内容': '品味不错的酒店。', '短评打分': 5}
{'短评内容': '订的时候，房型说明里写着房间25平米，可实际只有十二、三平米，空间太小。这算是酒店的失信。加上设施阵旧， 伴有一股霉味。唯一的一点好处是，离普济寺非常近，只有5分钟的路程。听说酒店要重新装修了，希望能改建的好点。', '短评打分': 3}
{'短评内容': '位置不错，但是由于指路标识没有，非常难找。看到宾馆后整个人都傻眼了，从外看是破败的院墙，后院满目的建筑垃圾，高大茂密的古树，阴深深的走道，扑鼻的霉味，如果拍鬼片都不用渲染气氛。晚上不敢出门，怕碰到小倩。其实门头还较像样，入口小庭院也不错，后面的大院子如果稍稍整理一下，铺点地砖，种些花草，布置一些休闲座椅，也是一亮点。房间去掉地毯，改用地砖或木地板，就不会潮湿发霉。后来问了问服务员，原来是国有单位，', '短评打分': 2}
{'短评内容': '景区酒店很一般，不过离车站近', '短评打分': 3}
{'短评内容': '很好不错', '短评打分': 5}
{'短评内容': '还是可以的，到普济寺上早课方便', '短评打分': 4}
{'短评内容': '位置离普济寺比较近，房间干净', '短评打分': 3}
{'短评内容': '我很喜欢这个酒店，下次再来吧。', '短评打分': 3}
{'短评内容': '来到普陀说饭店有车接，结果来的是自行车，自行车能接送吗，真晕了，房间设施旧不值800元1晚', '短评打分': 3}
{'短评内容': '位置紧邻普济寺，硬件和服务赶不上星级酒店，但算是个不错的选择。有潮湿的味道，但空调开后，味道会减少。总体还不错，推荐。', '短评打分': 3}
{'短评内容': '很不错，环境清幽，游玩方便', '短评打分': 3}
{'短评内容': '，酒店性价比较好，就是没有明显的指引牌，不好找，但下次会推荐。', '短评打分': 3}
{'短评内容': '离普济寺很近，离海边也很近，比较清静，就是晚上旅行团，太吵，洗澡水太小，靠山有点潮味，其他还不错', '短评打分': 5}
{'短评内容': '三圣堂位于普济寺附近，山中幽静处。房间有点小，并且有潮味，不过住一晚影响不大。', '短评打分': 5}
{'短评内容': '酒店环境地理位置都不错，装修就谈不上了，还算是比较实惠。', '短评打分': 3}
{'短评内容': '位置幽静，普济寺走五分钟就到。比较潮湿，有霉味。房间比较干净，有网线，无WIFI', '短评打分': 5}
{'短评内容': '周边环境不错，很幽静，就是没有车子接送，出行不是很方便。', '短评打分': 5}
{'短评内容': '性价此不高。', '短评打分': 3}
{'短评内容': '今天下雨.上岛好失望.没人接.打电话去他们店里都没人接.气疯了.衣服了都湿了.到店具体地址还要问别人,要座公交车去.想不去.可是信用卡担保.不去要扣钱的.被迫无耐呀.不体验你是不知道的.', '短评打分': 5}
{'短评内容': '普济寺旁边，里面设施老旧，白天没热水！房间很普通！没啥特色', '短评打分': 5}
{'短评内容': ' 离景点很近', '短评打分': 3}
{'短评内容': '酒店还不错，离普济寺很近', '短评打分': 3}
{'短评内容': '古木参天，整洁优雅，以后还会来', '短评打分': 3}
{'短评内容': '我觉得挺不错的，出门左拐3分钟就到普济寺了，难得是幽静非常，住宿条件也蛮好的，没有出现水不热的情况，淋浴水既热又大，厕所有点小了但是也不是什么大问题', '短评打分': 3}
{'短评内容': '离普济寺很近，早上起大早做早课很方便。水不太热，房不太大，在普陀山上仅睡一晚上也还行。价钱有点贵。', '短评打分': 5}
{'短评内容': '酒店很安静，离普济寺很近，交通很方便，虽然小点，但是还不错，给个好评', '短评打分': 5}
{'短评内容': '52酒店很干净,价格相对很低,非常好.', '短评打分': 3}
{'短评内容': '一般般一般般一般般一般般一般般一般般一般般', '短评打分': 5}
{'短评内容': '服务不错！', '短评打分': 3}
{'短评内容': '距离普济寺十分近~妙庄严路也十分幽静美丽古色古香~！并且服务员态度不错~房间也干净卫生~有热水~只是清早可能就没有~不过没有神马影响！', '短评打分': 5}
{'短评内容': '空调太差，热水用不热。结账就是不给发票。极力推荐大家不要去这家店', '短评打分': 1}
{'短评内容': '交通非常方便,离普济寺就几分钟的路程.性价比蛮高的', '短评打分': 5}
{'短评内容': '环境一般，装修的有点老，价格也贵，进去就后悔了，退房要不让你退，唯一的好处就是下楼吃饭方便，其他真的没有什么好说的了。', '短评打分': 1}
{'短评内容': '房间虽小但还干净,但三圣堂前台大婶的服务态度很是生冷', '短评打分': 3}
{'短评内容': '酒店干净整洁,但酒店的早餐很一般,服务很差.', '短评打分': 3}
{'短评内容': '很干净。环境也很安逸。出门就到普济寺了。', '短评打分': 3}
{'短评内容': '三圣堂酒店位置不错，离普济寺很近，环境幽静。缺点是隔音效果差，卫浴用品破旧，不好。但总体还是不错。', '短评打分': 3}
{'短评内容': '1.24小时没热水!服务员说要多放一会热水才能流到房间，我放了两个小时还是冷冰冰的\n  试问他们家锅炉是不是放在沈家门这么久还流不过来！\n2.欺诈顾客 本已损坏的“洗脚”告示牌硬说是顾客损坏的要求赔偿：《\n3.入住需谨慎！！！！！！！！！！如需入住带好dv先把房间拍摄一遍留存证据以备不时之需！还有带好脸盆用水壶烧水洗澡！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '饭店一般服务还可以', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '距离普济寺很近，老妈去参加观音成道日的法会，感觉很方便，就是价格有些不合理，其它还好，老母亲还算满意。', '短评打分': 5}
{'短评内容': '满意。', '短评打分': 3}
{'短评内容': '周边环境幽静，烧香礼佛方便。房间装修一般，但干净。', '短评打分': 5}
{'短评内容': '位置的确比较方便，步行至普济寺不超过6分钟，坐落在山脚下，周围古木参天，又只有两层，所以房间会有点潮湿；内部环境一般，酒店建造时间应该比较长了，房间有些显旧，隔音效果较差；酒店说的码头接送事先联系了好几次也没联系上，晕……便捷性5星，舒适度3星，服务3星，性价比4星', '短评打分': 5}
{'短评内容': '地段挺好，离普济寺较近，而且交通也挺方便。服务员态度挺好，房间内的有线电视信号不好，服务员马上派维修人员赶来调试。房间内卫生上课，就是进入房间后霉味较重，这大概和岛上天气潮湿有关吧。', '短评打分': 5}
{'短评内容': '第二次入住了。呵呵。算是普陀的中心地段。', '短评打分': 5}
{'短评内容': '基本不错，交通便利，服务也好，就是霉味较重', '短评打分': 5}
{'短评内容': '房间小 床小 地理位置很偏 价格倒不低 隔音很差 里面设施非常一般  招待所档次吧', '短评打分': 1}
{'短评内容': '卫生干净交通方便', '短评打分': 3}
{'短评内容': '1.前台人员接待时间很长，不知是不熟电脑，还是..\n2.房间很小，味道很重，床很差（到处都会压到弹簧圈）\n3。不是莲蓬头坏掉，就是没热水洗。\n4、520/标间的收费标准太高，根本不值！合理价位应是100/标间、\n5、评价在2星以下。', '短评打分': 1}
