{'短评内容': '环境和服务，早餐都不错', '短评打分': 5}
{'短评内容': '非常适合出游居住。', '短评打分': 5}
{'短评内容': '不错，很方便，很好', '短评打分': 5}
{'短评内容': '很好，很好，很好啊', '短评打分': 5}
{'短评内容': '暂时是兰溪市最好的酒店，没有之一。这价位适中，还行的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '刚到的时候吓一跳，黑漆漆的，跟携程上看到的完全不一样，慌得我都想换地方了，进去之后发现还可以，住得还比较舒服。', '短评打分': 4}
{'短评内容': '当地最好的酒店', '短评打分': 5}
{'短评内容': '服务态度良好，设施齐全，信用良好，安全', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '什么都很好，值得住，特别是晚上自助餐，性价比超高', '短评打分': 5}
{'短评内容': '服务很周到，房间干净！', '短评打分': 5}
