{'短评内容': '非常好，来兰州多次入住', '短评打分': 5}
{'短评内容': '位置好，环境普通', '短评打分': 4}
{'短评内容': '好，非常好', '短评打分': 5}
{'短评内容': '干净整洁，交通方便', '短评打分': 5}
{'短评内容': '如果喜欢安静的话不建议住这里！', '短评打分': 4}
{'短评内容': '不错不错。方便的酒店。', '短评打分': 4}
{'短评内容': '一般，价格还贵', '短评打分': 4}
{'短评内容': '周边环境很好，交通便利', '短评打分': 5}
{'短评内容': '如家还是那样，未曾变过....支持.', '短评打分': 5}
{'短评内容': '房间干净，暖气充足', '短评打分': 5}
{'短评内容': '服务很热情，就是房间里有点点烟味。', '短评打分': 5}
{'短评内容': '位置较好，环境设施一般！', '短评打分': 2}
{'短评内容': '酒店干净，地理位置好，外面吃喝都有，服务好', '短评打分': 5}
{'短评内容': '交通便利  门口出发 吃饭方便', '短评打分': 4}
{'短评内容': '来兰州出差，从来都住这一家如家！干净卫生房间大！', '短评打分': 5}
