{'短评内容': '差', '短评打分': 2}
{'短评内容': '设施很差', '短评打分': 2}
{'短评内容': '连个门牌都找不到先不说了，服务太差，跟老板说要住三五天的，结果隔天续房跟我说没房了，被别人订了。我也是服了，一个招呼也不打', '短评打分': 2}
{'短评内容': '有点小贵，空调不冷，条件一般', '短评打分': 3}
{'短评内容': '真得很棒啊！我住下来哪有之前那些评论那么差，老板也很热情，和家里一样嘛，东西很齐，很干净！小区边就是家乐福，不知道那些评低分的是不是脑子有病，反正我下来还订这家', '短评打分': 5}
{'短评内容': '环境一般，难找！', '短评打分': 3}
{'短评内容': '一般，公寓式，不是很好找', '短评打分': 4}
{'短评内容': '不知道是我个人要求高还是怎的，看了网上朋友推荐我才定的美怡家，可进门之后我被潮湿发霉的气味打败了！被三公分大的蟑螂吓晕了！被宣传家庭般厨房没任何灶具逗乐了！总之…大家应该懂了！', '短评打分': 3}
{'短评内容': '房间设施与价格相符，但因为空调机故障，不制冷。提出调换房间，说是因为广交会的原因订房率较高，无房可换，但担供了一个电扇。因考虑到空调机不可能短时间修好，所以第二天提前退房。换了间酒店。', '短评打分': 1}
{'短评内容': '还不错，服务态度好～也很干净，但就是床头灯没有，发现有只蟑螂，整体还是不错的～推荐！', '短评打分': 3}
{'短评内容': '性价比不错，有洗衣机，购物方便，如果预算有限，住这里还是可以的', '短评打分': 5}
{'短评内容': '这次住过4间.算B塔403房最佳, B塔405及703的热水器的出水水温偏低,总体感觉满意,下次还会来.', '短评打分': 5}
{'短评内容': '帮客户订的，国外客户不是很满意，说冰箱有怪味，床太硬， 总之不适合老外住，我看了一下，如果是中国人暂时住住也还可以。 ', '短评打分': 5}
{'短评内容': '这个公寓居住很方便,卫生还好,装修一般', '短评打分': 3}
{'短评内容': '地方有点偏，出地铁站后有点难找。酒店是在小区里面，但是办公室和住的地方是分开在不同的两栋。有冰箱有洗衣机，装饰布置都不错。宽带有点慢', '短评打分': 3}
{'短评内容': '环境不错.就是有点难找.', '短评打分': 3}
{'短评内容': '满意。大床房带有洗衣机、阳台、厨房。。挺大的。即是公寓型酒店。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '位于居民小区，是单身公寓户型，小区环境不错；建议登记厅堂装修专业一些，以免引人误解。', '短评打分': 3}
{'短评内容': '该酒店的环境总体上还可以，只是位置有点难找。', '短评打分': 5}
{'短评内容': '    房间真的很棒，有阳台，设备齐全，比7天什么的号多了，早知道3月来的时候就住这里了。老板人也很好。附近比较方便的。下次有机会还住这里。', '短评打分': 5}
