{'短评内容': '保安态度极差', '短评打分': 2}
{'短评内容': '没有早餐的，加床没试过酒店位置离大工很近，停车场你停在旁边就好了,带孩子的话也挺合适的，还有就是我住的那个晚上有点水声', '短评打分': 5}
{'短评内容': '性价比挺高，，，，，，，，，，，不开空调也很暖，，，，，，阳光直射进来，，，卫生还可以，出入方便，早餐太辣', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '在我学校附近 11年住过 很干净 这次父母去也订的这里', '短评打分': 5}
{'短评内容': '在我学校附近 11年住过 很干净 这次父母去也订的这里', '短评打分': 5}
{'短评内容': '酒店总的来说还是挺好的，卫生干净，经济实惠，尤其是地点在大连理工大学旁边，适合家长朋友们去看看孩子，非常方便，值得入住！', '短评打分': 5}
{'短评内容': '感谢京东的同仁由于临时有变 办理了取消退房 且已经将房屋租金退给本人  谢谢你们', '短评打分': 5}
{'短评内容': '挺好的房间，感觉不错！', '短评打分': 5}
{'短评内容': '卫生干净，比较小，但这个价格已经很好了', '短评打分': 4}
{'短评内容': '房间宽敞明亮，周边环境舒适，服务员热情周到，房间暖气空调开放，有家的温馨', '短评打分': 5}
{'短评内容': '明明第一次去的时候还不错，第二次就呵呵了，被子发黄，电视信号不好，马桶不能冲水第二天Wi-Fi用不了，问前台，态度真是可以的，没有解决不能用就不能用。5a级差评 送给你不用谢', '短评打分': 1}
{'短评内容': '房间还行，这个时候价位也便宜，去大工办事方便。', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '位置很好，离大连理工大学非常近，吃喝玩乐都很方便，交通便利，方便去市里。酒店条件相对一般，价格合理，还不错。', '短评打分': 4}
{'短评内容': '比阳光居好，热水够热，水压够大，房间没味道，够了。', '短评打分': 5}
{'短评内容': '就是一般的宾馆，没什么特别的，距离理工大学非常近', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '服务周到！', '短评打分': 4}
{'短评内容': '房间小了点，在大连理工西门旁边，交通还算方便，有406路公交车可到星海广场，大商步行街。', '短评打分': 5}
{'短评内容': '环境还不错，比较安静，离大连理工大学很近，价格再给点优惠就更好了。', '短评打分': 5}
{'短评内容': ' 德翔的室内设施和三星级宾馆可以相提并论，很安静。服务态度也非常满意。', '短评打分': 3}
{'短评内容': '订的大床房，房间很小，还算干净，洗澡水也不错，就是最后一晚屋顶的出风口有响声，弄得半宿没睡好觉。', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '很干净，很舒服，性价比很高。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好！下次有机会还会再来。干净，服务好。', '短评打分': 5}
{'短评内容': '很好，房间干净，住的比较舒服，下次还会和朋友来住！', '短评打分': 5}
{'短评内容': '周围环境不错，吃饭方便，洗浴水不错，屋内洗漱用品齐全，推荐', '短评打分': 5}
{'短评内容': '不错，吃的方便，离火车站稍远，打车29块，公交50分钟', '短评打分': 5}
{'短评内容': '还不错，房间有点小，下次还会去的，挺近的', '短评打分': 5}
{'短评内容': '房间不太隔音，整体很不错，周围小吃多，吃饭方便', '短评打分': 5}
{'短评内容': '不错的选择！', '短评打分': 3}
{'短评内容': '交通很方便，室内也很干净，热水充足，服务也很周到。不过隔音稍差，其他都很不错~', '短评打分': 5}
{'短评内容': '很不错 卫生干净 周围有很多饭店  交通也方便', '短评打分': 3}
{'短评内容': ' 很不错 卫生干净 周围有很多饭店  交通也方便', '短评打分': 3}
{'短评内容': '位置紧邻大连理工大学周围吃的多但是距离市区太远', '短评打分': 5}
{'短评内容': '酒店干净', '短评打分': 3}
{'短评内容': '服务态度不错', '短评打分': 3}
{'短评内容': '环境很好,服务很热情', '短评打分': 3}
{'短评内容': '这次的房间没有上次大的，不过还好了。', '短评打分': 3}
{'短评内容': '条件不错，我住的那间屋子空间很大。很舒适', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '房间很干净,离大连理工西门很近', '短评打分': 3}
{'短评内容': '房间很大很干净', '短评打分': 3}
{'短评内容': '在那住了五晚了，感觉非常好，离大连理工西门非常近，服务态度也不错，而且价格在大连算很合理的了', '短评打分': 5}
{'短评内容': '住了好多天了，很方便，很舒适的，不错，离车站也不太远', '短评打分': 5}
{'短评内容': '附近吃的地方很多，离大学很近，工作人员很热情，很好，要是有湖南卫视就好了', '短评打分': 5}
{'短评内容': '位置可以,但隔音隔光效果一般.其他条件一般!!!!!', '短评打分': 5}
{'短评内容': '离大连理工非常近，适合来找朋友玩，很干净，服务态度也不错，只是预定时可以返的50元现金券不知道为什么一直没有打入我的账户', '短评打分': 5}
{'短评内容': '如果你去海事大学、大工看读书的孩子，可以住在这里。', '短评打分': 5}
{'短评内容': '房间出乎意料的好，有很好的大窗户和阳光，里面的也很干净', '短评打分': 5}
{'短评内容': '环境很好，吃饭的地方很多，房间很宽敞，床很大~浴室的门有些密封的不是很好', '短评打分': 5}
{'短评内容': '酒店不错，靠近大连理工大学，性价比高，出行方便', '短评打分': 5}
{'短评内容': '已经多次入住该酒店，服务很好，环境也不错。', '短评打分': 5}
{'短评内容': '很干净很安静', '短评打分': 3}
{'短评内容': '第二次入住，酒店比较安静，也很干净，就在大连理工大学西便门。门口有406路公交车。', '短评打分': 5}
{'短评内容': '床不是很软 宽带较慢 其他还好。\n有返还，离理工大学近，可以考虑。', '短评打分': 5}
{'短评内容': '套房环境很好，店家主动给安排的有窗房间~整体很满意', '短评打分': 5}
{'短评内容': '很不错 里面很干净很卫生 阿姨打扫也很认真', '短评打分': 5}
{'短评内容': '住了很多次了，下次还会来。', '短评打分': 3}
{'短评内容': '一般吧，空调不怎么管用。热水反应慢，但是一直有。新建的，卫生条件不错', '短评打分': 5}
{'短评内容': '屋子很整洁，采光特别好！！！\n隔音嘛，呵呵，不算差，但是还是会听到些……', '短评打分': 5}
{'短评内容': '不错  大床房 浴室玻璃很通透啊 哈哈哈哈哈哈哈 就是半夜有狗叫 (⊙o⊙)…', '短评打分': 5}
{'短评内容': '房间很干净、很干净，住了一间双面墙都是落地窗的，很明亮，夏天住一定更舒服。', '短评打分': 5}
{'短评内容': '环境较好，服务略差，空调声音有些大，建议增加早餐。', '短评打分': 5}
{'短评内容': '价格稍贵，不过在大连也算实惠了，环境比较干净。', '短评打分': 5}
{'短评内容': '价格低，性价比合适，周围饭馆很多，推荐一下。', '短评打分': 5}
{'短评内容': '挺好的，很干净，交通也很方便，特别适合家长带孩子来大连考学的。', '短评打分': 5}
{'短评内容': '环境很好 价格也很公道 卫生条件也不错  比较安静 性价比很高 推荐', '短评打分': 5}
{'短评内容': '房间不隔，音', '短评打分': 3}
{'短评内容': '环境不错，物有所值。就这点字，不想多写就这点字，不想多写就这点字，不想多写就这点字，不想多写就这点字，不想多写', '短评打分': 5}
{'短评内容': '中规中矩，设施比较新，性价比还不错。。。', '短评打分': 5}
{'短评内容': '服务态度很好，房间很清洁，离大连理工非常近而且经济实惠，我很满意。', '短评打分': 5}
{'短评内容': '还不错、服务都蛮到位的。环境也还可以。只是房间小了点·', '短评打分': 5}
{'短评内容': '能按预定如期入住，很守信用。房间整洁卫生、有电吹风、电水壶等用品，但半夜听见外边有狗叫声。', '短评打分': 5}
{'短评内容': '酒店服务态度很好，设施不错，价格也不贵，值得去住。', '短评打分': 5}
{'短评内容': '刚入住，第一感觉很好，干净，舒适，有点家的感觉，不错噢，下次再来还住这！', '短评打分': 3}
{'短评内容': '感觉很好!!!', '短评打分': 3}
{'短评内容': '整体环境不错。给我安排了一个有窗户的房间，非常谢谢前台的服务，热情有礼貌！\n\n优点：地点位于大学城中心离大工非常近，繁华地带，交通方便，饮食多样。\n房间很干净，厕所采用透明玻璃加磨砂，让人没有拥挤的感觉，反而觉得很温馨。\n缺点：隔音不好，房门关不严有缝隙，对睡眠有一定影响，晚上有男女打游戏甚至还有一对儿亲亲，声音都听得一清二楚。\n房间空调不好，中央空调，调到最大也感觉不到有热风出来，这时候是大连最', '短评打分': 5}
