{'短评内容': '老板娘服务态度很好', '短评打分': 4}
{'短评内容': '挺不错，价格适中，床很大', '短评打分': 5}
{'短评内容': '还行吧，没早餐，其他的都行', '短评打分': 5}
{'短评内容': '卫生很糟糕，谁住谁知道', '短评打分': 2}
{'短评内容': '环境干净卫生 ，服务热情周到。', '短评打分': 4}
{'短评内容': '很好环境不错', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '整体还行', '短评打分': 4}
{'短评内容': '被子薄，冷死人了，其它都好。。', '短评打分': 4}
{'短评内容': '有待改善啊，附近吃饭不太方便', '短评打分': 3}
{'短评内容': '房间给的是顶层的小房间，平时很少住感觉，当天电视也坏了，内饰也一般。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格实惠，酒店内各项设施齐全，还是不错的', '短评打分': 3}
{'短评内容': '睡的大床房，房间比较小，硬件比较旧，服务还不错，价格在那，凑合吧', '短评打分': 3}
{'短评内容': '帮别人订的，说还不错。。呵呵。。。具体我就不晓得了', '短评打分': 5}
{'短评内容': '酒店外观不错..房间干净。网速可以..环境安静。不错值得下次入住.', '短评打分': 3}
{'短评内容': '房间比较大 除了地板像是新装潢的 防噪音比较差 建议店家把广告灯弄亮堂些，晚上不好找', '短评打分': 5}
{'短评内容': '木有早餐啊，不过现场开房间有早餐，是送到房间的，一个鸡蛋一个包子一个烧卖一杯粥。条件还可以，蛮安静的。', '短评打分': 3}
{'短评内容': '住的是大床房，床挺大的，房间也挺好...其他的都还不错，总体上还算满意', '短评打分': 5}
{'短评内容': '还可以.比较干净，安静，没噪音。房间不是太大。', '短评打分': 5}
{'短评内容': '便宜，就是软件比较差，毛巾什么的都破边的，牙刷洗具换的很勤，此次房间有棋牌桌', '短评打分': 5}
{'短评内容': '除了价格便宜，其他没有什么了，前台好像换人了，比之前的态度好点，房间的地板都凹凸不平的', '短评打分': 5}
{'短评内容': '离行政学院非常近，很干净，感觉很好，就是附近餐馆少。', '短评打分': 5}
{'短评内容': '两个男人登记，竟然直接安排了大床房，难道前台的口味那么重？！换了标准间，和之前的特价大床房仅仅是把大床拆成两个而已，别的都一样，和别的标准件根本就不同；洗手间洗澡后就一片汪洋，连个格挡都没有；换个毛巾还带油迹的痕迹，早上就说了，到晚上都没有拿来。早上8点多退房，前台还睡着，叫醒还赖床等查房结束的通知才起身，服务质量真差。', '短评打分': 1}
{'短评内容': '对[合肥每天商务酒店]发表了点评：价格实惠。服务还行，还有返现呢', '短评打分': 5}
{'短评内容': '还不错，价格实惠', '短评打分': 3}
{'短评内容': '卫生间窗户居然用卫生纸和报纸糊着，地段位置也不方便，前台态度也一般，不建议大家去', '短评打分': 1}
{'短评内容': '其实一般，都这样吧，这样便宜的酒店，就觉得汉庭好了，只是汉庭现在涨价了，凑合吧~', '短评打分': 5}
{'短评内容': '酒店设施一般，不过还算齐全，价格比较便宜。', '短评打分': 5}
{'短评内容': '还不错，房间性价比还算可以，就是房间有点小，卫生方面都还可以，可以两点退房~~', '短评打分': 5}
{'短评内容': '我元月6日入住，至今还在续住怎么没增加消费卷', '短评打分': 5}
{'短评内容': '房间蛮好的  就是房间的格局有点让人不解，应该是面积所限制的吧', '短评打分': 5}
{'短评内容': '优点：离行政学院考区不远。缺点：隔音不好，灯坏了几个，浴室地漏下水很慢，刚洗了头，水就漫到脚踝了。另外，前台那位美貌小姐毫无素质，同行的朋友只是问这么贵能刷卡吗，她就说不能，几百块还嫌贵啊？嫌贵你们去路边小旅馆呗来这干嘛？！！去住小旅店吧你！直到我们上楼，这个小女人还在那骂骂咧咧，我是去住店的不是来受你这个*女人气的，***，每天商务宾馆，再也不去了！', '短评打分': 1}
{'短评内容': '住的单间，床挺大的，房间也还比较干净，就是电视频道有点少。', '短评打分': 5}
{'短评内容': '住宿条件还好，价格实惠', '短评打分': 3}
{'短评内容': '房间还好吧，这价位本来就不高，还行。设施不够好', '短评打分': 5}
{'短评内容': '性价比不错，位置稍偏了点，交通便利，周围餐饮购物都方便，\n服务态度比较满意', '短评打分': 5}
{'短评内容': '交通比较方便，还不错！下次有机会还会选择这一家！', '短评打分': 5}
{'短评内容': '酒店挺不错，性价比高。推荐！', '短评打分': 3}
{'短评内容': '内部都还算不错的，值得推荐，还希望贵店有限电视能多看几个台', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 3}
{'短评内容': '服务态度差', '短评打分': 3}
{'短评内容': '价格合理，房间里可以送餐还是很方便的，电视太小台太少', '短评打分': 5}
{'短评内容': '不错，交通也算方便，就是服务质量有待于提高。如果能在网上付款就更好 ，还有就是网上订了还要付押金有点不人性化，希望能改进一下，，\n', '短评打分': 5}
