{'短评内容': '方便出行及餐饮便利。', '短评打分': 5}
{'短评内容': '酒店各个设施还好  就是餐厅服务员比较拽', '短评打分': 4}
{'短评内容': '还行，交通方便', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '尚可', '短评打分': 4}
{'短评内容': '还可以吧，服务人员挺有礼貌', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '服务态度还不错，空调遥控器没电池了，说了很快就换了。就是太晚附近没什么吃的…', '短评打分': 4}
{'短评内容': '出差定点，挺好的。', '短评打分': 4}
{'短评内容': '非常棒！屋内是冷暖空调！', '短评打分': 5}
{'短评内容': '一搬', '短评打分': 3}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '头一天入住时发现吹风机上有很多头发，打扫不干净化。早餐的套餐，餐厅服务员每次都搞不懂。我每次都费劲跟她们解释。其它方面还好。', '短评打分': 4}
{'短评内容': '出差住所，还不错', '短评打分': 5}
{'短评内容': '环境不错，方便', '短评打分': 5}
{'短评内容': '酒店干净，吃饭的火山岩扒房牛扒在海南也是我吃过的最好吃的', '短评打分': 5}
{'短评内容': '条件不错，就是不太好找，好像有几个名字一样，导航上容易走错路。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店服务好，卫生，下次还选', '短评打分': 3}
{'短评内容': '酒店设施太陈旧，犯贱有霉味，通过预订给的是最边边角角的房间，隔音效果也差，晚上能清楚听到门外的人说话的内容。', '短评打分': 1}
{'短评内容': '可以。。蛮好的，下次可以考虑继续去这里。。。。。。。。', '短评打分': 5}
{'短评内容': '总体还行。。床和枕头挺舒服，就是房间隔音和洗手间的排水隔音不是很好。卫生间有些简单', '短评打分': 5}
{'短评内容': '蜜月房还不错，可惜我一个人住。。送了个香蕉三个小橘子。。。。还算合理的信价比', '短评打分': 5}
{'短评内容': '酒店还要再收4元钱的物价局什么费用，环境倒是还可以，就是吃饭死贵死贵的，我中午就要了西红柿炒蛋和米饭，24元钱。饭店还不包括早餐，吃早饭还要自己点，点多少就加多少钱在房费里', '短评打分': 5}
{'短评内容': '很破，家庭旅馆样的，不值这个价。不会再去那住了', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '一般的酒店！没什么特别的！干净到是干净，就是地毯有点霉味！其他一般！适合预算不多的小年轻！交通算方便！', '短评打分': 5}
{'短评内容': '酒店在海口算不错的，当地人订的多。', '短评打分': 3}
{'短评内容': '卫生设施还行，酒店的位置还行，就是房间有的都不带窗户，价格和服务态度来看还好。', '短评打分': 3}
{'短评内容': '服务很不错，值得选择，交通也很方便。最主要是价格也不高。', '短评打分': 5}
{'短评内容': '服务态度还挺好，楼下的早餐也不错，就是夜里有住的客人大声吵，不过酒店也来及时劝阻了。总体还算不错。', '短评打分': 3}
{'短评内容': '酒店还行，就是不知道为什么楼下的餐厅有些服务员态度那么差，搞的我和老公很郁闷', '短评打分': 3}
{'短评内容': '很好，服务周到，酒店条件和环境都相当不错，强烈推荐~~！', '短评打分': 5}
{'短评内容': '房间不错，很干净，我订的是豪华双标，房间很大，送水果。离市中心近，逛街购物很方便', '短评打分': 5}
{'短评内容': '我们有样品要存冰箱，酒店一个姓杜的领班很细致地给我们办理了。晚上还有免费水果。很不错的。', '短评打分': 5}
{'短评内容': '很不错，酒店位置好找，坐机场大巴就可以，价格也合适，舒适整洁。', '短评打分': 3}
{'短评内容': '价格合适，很新，好找（坐机场巴士在海府一横路下转右下一个路口再转右四个门牌即到，走路不用打车）', '短评打分': 5}
{'短评内容': '房间虽小但是干净舒服值得推荐！', '短评打分': 3}
{'短评内容': '房间很小，但是比较舒适！还可以', '短评打分': 5}
