{'短评内容': '挺不错的，非常好，位置也好，出行的必选酒店！', '短评打分': 5}
{'短评内容': '马桶按钮有点不太好使了窗户还漏风外面风大的时候声音特别响！不仅冷还费电还好可以借取暖器硬件还是硬伤，建议要整改', '短评打分': 4}
{'短评内容': '酒店接送站服务很好大冬天的免去排队打车的麻烦大厅里工作人员很多很热情弥补了房间硬件老旧的缺陷', '短评打分': 4}
{'短评内容': '多次入住了，酒店性价比极高，设施完备，服务完美，冬天房间干燥，还贴心地准备了糖梨水放在床头，早餐丰富多彩，非常满意，下次还会入住。推荐！！！', '短评打分': 5}
{'短评内容': '半月之后的再次入住，很满意。酒店非常不错，装潢高端大气上档次，价格也十分公道，性价比极高，酒店还提供免费接站送站的服务，十分方便。值得一提的是，早餐太丰富了，中西搭配，特色羊肠汤太好喝了，高度推荐，下次还会入住。推荐！', '短评打分': 5}
{'短评内容': '半月之后的再次入住，很满意。酒店非常不错，装潢高端大气上档次，价格也十分公道，性价比极高，酒店还提供免费接站送站的服务，十分方便。值得一提的是，早餐太丰富了，中西搭配，特色羊肠汤太好喝了，高度推荐，下次还会入住。推荐！', '短评打分': 5}
{'短评内容': '半月之后的再次入住，太棒了，酒店绝对高端，服务棒极了，价格十分合理，性价比极强，40多平米的房间非常舒适，早餐更是我住过的所有四星、五星级酒店里最棒的！唯一略有不便的是地处高新区，公共交通包括出租车较少，总体是非常值得的，下次还会入住，并强烈推荐！', '短评打分': 5}
{'短评内容': '床很舒服还有加湿器挺好的', '短评打分': 5}
{'短评内容': '第一次在京东订酒店，挺好的，以后还订，支持京东', '短评打分': 5}
{'短评内容': '酒店环境优美，交通便利，一次很愉快的旅行。', '短评打分': 5}
{'短评内容': '很不错很舒服，下次还来', '短评打分': 5}
{'短评内容': '入住顺利，继续', '短评打分': 5}
{'短评内容': '111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '11111111111111111111111111111', '短评打分': 5}
{'短评内容': '可以不错，就是隔音有待加强', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '？。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常好，停车方便，适合自驾游，房间舒适，但隔音不是太好。', '短评打分': 5}
{'短评内容': '不错，哈哈，挺好的，呵呵', '短评打分': 5}
{'短评内容': '第一次住该酒店，酒店硬件设施不错，应该是当地最好的酒店，交通很便利，周边的环境很好，吃饭很方便。软件服务也很好，饭店的早饭、中餐都很有地方特色。前台的服务接待人员很热情，尤其是姓何的女士，服务热情，工作效率很高，值得表扬。酒店很值得推荐。', '短评打分': 5}
{'短评内容': '酒店楼层走廊灯光太暗了', '短评打分': 4}
{'短评内容': '舒适干净', '短评打分': 5}
{'短评内容': '不错的酒店，性价比高。', '短评打分': 5}
{'短评内容': 'this is the best value hotel u can find in cangzhou!!', '短评打分': 5}
{'短评内容': '值，5星级！', '短评打分': 5}
{'短评内容': '房间设施挺全，前台办入住非常快，就连结账都没用几分钟，效率不错，省去了很多时间，临走还帮忙拿行李，送到车上，五星服务很好，', '短评打分': 5}
{'短评内容': '上次感觉不错，就又订了，这次晚上睡觉前觉得空调有声音也没在意，晚上12:40保安敲门，我老公听到了，没开，一会儿打过来电话，把我惊醒了，我老公问怎么回事，保安说楼下说有动静，就过来看看，我觉得这很不应该，就让保安进来看看，听出是空调里面的声音，就要求调了房间，这一惊吓晚上始终没睡好觉，我觉得这不应该是五星级酒店应该做的，晚上12点多去敲客人房间门，不知道酒店是怎么培训保安的，的确需要改进', '短评打分': 4}
{'短评内容': '待改善', '短评打分': 3}
{'短评内容': '待改善', '短评打分': 3}
{'短评内容': '这是几星不清楚，反正需要改善，卫生，早餐等', '短评打分': 3}
{'短评内容': '全面有问题', '短评打分': 3}
{'短评内容': '这是我住过的性价比很高的酒店。这么便宜的价格能住五星级酒店真是没有想到。设施很不错，服务也好，以后来沧州还会选择这里！', '短评打分': 5}
