{'短评内容': '酒店实惠，房间挺大，这价格很不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '便宜的就这样吧', '短评打分': 3}
{'短评内容': '很差，房间小就不计较了，因为价格在那，房门打开一股很大的气味差点把我老婆熏倒，地上虫子乱爬，太恶心了，淋浴喷头一开啪的一下就掉地下了，我目前为止住过的最差的快捷酒店了。', '短评打分': 2}
{'短评内容': '临时决定住的，房间卫生很差，设施也很陈旧，不建议入住', '短评打分': 3}
{'短评内容': '差评，拍下付款后才通知不支持网上付款，房间隔音不好，热水只有40升，用完就没有了，房间很老旧，住着很不舒服', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '整体感觉还可以', '短评打分': 4}
{'短评内容': '从来没有这么无语过，不敢评说啊…', '短评打分': 2}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '老板人比较热情，有蚊子有蚊香。出差可住', '短评打分': 3}
{'短评内容': '房间小，出差将就住。只有手撕发票，没有机打的。', '短评打分': 3}
{'短评内容': '房间内实际情况与照片上不符合。。。', '短评打分': 4}
{'短评内容': '住的房间网络太不给力了，热水太小', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
