{'短评内容': '挺好挺好挺好', '短评打分': 5}
{'短评内容': '很好，翔安好选择', '短评打分': 5}
{'短评内容': '环境卫生都很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '没早餐', '短评打分': 3}
{'短评内容': '酒店还可以，服务一般的感觉。', '短评打分': 4}
{'短评内容': '地點不錯，距離出差的客戶端也很靠近，周圍吃午餐吃晚餐也非常的方便。但價格有些偏高，價格從一年前到現在上漲了好幾次', '短评打分': 4}
{'短评内容': '好評', '短评打分': 5}
{'短评内容': '簡單好会平', '短评打分': 5}
{'短评内容': '商务出行   商务出行  商务出行', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不錯、方便、乾淨', '短评打分': 5}
{'短评内容': '挺好，乾淨方便，位置在區中心，交通方便', '短评打分': 5}
{'短评内容': '因为离客户近，所以出差一直住这里', '短评打分': 5}
{'短评内容': '酒店不錯，服務也還可以，周邊環境也行', '短评打分': 4}
{'短评内容': '不错，房间很大，床也很软很舒服！！！可以向朋友推荐！！', '短评打分': 5}
{'短评内容': '在翔安区政府附近交通挺便利的，房间也还可以！', '短评打分': 5}
