{'短评内容': '地铁直达非常便利，出行首选。早餐还有庆丰包子', '短评打分': 5}
{'短评内容': '交通方便，卫生很好，干湿分离很好，设施有点陈旧', '短评打分': 4}
{'短评内容': '需要从新装修了， 房间设施旧了。其他很好，  位置离梅兰芳剧院很近。', '短评打分': 4}
{'短评内容': '很适合带孩子住。', '短评打分': 5}
{'短评内容': '酒店位于西二环，交通便利，就是停车不方便，房间挺大，卫生间装修和设施不错，挺新的，服务员的服务很不错，卫生条件很好。早餐菜品不多，比较单一，美中不足。', '短评打分': 4}
{'短评内容': '地段还可以，周边商业区，早餐基本没啥吃的', '短评打分': 4}
{'短评内容': '酒店在车公庄地铁站C口上来就是，到南站方便，2号线换4号线，20几分钟。酒店房间蛮大，设施还可，卫生状况良好。早餐一般，品种不够丰富，够吃。', '短评打分': 5}
{'短评内容': '商品质量不错，快递速度很好！', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '酒店环境不错。酒店环境不错。酒店环境不错。酒店环境不错。酒店环境不错。酒店环境不错。酒店环境不错。酒店环境不错。酒店环境不错。酒店环境不错。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间不错，就是有点小贵', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '好啊啊啊啊啊啊好啊啊啊啊啊啊啊啊啊啊好啊啊啊啊啊啊啊啊好啊啊啊啊啊啊啊啊好啊啊啊啊啊啊啊啊好啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常干净舒适', '短评打分': 5}
{'短评内容': '非常舒适，干净', '短评打分': 5}
{'短评内容': '环境好，服务好，房间风景好，没得说。', '短评打分': 5}
{'短评内容': '订的商务大床，很舒适。设施很全（电脑桌、网线、无线网全面覆盖、大电视、躺椅、床尾凳、吹风机、保险柜、还有手电筒。浴缸、淋浴室还是分开的，卧室和卫生间之间有大的玻璃墙隔开，拉开百叶窗卧室和浴室可以互视）、房间很大（比如家等经济型的酒店大两三倍吧、层高也比经济型的舒服多了），住的十五层，视野很好。', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '附近吃的东西较少，地铁口比较方便。', '短评打分': 5}
{'短评内容': '环境不错，房间也很干净，酒店设施还是需要加强', '短评打分': 5}
{'短评内容': '环境不错，房间也很干净，酒店设施还是需要加强', '短评打分': 4}
{'短评内容': '京东价格很给力，下次还来', '短评打分': 5}
{'短评内容': '选择该酒店是因为考虑酒店比较新。入住当天下午两点到达酒店，被告知房间没有打扫完毕。等了近1个小时。入住后发现房间有异味，浴室水量很小，而且不够热。酒店周围找不到什么吃饭的地方。', '短评打分': 1}
{'短评内容': '酒店环境好，住着舒适，好评。', '短评打分': 3}
{'短评内容': '一直以来去北京都会入住这家酒店，看重的就是地理位置。机场出来搭机场线转2号线地铁到车公庄下来就是酒店，非常快速和便捷。房间还是一如既往的干净和舒适，尤其是大床，真的很令人放松享受睡眠。这次入住，终于办了酒店的会员卡，以后要更加支持了。', '短评打分': 5}
{'短评内容': '早餐很好，丽人房很温馨。', '短评打分': 3}
{'短评内容': '还算可以，四星标准，没有太多亮点，交通可以。前台在二层。', '短评打分': 5}
{'短评内容': ' 房间可以，但酒店的布置不便，性价比不合适。', '短评打分': 3}
{'短评内容': '维景酒店内部装修豪华,简洁,；服务人员素质高。', '短评打分': 3}
{'短评内容': '＋离地铁站很近，性价比不错，推荐。', '短评打分': 3}
{'短评内容': '环境不错，服务也很到位。推荐大家都可以来试试。', '短评打分': 5}
{'短评内容': '服务很好，房间也很好。气氛很融洽。推荐！', '短评打分': 5}
{'短评内容': '环境还可以，交通也算方便，房费价格偏高而且不含早餐。', '短评打分': 5}
{'短评内容': '交通比较方便，设施比较完善，服务热情，价格偏高。', '短评打分': 5}
{'短评内容': '酒店位置很适合公干，下次还会去入住。门口停车免费 很好！', '短评打分': 5}
{'短评内容': '不错的酒店，房间设施很好，很舒服，就是停车不方便!', '短评打分': 3}
{'短评内容': '谢谢！一房三天。一房两天', '短评打分': 3}
{'短评内容': '很干净，房间也很大，网速很好，出门就是地铁很方便。', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 3}
{'短评内容': '环境很好，服务一般', '短评打分': 3}
{'短评内容': ':非常好的酒店。多次入住，这次免费升级到套房。房间超好！强烈支持。', '短评打分': 3}
{'短评内容': '酒店非常适合出差人员入住', '短评打分': 3}
{'短评内容': ' 很不错，交通超方便，地铁近', '短评打分': 3}
{'短评内容': '酒店设施很好,交通方便,比较适合出差人员.', '短评打分': 5}
{'短评内容': '很好，干净，位置也好，早餐好吃，是真正的五星级大酒店', '短评打分': 5}
{'短评内容': '地点好，离金融街比较近，房间不错。因为临近西二环，稍微有点吵', '短评打分': 5}
{'短评内容': '酒店位置是不错，但是涨价了，性价比也就没有了。', '短评打分': 5}
{'短评内容': '早餐内容丰盛。很好！行政房的免费矿泉水，要多两瓶，还要收费，晕！', '短评打分': 5}
{'短评内容': '房间面积大些，隔音效果不太好，可以听到隔壁说话的声音。', '短评打分': 5}
{'短评内容': '很好,推荐', '短评打分': 3}
{'短评内容': '地理位置很好，档次较高。就是价格偏贵。适合单位预定', '短评打分': 5}
