{'短评内容': '三人间卫生一般', '短评打分': 4}
{'短评内容': '可以带孩子，房间还是挺大的', '短评打分': 5}
{'短评内容': '总体不错，性价比高', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '冷，冻死', '短评打分': 5}
{'短评内容': '房间很不错', '短评打分': 5}
{'短评内容': '对比对面兰德商务已经好太多了', '短评打分': 4}
{'短评内容': '对比同价位其他家，还是性价比不错的选择', '短评打分': 4}
{'短评内容': '价格很合适，住的也舒服，周围就有很多特色的购物店 ，超级棒', '短评打分': 5}
{'短评内容': '就在步行街边上，逛街非常方便，房间环境也不错。', '短评打分': 5}
{'短评内容': '满洲里太商业化了，酒店一般吧。', '短评打分': 3}
{'短评内容': '季节刚过，酒店全打折，8月中旬提前订的，多花了很多币子。条件还可以。', '短评打分': 4}
{'短评内容': '房间还可以，挺大的，地理位置优越，靠近步行街，购物很方便！不过水质不好，水发黄，希望店家能改善一下。', '短评打分': 5}
{'短评内容': '太差', '短评打分': 1}
{'短评内容': '可以说服务极差，评分要是有零分我肯定给零分，晚上刚十二点多宾馆的一个工作人员都没有，不管是打电话还是喊，当然已经深夜了，很照顾其他客人，不能大声，都没用。这种宾馆的服务，唉！不过携程网还是很负责的。建议携程网要严格考核合作方，不要因为个别的这种宾馆影响携程网的信誉。', '短评打分': 1}
