{'短评内容': '不错，经济实惠不错，经济实惠不错，经济实惠不错，经济实惠不错，经济实惠不错，经济实惠不错，经济实惠不错，经济实惠不错，经济实惠', '短评打分': 5}
{'短评内容': '不能', '短评打分': 2}
{'短评内容': '厕所门是坏的，空间挺大的，', '短评打分': 2}
{'短评内容': '高端大气上档次，宽敞的大厅，宽敞的走廊，宽敞的房间，自助的早餐，还有小会议室…停车位无数！！热情的前台美眉，亲切的客房大姐，推荐！！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '设施一般', '短评打分': 4}
{'短评内容': '还可以的 旁边youge', '短评打分': 2}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '性价比还可以，地里位置较偏', '短评打分': 2}
{'短评内容': '设施陈旧，卫生一般，网速不好。', '短评打分': 3}
{'短评内容': '晚住的510房，房间内空调不太好，晚上温度很低。', '短评打分': 2}
{'短评内容': '环境一般，窗户很小，设施也跟陈旧', '短评打分': 4}
{'短评内容': '酒店设施一般，早餐比较差了。', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还可以吧，就是酒店附近没有挂牌出租车', '短评打分': 3}
{'短评内容': '安静舒适，干静卫生，服务热情，以后还会入住', '短评打分': 5}
{'短评内容': '环境好，服务好  很不错的地方    只是会员才免费早餐', '短评打分': 5}
{'短评内容': '环境还不错，离佛罗伦萨小镇很近，房间面积不小，就是隔音差', '短评打分': 5}
{'短评内容': '地段不好 太偏僻了饿 出租是找不到的 没车的不建议入住   百度地图上也找不到', '短评打分': 1}
{'短评内容': '服务和环境一流水准', '短评打分': 3}
{'短评内容': '服务餐饮环境都很一流', '短评打分': 3}
{'短评内容': ' 一流服务和环境', '短评打分': 3}
{'短评内容': '房间很大很宽敞，就是有点冷。服务员很热情，希望换房后会好····', '短评打分': 5}
