{'descr': '离机场很近，总体可以。', 'star': 5}
{'descr': '酒店前厅比较小 灯光不太明亮，前台服务比较差，首先前台并没有微笑服务也没有问候，酒店前台服务非常重要因为直接影响酒店的整体形象和服务是客人对酒店第一印象的开始，希望加以改进，酒店电梯速度和干净还算一般，酒店过道脏，估计是服务员没有来得及到扫，进入房间后地毯清洁不彻底有毛发，柜子上有灰尘，希望客房服务改进，酒店洗手间洗澡时水容易外溅，酒店早餐非常马虎，品质不好，早餐并不丰富，希望特别加以改进，退房速', 'star': 2}
{'descr': '酒店距离机场很近，还配有送机服务。', 'star': 5}
{'descr': '宾馆位置很好，服务不错，交通方便，紧靠地铁3号线以及津碧公园，距地铁3号线400米左右，地处渝北区商业中心，周边商业配套很好。', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '离机场近，环境很好，条件不错，房间设施不错，值得推荐！', 'star': 5}
{'descr': '以为在机场附近有接送机服务，，，是我想多了。。。开个专票居然要等半个月，还说不敢保证时间，我也真是醉了。房间还行吧，就是晚上入住的时候服务差。', 'star': 4}
{'descr': '还可以12', 'star': 4}
{'descr': '整体还不错', 'star': 5}
{'descr': '酒店发票竟不能打返现部分！！！！', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '离机场和地铁站很近，附近吃的也比较多，适合商务出差。', 'star': 5}
{'descr': '就近晚班到機隨意訂定住住.隔天一早建議一定要去湖邊走走,風景很好,若早餐吃不習慣,有漢堡王就在樓下.市區內好像有間也是類似名稱,跟師父要說明,免得載錯位置,白跑一趟.', 'star': 5}
{'descr': '干净，省心，放心。', 'star': 5}
{'descr': '中奖了！隔音效果很差，凌晨4点隔壁叫的凶！郁闷', 'star': 4}
{'descr': '酒店还行，靠近机场，交通便利', 'star': 4}
{'descr': '位置就在机场正对面，但是过去还是需要打车，步行的话需要10-15分钟，旁边就是金港国际，吃喝都不用担心。离轻轨站很近。', 'star': 4}
{'descr': '第一次入住，酒店环境不错，地理位置好，离机场仅近，下次还会选择入住', 'star': 5}
{'descr': '房间设施一流，酒店距机场很近，到主城区交通方便。但飞机升降噪音不小，住一晚数了一晚上的飞机', 'star': 5}
{'descr': '住过几次了，还不错，至少在重庆比，性价比还可以', 'star': 5}
{'descr': '价格比较贵，但周边的酒店都贵，只能将就住。', 'star': 5}
{'descr': '价格有点贵，但周边酒店都不太好。要不就是归的吓人', 'star': 5}
{'descr': '服务太差', 'star': 3}
{'descr': '酒店不错，干净舒适！', 'star': 3}
{'descr': '不错！酒店离机场很近，方便去机场，周边环境很好！', 'star': 5}
{'descr': '离国际机场10几分钟（的士），酒店附近小吃店很多，方便用餐。但是酒店的早餐不好，跟其它市内同价格的早餐相差太大了。', 'star': 5}
{'descr': '性价比越来越差，早餐也不怎么样。如果不是为了赶飞机就不要住', 'star': 1}
{'descr': '所谓套房，根本不是套房，就是房间稍大而已。', 'star': 1}
{'descr': '这个酒店非常干净，价格实惠，服务很好，环境也不错。 下次如果去的话肯定还会住', 'star': 5}
{'descr': '离机场近，酒店环境不错，楼下有商场', 'star': 3}
{'descr': '很不错的，很舒服，达到了四星的标准，只是近机场有点小吵，其他都不错', 'star': 5}
{'descr': '真的挺推荐的，性价比很高，很舒服，下次有机会还想住这里呵呵', 'star': 5}
{'descr': '酒店环境特别温馨，很好', 'star': 3}
{'descr': '很不错，早餐尤其推荐。划算。\n很不错，早餐尤其推荐。划算。', 'star': 5}
{'descr': '其余都好就是房子隔音差了点', 'star': 3}
{'descr': '位置不错，周围吃饭的地方不错。\n房间隔音效果不好，对门打麻将声音都听得见。', 'star': 5}
{'descr': '很不错，环境很好！\n早餐还不错，有正餐就更好了！', 'star': 5}
{'descr': '我2月4日入住，酒店环境不错，去机场很方便，洗手间也很干净，服务态度也好。下次我还去。', 'star': 5}
{'descr': '靠近机场，尤其适合早班飞机。周围餐饮还是很方便', 'star': 5}
{'descr': '很干净    卫生 ~    环境舒适  服务态度也很好', 'star': 5}
{'descr': '各方面都还不错，唯一不好的就是房间的隔音差得可怕，隔壁说话听得清清楚楚', 'star': 5}
{'descr': '地理位置好，周边有吃有喝的，还有公园可以逛', 'star': 5}
{'descr': '住宿条件一般。', 'star': 3}
{'descr': '離機場非常近，趕早班飛機很方便,附近又有商圈可以逛和小吃!\n早餐非常的簡單,房間也不大,但乾淨,標間價格就要接近300元,似乎有點貴\n不過因為就在機場對面,又是公司買單就算了\n只是早上叫車很令人緊張,攔了兩台都不願意載,\n有點擔心趕不上飛機\n最好還是早點出發\n', 'star': 5}
{'descr': '从机场看酒店就在候机楼对面，但是如果走过去还是有些路程，大概走过去需要20多分钟，我住的是普通大床间，面对机场跑道和候机楼，风景不错。房间卧具也还不错，毛巾也还干净，如果赶早班飞机是个不错的选择。', 'star': 5}
{'descr': '如果喜愛飛機的飛行聲音住這裡絕對可以聽到瘋。唯一就是吃飯買物品方便，房費感覺高了些', 'star': 3}
{'descr': '住瑞卡感觉不错', 'star': 3}
{'descr': '很不错的酒店，早餐很好吃喔。。。停车也很方便。。。清洁也蛮不错的。。。', 'star': 5}
{'descr': '很不错的酒店，很干净。前台小姐很好。', 'star': 3}
{'descr': '我入住的是商务标准间，358元。房间很紧凑，设施简单，怎麽会是四星级，一定是搞错了。好在离机场近只2公里，登机很方便。', 'star': 1}
{'descr': '除了隔音不好以外，其他都很好！拖鞋软软的。', 'star': 5}
{'descr': '对于358的价格，这家酒店还是相当值，而且离机场很近，但是刚进房间的时候闻到的味道不是很好，而且我是赶早班飞机的，退房的时候问前台可不可以送机，答案居然是没车，这个有点失望，而且隔音有点问题，晚上隔壁的动静大点就听得见了，总体还好，推荐', 'star': 5}
{'descr': '非常怀疑这家酒店这么多好评哪里来的，真是噩梦一般的一家酒店啊\n房间面积小，硬件肯定不到四星，但真正不能让人忍受的是超级吵，正对机场，也不安个隔音玻璃，下面还有施工队整夜装修，整个晚上就是在飞机的轰鸣和电钻的声音中度过，酒店前台的态度超差，从没有正眼瞧过人，遇到懒得回答的问题直接就不理你了，真是晕倒', 'star': 1}
{'descr': '离机场近，在机场办事情方便。相对国内机场附件酒店来说性价比还好。', 'star': 5}
{'descr': 'cvvxvvx x dv d v x v vxv   xvdx v x v x v vx x v vvv v xv v x  vx x v xx vxedgfedg g eg eg g s gs s s e gs   e sse se es ', 'star': 5}
{'descr': '新开业的宾馆，房间装修不错，对的起价格，而且离重庆江北机场很近，拖着行李走路15分钟左右，而且旁边有几个商场，有抵挡货，也有各个品牌的奢饰品卖。\n', 'star': 5}
{'descr': '房间小，冲凉房更小，无处晾晒衣服；价格偏离价值；冲着可预约接送机去预订，结果说取消了。当然离机场近、周边购物、消费、餐饮还是满方便的。', 'star': 1}
{'descr': '酒店周边环境不错，房间干净，用品挺新。酒店门面小了点，标记不明显，不太好找。', 'star': 3}
{'descr': '离机场很近，出门叫车很容易；房间挺新，环境不错；自助早餐，品种也算丰富；旁边还有大型购物广场、沃尔玛，非常方便！就是不要选对着机场的那排房间，会有点吵。', 'star': 5}
{'descr': '酒店的环境舒适硬件等都还不错，就是隔音效果不是很好。', 'star': 3}
{'descr': '就在机场对面，房间比较干净，设施超出3星级，就是墙壁不太隔音，不知道酒店能不能就这个做出调整。入住check in的时候进门大堂没有看到任何人，包括前台，这让我挺惊讶', 'star': 5}
{'descr': '还好，就是房间小点，用品，设施都不错，但是没有免费送机服务。', 'star': 5}
{'descr': '此酒店由当地朋友推荐，出机场就能看到，很方便，经济实惠。', 'star': 5}
{'descr': '在机场附近,很方便,是老顾客了。早餐还可以。', 'star': 5}
