{'短评内容': '早餐还行，位置特别好，离岱庙很近，很方便。', '短评打分': 5}
{'短评内容': '位置是市中心，旁边有银座', '短评打分': 5}
{'短评内容': '含早餐，早餐挺不错的~酒店位置很好找', '短评打分': 5}
{'短评内容': '酒店位置很好，服务态度很好，有机会下次再来', '短评打分': 5}
{'短评内容': '满意，岱庙很近！', '短评打分': 5}
{'短评内容': '不错，环境还行，离各个景点都不算元。', '短评打分': 5}
{'短评内容': '很好?????，', '短评打分': 5}
{'短评内容': '干净卫生，价格实惠，每次都来这里住，洗澡水很好', '短评打分': 5}
{'短评内容': '环境还比较好 卫生干净 周边交通方便 早餐还可以环境还比较好 卫生干净 周边交通方便 早餐还可以环境还比较好 卫生干净 周边交通方便 早餐还可以', '短评打分': 5}
{'短评内容': '卫生不错，就是有点小', '短评打分': 5}
{'短评内容': '位置好，干净卫生，前台接待服务有待进一步提高，不过这个酒店确实还可以吧，挺喜欢的 每个房间都有无线，以后还会再来 希望退房可以延迟到一点，洗澡水压挺大，希望可以再热点，嘿嘿非常感谢老板，去年住延迟了一个小时 谢谢啦', '短评打分': 5}
{'短评内容': '非常好，满意', '短评打分': 5}
{'短评内容': '服务很周到，设施很干净整洁，是个不错的选择，我已经在这里住过3次了，总体很不错，很宽敞明亮。', '短评打分': 5}
{'短评内容': '环境很好，非常干净，服务很热情！赞一个！下次来再入住！', '短评打分': 5}
{'短评内容': '很好不错服务很热情', '短评打分': 5}
{'短评内容': '非常不错的酒店，位置好，前台服务热情有礼，入住还有小礼品赠送，房间暖气挺舒服也很干净，推荐下！', '短评打分': 5}
{'短评内容': '价格优惠，干净卫生，前台服务不错，房间紧凑，餐饮方便，挺满意，下次还来。', '短评打分': 5}
{'短评内容': '总体还行，就是房间不大。位置很好，服务不错。', '短评打分': 4}
{'短评内容': '性价比不是很高   设施还全   有偿提供洗漱用品   12点退房   不是很爽  向如家学习', '短评打分': 5}
{'短评内容': '服务态度很不错，交通、吃饭都比较方便，就是挨着街道这一面有点吵，洗手间有点小~', '短评打分': 5}
{'短评内容': '位置不错，服务挺好，就是厕所小点，是那种整体式的。', '短评打分': 5}
{'短评内容': '好，服务好，环境好，交通方便，……………………………', '短评打分': 5}
{'短评内容': '房间环境挺好，很干净，卫生间有点小，一大早退房时工作人员少，花费时间长', '短评打分': 5}
{'短评内容': '房间干净，交通便捷，岱庙近在咫尺，晚上步行上山比较方便，一家3口入住就是床小了点。', '短评打分': 5}
{'短评内容': 'F服务到位，主要是房间干净，价格便宜，出行方便，唯一是厕所空见较小', '短评打分': 5}
{'短评内容': '还可以，不提供牙具，需花2元钱。开发票的是个新人，那叫一个慢，我都怕误了我的火车。', '短评打分': 5}
{'短评内容': '房间真的不错，很新，前台服务很好，下次还来住，', '短评打分': 5}
{'短评内容': '房间真的不错，很干净，前台服务很好，下次还来住。', '短评打分': 5}
{'短评内容': '该酒店环境非常棒，周围安静，适合休息，店员非常专业，服务态度很好，让我很舒服。下次还会入住银座。', '短评打分': 5}
{'短评内容': '房间小，房内根本没有电脑，怎么来的免费上网？', '短评打分': 1}
{'短评内容': '房间很干净,服务也不错,唯一的缺点就是隔间效果差点。', '短评打分': 3}
{'短评内容': '酒店很干净，地点也不错', '短评打分': 3}
{'短评内容': '去住主要是为了离想去的地方近，住的很安静。不错', '短评打分': 5}
{'短评内容': '不错，挺干净交通方便，隔音超好', '短评打分': 3}
{'短评内容': '环境挺安静的，供应热水，服务热情，值得推荐', '短评打分': 5}
{'短评内容': '好像是新开的店，前台服务很热情周到。我住商务大床房，卫生干净，有数字电视可以看欧洲杯，网速也还可以，美中不足就是卫生间太小了，窗户见不着阳光。', '短评打分': 5}
{'短评内容': '很匆忙的从网上选择了这家酒店，入住后觉得非常满意。一方面酒店为新装修，环境很干净，房间虽小但性价比还是很不错的。一方面也是觉得最为满意的就是酒店的服务态度超好！前台的男服务员非常热情，超赞！！！如果是想到泰山的话，建议选择这里。附近就有到泰山的公交车，出租车也不过10分钟。酒店后面即是岱庙，距离泰安火车站也非常近。强力推荐！！！', '短评打分': 5}
{'短评内容': '很舒服，因为是新开的，价格还再优惠中。卫生间的设计很新颖，很满意。', '短评打分': 5}
{'短评内容': '不错。东临岱庙、西边有一条夜市街，周围各种服务设施完备，门口有39路公交直达天外村。', '短评打分': 5}
{'短评内容': '酒店很好！房间干净整洁，很温馨，设施很全。前台服务态度很好，就是一早上退房时就一个男工作人员在那，手忙脚乱的。地理位置也好，很不错的酒店！', '短评打分': 5}
{'短评内容': '挺好的酒店，前台服务也周到，态度好。室内干净整洁，很不错！', '短评打分': 5}
{'短评内容': '   挺满意的，不含早餐，早餐每位另加15元。也没发现向前面朋友说的那样吵，感觉很安静，热水也很好。\n   离岱庙特别近，走着去红门登山也不远。还有离传说中的泰安一中北面的小吃一条街也很近，步行不到10分钟的样子，可惜俺对于那条小吃街挺失望的，整个一个脏乱差……去看了看，啥也没买。', '短评打分': 5}
{'短评内容': '小巧而精致，非常不错。\n房间比7天、如家的要小点，但是硬件还要强一点。\n很多细节方面处理很用心。\n', '短评打分': 5}
{'短评内容': '服务态度不错，紧邻岱庙，位置很好，很安静。', '短评打分': 5}
