{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。', '短评打分': 5}
{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '位置还算方便', '短评打分': 4}
{'短评内容': '…………一般', '短评打分': 3}
{'短评内容': '房间很大挺干净的，不错', '短评打分': 4}
{'短评内容': '....', '短评打分': 5}
{'短评内容': '满意。方便！环境很好，安静！', '短评打分': 5}
{'短评内容': '14588557887588', '短评打分': 5}
{'短评内容': '总地还不错吧！', '短评打分': 5}
{'短评内容': '位置还行，离地铁口很近，条件一般，就是经济实惠', '短评打分': 5}
{'短评内容': '枕头太脏，服务态度不错', '短评打分': 4}
{'短评内容': '还不错哦', '短评打分': 3}
{'短评内容': '第一晚入住的房间非常的吵，换了一间好多了，其他都还行', '短评打分': 4}
{'短评内容': '环境不错，安静', '短评打分': 4}
{'短评内容': '环境不错，安静', '短评打分': 4}
{'短评内容': '在公司附近住了，房价到不贵，就是房间味道太浓，空调不知道什么卡住了噪音好大，一个晚上没怎么睡着，希望改善。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店下火车坐地铁很方便，附近小吃很多，交通也很方便，和图片的介绍一样。和朋友一起住感觉很好，下次去还会考虑在住哦！', '短评打分': 5}
{'短评内容': '还可以～地方有点难找～地板好冷～', '短评打分': 3}
{'短评内容': '交通还是很方便的，房间装修就不行了', '短评打分': 4}
{'短评内容': '环境一般。价钱还可以。', '短评打分': 3}
{'短评内容': '这个价格还可以了', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
