{'短评内容': 'CCCCCCCCCCCCCCCCCCCC', '短评打分': 3}
{'短评内容': '什么都挺好', '短评打分': 5}
{'短评内容': '地理位置很好；停车位较为紧张，看运气；淋浴头不行SSS', '短评打分': 5}
{'短评内容': '地理位置很好，在南湖和月河之间', '短评打分': 5}
{'短评内容': '老爸老妈休闲游，宾馆性价比高', '短评打分': 5}
{'短评内容': '周边交通非常方便！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '再一次入住此宾馆，感觉还是一样的舒服，', '短评打分': 4}
{'短评内容': '房间挺好的，卫生也不错，都算满意。', '短评打分': 5}
{'短评内容': '12楼正好能看到南湖，另外一边离月河街区也不远，走过去也就十几分钟，交通很方便。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '住了几次了，交通方便。', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '房间还不错的，很干净，也挺安静', '短评打分': 3}
{'短评内容': '来嘉兴就住的酒店…………………………………………', '短评打分': 3}
{'短评内容': 'z真的不错，我是第二次入住，能看见南湖好兴奋      ', '短评打分': 5}
{'短评内容': '还可以,真的能看见南湖,里面也很干净,布置也不错,下次还要来住', '短评打分': 3}
{'短评内容': '简洁，干净，交通便利，靠近火车站。离南湖风景区也很近，步行15分钟左右即到', '短评打分': 5}
{'短评内容': '还可以吧，来的时候没有房间，等了一会儿，酒店给我们升级到大房，湖不是很近，看不到。。。其他的都还可以', '短评打分': 3}
{'短评内容': '酒店地理位置非常好，单人间可眺望南湖景色，也非常安静，唯独房间设施简陋，家具极其陈旧。', '短评打分': 3}
{'短评内容': '价格实惠，地方也蛮好找的，水很大，但是放水声音太响了，水管呜呜的声音', '短评打分': 5}
{'短评内容': '价格便宜適合暫時住短期辦事的人，趨向鬧中取靜、大致尚可。', '短评打分': 5}
{'短评内容': '还可以，真的还可以，我不是托，是真的还可以，一眼可以看见南湖，湖心岛，烟雨楼，坏境不错', '短评打分': 5}
{'短评内容': '近南湖，服务态度也好，中央热水，住的是8楼，湖景有点牵强。总体还好吧', '短评打分': 5}
{'短评内容': '床大不错，浴室较差。', '短评打分': 3}
