{'短评内容': '服务还很有差距，不主动做去，房间有一天没打扫。内线电话不能用，订的套件房间也给大床房了。房间还是很干净的。位置也还行。', '短评打分': 4}
{'短评内容': '很好的酒店。                                            ', '短评打分': 1}
{'短评内容': '环境很好。', '短评打分': 5}
{'短评内容': '地方不错，服务态度也很周到，没说的，下次有机会再去', '短评打分': 5}
{'短评内容': '房间不错价格也实惠。房间有些皮革味，通风很快就好了。', '短评打分': 5}
{'短评内容': '不错，很好', '短评打分': 5}
{'短评内容': '帮朋友定的据说还不错', '短评打分': 3}
{'短评内容': '在磐石市医院旁边，环境挺好，交通便利，吃饭买水果也方便，唯一不足就是二楼麻将包后半夜有点吵', '短评打分': 5}
{'短评内容': '很好吧好多好多好多好多好还是实话实说', '短评打分': 3}
{'短评内容': '环境一般，卫生不是很好，也就是能对付住吧！没有别的地方住了。', '短评打分': 1}
{'短评内容': '毛巾床单挺干净的 其他就不行了 蚊子很多 蓬头坏的', '短评打分': 3}
{'短评内容': '没有热水洗澡，设施比较简陋。', '短评打分': 2}
