{'短评内容': '好好好的的', '短评打分': 5}
{'短评内容': '威海市维也纳国际大酒店位于威海的繁华地带，周围餐饮和商业超市林立，维也纳国际大酒店周边交通方便，酒店软件和硬件设施齐全，是威海商务之旅不错的选择。', '短评打分': 5}
{'短评内容': '威海维也纳国际大酒店位于威海市繁华地带，周边餐饮和商业超市林立，大酒店周边交通便利，维也纳国际大酒店软件和硬件殴施齐全，是商务之旅不错的选择。', '短评打分': 5}
{'短评内容': '威海维也纳国际大酒店位于威海市繁华地带，大酒店周边餐饮和商业超市林立，酒店周边交通便利，酒店软件和硬件齐全，是商务之旅不错选择。', '短评打分': 5}
{'短评内容': '威海维也纳国际大酒店位于威海市繁华地带，周边餐饮和商业街林立，大酒店软件和硬件设施齐全，周边交通方便，是威海市商务之旅不错的选择。', '短评打分': 5}
{'短评内容': '还是很不错的', '短评打分': 5}
{'短评内容': '服务态度可以', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '领导很满意此次出差选择维也纳酒店，附近韩餐馆很多，附近就有自由贸易区可以逛逛。枕头和被子非常舒服，早餐也丰盛好吃', '短评打分': 5}
{'短评内容': '环境好，服务好', '短评打分': 5}
{'短评内容': '卫生间热水断续的，一会特别烫一会凉，没法用，好声音好大……', '短评打分': 4}
{'短评内容': '酒店地理位置优越，紧邻火车站、汽车站、韩国商品批发城和开发区政府。周围餐饮店铺非常多，生活方便。但是没有送餐服务，没有送洗衣服服务；电梯要等很久，进出人员复杂。室内洗浴淋蓬头热水不好调，被烫了好几次。  其中进出人员复杂是最最不好的。', '短评打分': 4}
{'短评内容': '房間衛生可以。衣櫥門壞了，沒有修。', '短评打分': 4}
{'短评内容': '离威海站大约一公里，维也纳总体还是不错的。', '短评打分': 5}
{'短评内容': '酒店房间很大，卫生很好，服务态度热情周到', '短评打分': 5}
{'短评内容': '条件还可以,只是海景房有些蒙人,只是在一角的侧窗才能看到很远处的很少的海,跟海景房相差很远,多花30元没意义.', '短评打分': 5}
{'短评内容': '新开业的酒店，设施新，房间比较大，对于２百多的房价算是超值了', '短评打分': 5}
{'短评内容': '新开的一家连锁酒店，物超所值，性价比非常高，四星酒店二星消费，下次还会入住。', '短评打分': 5}
{'短评内容': '环境好，干净，舒服。下次来还住这，周边很多吃的地方。', '短评打分': 5}
{'短评内容': '房间不错，就是位置有些偏，是个新酒店。不过威海不大。', '短评打分': 5}
{'短评内容': '在现在这个旅游季节，酒店的性价比还是可以的。但可能是酒店开业不久，信用卡不能预授权，只能刷房费再另交现金押金。早餐有待丰富。', '短评打分': 5}
{'短评内容': '酒店的房间很好,挺大的,比较新很干净,离长途汽车站很近,但离市区和国际海水浴场有点距离,酒店楼下有神龟馅饼还有一个大卖场,马路对面还有一个韩国商场.总体感觉不错,服务态度还有待改进.', '短评打分': 5}
{'短评内容': '酒店床很舒服！房间宽敞明亮！总体来讲很不错！推荐入住！', '短评打分': 3}
