{'短评内容': '服务态度好！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 4}
{'短评内容': '比较实惠', '短评打分': 5}
{'短评内容': '没有图片名字来的高级，宾馆老了点，将就吧。', '短评打分': 3}
{'短评内容': '房间干净，服务好', '短评打分': 5}
{'短评内容': '房间干净，服务态度很好', '短评打分': 5}
{'短评内容': '比较实惠', '短评打分': 4}
{'短评内容': '比较实惠', '短评打分': 4}
{'短评内容': '比较实惠', '短评打分': 4}
{'短评内容': '整体不错，以前经常住，装修和以前一样，可是涨价了。性价比直接下来了！！！', '短评打分': 4}
{'短评内容': '哈哈恍恍惚惚红红火火', '短评打分': 3}
{'短评内容': '房型很好。隔音设施很差，可能时间久了，得装修了！！', '短评打分': 4}
{'短评内容': '不推荐，卫生差 装修旧', '短评打分': 3}
{'短评内容': '房间较大，早餐简单！', '短评打分': 3}
