{'descr': '好吖', 'star': 5}
{'descr': '房间太小，室内味太大，不好', 'star': 3}
{'descr': '酒店设施一般 房间里空气不太好', 'star': 5}
{'descr': '环境挺好的，位置在市中心，离哪都挺近的', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '房间比较潮', 'star': 4}
{'descr': '没有电梯，楼道里有味道，房间很不错。', 'star': 4}
{'descr': '破的不能再破', 'star': 3}
{'descr': '酒店设施比较旧，空调遥控还要统一分发，晕死', 'star': 3}
{'descr': '还可以，房间有点小，很干净', 'star': 3}
{'descr': '交通方便，服务周到，环境不错', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好环境还可以。唯一不足就是床有点软', 'star': 3}
{'descr': '隔音不好，离歌厅进，服务员态度不好，房间潮湿，屋里电器不好使，水也不热!', 'star': 3}
{'descr': '挺好  很不错  干净  早餐还是免费的  环境很好  装修也不错', 'star': 5}
{'descr': '专门冲着圆床去的 房间比较小但是床的舒适度还不错 如之前其他客人所说 电梯一出来就是房间 洗手台就在房间里 洗澡是大的花洒 不过排水比较慢 没有餐厅 需要早餐提前告诉前台第二天早餐会直接挂在门上 比较奇怪的是拖鞋是要钱的 这是第一次碰到 不要钱的拖鞋是浴池里的那种 洗澡完湿湿的根本没办法在房间里穿啊 不得不用付费的那种 马桶有个什么坐垫 朋友直接拆开了也没有看到是要付费的。。。突然觉得怎么各种都要', 'star': 5}
{'descr': '房间太小，价格还高。和如家相比 哎。没法比。唯一优点就是有免费早餐。', 'star': 1}
{'descr': '环境一般，就是交通便利。到火车站和长途客运站打车起车价', 'star': 5}
{'descr': '很好舒适和心意', 'star': 3}
{'descr': '还好了，只是打不进电话去，但是感觉还是物有所值的。', 'star': 5}
{'descr': '有点小', 'star': 3}
{'descr': '房间太小，电脑要付费，用自己电脑连放置的地方都没有，且网线超短', 'star': 3}
{'descr': '房间时尚舒适，服务态度很好！酒店安静，网速极佳，适合出差人士，推荐！', 'star': 5}
{'descr': '房间很大很宽敞，还有鱼和花，很好有网线，但是收费，带电脑就要268有点不值，电脑的加个电脑的费就行了，没必要另收费加100有点高了，但还是推荐，环境真的很好', 'star': 5}
{'descr': '整洁  设施齐全  麻雀虽小 五脏俱全', 'star': 3}
{'descr': '出了房间小点外其他还好，性价比较高。早餐简单了些。', 'star': 5}
{'descr': '房间太小，价格不合理，两个人都转不开身，早餐竟然糊弄用饮料和小面包', 'star': 1}
{'descr': '不好上网还收费！电脑也不好！', 'star': 3}
{'descr': '环境还好 洗澡的地方是冷水诶 服务态度~还好吧  情侣住 有点小了这个床', 'star': 3}
{'descr': '就是感觉房间太小 不过还可以 环境挺好的  ', 'star': 5}
{'descr': '房间太小，建筑面积都不一定到15米，店家服务还可以,洗手盆竟然在房间里（不在卫生间）不可思议', 'star': 1}
{'descr': '冬天入住的，暖气很热，临着一个街口，看着外面银色的街景很舒服。 卫生尚可，有外卖可叫，有网络。还算不错', 'star': 5}
{'descr': '房间格局摆放过于紧凑不舒展，没设餐厅还承诺早餐不厚道。', 'star': 1}
{'descr': '还好，这次没在电梯边上。还好，还好。值得推荐', 'star': 5}
{'descr': '还不错的~~隔音不太好，服务还是很不错的。', 'star': 5}
{'descr': '还好，这次不是在电梯边上，卫生条件可以，不错，值得推荐。', 'star': 5}
{'descr': '条件还可以就是太小了，没有挂衣服的柜子且房间靠电梯。', 'star': 3}
{'descr': '+还不错', 'star': 5}
{'descr': '房间的设施非常丰富 而且还有好多商品价格还算比较合理 电视的频道特别的多 而且好多节目让人喜欢 就是电视遥控器有点太旧拉 都看不清楚按健拉！还是一个比较相当不错的宾馆拉', 'star': 3}
{'descr': '房间环境还不错哦！附近吃玩也方便啊！打车到酒店才起价费就好拉', 'star': 5}
{'descr': '环境不错。就是房间小了点', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': ';就是房间有点小其他都OK 位置也很好........', 'star': 5}
{'descr': '房间有点小，设施卫生不错，但没有停车的地方', 'star': 5}
{'descr': '位置好方便出行,不过卫生和设施条件一般,最不好的就是服务,很平淡,也不热情.我本人不是很推荐这家酒店.', 'star': 1}
{'descr': '还好', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '还是可以住的 离车站 商场 超市都挺进的。就是房间有点小。', 'star': 5}
{'descr': '房间面积有些小。配置硬件设施还是比较齐全达标的。', 'star': 5}
{'descr': '硬件环境很好，只是电脑还要加十块钱使用费。服务态度很不好，黑龙江这边的小宾馆都这样。', 'star': 5}
{'descr': '宾馆在市区中心位置极佳,交通尤为方便,房间设施温馨卫生,价格合理,是住宿首选!', 'star': 5}
{'descr': '位置很好在佳木斯中心地带出行交通方便。', 'star': 5}
{'descr': '价格在当地没有什么竞争力，卫生还可以。', 'star': 5}
{'descr': '这家酒店在禧龙商务里面不算是条件好的，我之前入住的条件都比这家好。但是在佳木斯酒店也不是很发达，还是可以考虑入住的。', 'star': 5}
{'descr': '房间面积有些小，住着有些压抑，房间卫生一般，因为安排的房间靠近电梯附近，晚上睡觉有些吵，价格偏高了些。', 'star': 5}
{'descr': '位置很好房间干净下次还会入住', 'star': 5}
{'descr': '作为经济实惠的酒店，性价比高，像到家了一样，要是有餐厅就更加完美了。', 'star': 5}
