{'短评内容': '早餐怎么样', '短评打分': 4}
{'短评内容': '网速不好，电视频道只有本地的跟中央的。其他还好吧，洗漱用品配的不全，好在浴巾挺干净的。', '短评打分': 5}
{'短评内容': '挺好的  床挺大有窗户房间布局都不错洗手间挺干净的觉得房间也没有异味总体来说还不错附近东西挺多地理位置不错', '短评打分': 5}
{'短评内容': '服务态度差差', '短评打分': 1}
{'短评内容': '虽然出现点问题。客服很快给解决了', '短评打分': 5}
{'短评内容': '离山大洪楼校区很近，周围饭店很多，离银座大润发都很近，出行便捷，酒店比较旧，房间也是，好处就是方便。房间选的很安静，不吵，所以，总体满意', '短评打分': 4}
{'短评内容': '垃圾酒店，你已经被消防大队查封，正门关门，电话打不通，携程网还帮你们继续卖房间，等待40分钟后回复从侧门进入，这种垃圾酒店为啥还能住，为啥还能住，欺骗消费者。', '短评打分': 1}
{'短评内容': '京东服务没的说 绝对很棒', '短评打分': 5}
{'短评内容': '酒店装修比较旧 还能看到原先酒店的名字 床头灯什么也坏了 但是价钱便宜 附近很方便 晚上夜市热闹', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可能是我点子背吧 洗发水 沐浴露 到我就没有了', '短评打分': 4}
{'短评内容': '差评', '短评打分': 3}
{'短评内容': '位置很好在市中心，附近很繁华，饭店也多。离洪家楼教堂很近，离山东大学也不远。不过晚上的噪音比较大，不是很舒适，房间的灯光也不好', '短评打分': 5}
{'短评内容': '还不错，离山大洪楼校区蛮近的，来考试还算方便，前台姐姐态度也很好～', '短评打分': 5}
{'短评内容': '一般吧，酒店前台服务不怎么样', '短评打分': 4}
{'短评内容': '帮朋友订的，挺好的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还好，就是贵了点', '短评打分': 5}
