{'短评内容': '环境可以，价格便宜。。。。', '短评打分': 5}
{'短评内容': '垃圾酒店 没入住不退钱', '短评打分': 1}
{'短评内容': '好！太实惠了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '杯子有些脏，其他的都还好。建议对睡眠环境要求比较的人慎重入住，因为在高架桥下面，所以比较吵～', '短评打分': 4}
{'短评内容': '还不错，七点后凭身份证可以领睡前牛奶哦', '短评打分': 5}
{'短评内容': '价格很低，预算比较充足，很好的酒店', '短评打分': 5}
{'短评内容': '好，出差住挺好的，方便。。。。', '短评打分': 5}
{'短评内容': '早上有车可以送去机场，凌晨4点就起床了。大巴5点准时去机场，很方便。', '短评打分': 5}
{'短评内容': '好像某宝更便宜，被携程骗了，位置蛮偏，好在有', '短评打分': 4}
{'短评内容': '太偏僻了', '短评打分': 4}
{'短评内容': '非常喜欢', '短评打分': 5}
{'短评内容': '住宿条件实在一般，但配有接送机，还行。', '短评打分': 4}
{'短评内容': '设施一般，服务态度一般', '短评打分': 3}
{'短评内容': '不是我住的 帮家里人订的 不太了解', '短评打分': 5}
{'短评内容': '一般吧，主要是为了赶早机的，房间还是挺大的，就是位置太偏了，下了地铁没出租车，只能坐黑车，不过早上有专门去机场的车，还是挺方便的，就是一个下地铁坐黑车，还想挺害怕的', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '非常不错，值得推荐', '短评打分': 5}
