{'短评内容': '价格实惠，安静，每次来喀什都选择他家，附近夜景很美', '短评打分': 5}
{'短评内容': '不错，挺好的，干净舒适', '短评打分': 5}
{'短评内容': '住了几次了，物美价廉！', '短评打分': 5}
{'短评内容': '环境不错，价钱合适！值得表扬', '短评打分': 5}
{'短评内容': '性价比超高！住了好多次了！每次出差都在这住', '短评打分': 5}
{'短评内容': '性价比超高！房间特别大，前台服务特别好，价格还便宜，比垃圾如家不知道好多少倍！', '短评打分': 5}
{'短评内容': '很好的店，性价比好', '短评打分': 5}
{'短评内容': '空间大，舒适，就是房间太热', '短评打分': 5}
{'短评内容': '在携程网上订的，结果到店没订单，前台服务人员态度差', '短评打分': 4}
{'短评内容': '一住就是三天。喜欢。团购不贵。', '短评打分': 5}
{'短评内容': '还好，下次还会再来。', '短评打分': 5}
{'短评内容': '一天了，没有热水。。。。。。。。。', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境安静，房间整洁，服务态度好，感觉不错', '短评打分': 5}
{'短评内容': '房间装修有些过时，但房间很大，无线信号不错，速度可以。房间比较干净，隔音也很好。比较满意。', '短评打分': 4}
{'短评内容': '每次来出差都住这！不错', '短评打分': 5}
{'短评内容': '感觉还好！', '短评打分': 3}
{'短评内容': '条件还不错', '短评打分': 4}
