{'短评内容': '很好的体验', '短评打分': 5}
{'短评内容': '酒店离老龙头景区很近，步行5分钟就到了，非常方便，酒店的环境也不错，自带一个后花园，性价比超高，赞一个', '短评打分': 5}
{'短评内容': '还可以，价格合适，房间里的空间算是大的。离海边超级近，到老龙头也就五分钟，只是装修有点老，前台的服务员不是很热情', '短评打分': 5}
{'短评内容': '位置较好，酒店比较旧。', '短评打分': 4}
{'短评内容': '早餐便宜，简单，有一个后花园很好，房间隔音效果不好，床硬舒服！WIFI不行，总体来说房子时间长了，好多设备老，但性价比高', '短评打分': 5}
{'短评内容': '省事', '短评打分': 3}
{'短评内容': '自驾，有院车位足。老龙头景点非常进近，步行就行。酒店有餐厅，周边吃饭不方便得1、2公里。不足是床垫太硬，是不是离海边近，好像是棕垫。', '短评打分': 5}
{'短评内容': '酒店距离老龙头景区大概500米吧，位子是非常好，酒店的园林也不错，就是卫生差。', '短评打分': 3}
{'短评内容': '酒店环境很好，免费停车很方便。老龙头景区、阳光海水浴场都可以步行去游玩。去山海关等景区的公交车站在酒店门口不远，非常方便。', '短评打分': 5}
{'短评内容': '房间干净  肃静  离景点较近  ', '短评打分': 5}
{'短评内容': '酒店值得推荐。地理位置太好了，距离老龙头步行不到十分钟。酒店很幽静，房间也干净。我最喜欢酒店的后花园，有池塘，还种着丝瓜和葫芦，很漂亮，在里面走一走很舒服。酒店的服务也很好，我们一家四口，入住家庭房，因为两张床并在一起中间有缝隙，所以又找前台要了套被褥，前台很快就给我取出。酒店的问题是设施有些老化了，一是卫生间的地漏的下水有些慢；二是房间屋顶受潮掉皮了。最好还是维修一下。总之，以后有机会我还会入住', '短评打分': 5}
{'短评内容': '除了WiFi不好使 貌似也没别的坏处 环境挺好 离老龙头和海边很近 步行即可', '短评打分': 5}
{'短评内容': '环境好，有一个很大的后花园，小桥流水，鸡鸭鹅嘻戏，还有很多的花，瓜果蔬菜，孩子开眼界。', '短评打分': 4}
{'短评内容': '距离景区非常近，酒店院子特别大方便停车，晚上还有烧烤夜市，酒店走廊很宽敞', '短评打分': 5}
{'短评内容': '去老龙头旅游住这里非常方便很近，几分钟就可以到达老龙头景区；老酒店设施比较旧，价格便宜，性价比比较高', '短评打分': 5}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '酒店环境很好，服务员态度也不错，就是房间有点潮湿，位置也不错。一楼的餐厅味道很不错。', '短评打分': 5}
{'短评内容': '，住宿环境一般，前台服务一般。', '短评打分': 3}
{'短评内容': '端午节入住，酒店服务很热情，离老龙头很近，他家餐厅家常菜味道做得不错', '短评打分': 5}
{'短评内容': '吃饭很不方便，买东西也不方便。早餐7：30之前才有品种也非常少，周边一个便利店都没有。。。 房间很潮，厕所看起来没有7天干净', '短评打分': 1}
