{'短评内容': '能', '短评打分': 5}
{'短评内容': '这个酒店服务很差，态度恶劣，设施很烂。', '短评打分': 1}
{'短评内容': '就是一垃圾酒店，千万不要入住，除非没有地方住了。首先，房间很一般，然后厕所卫生间卫生很一般，甚至看起来还有点脏。然后最糟糕的是房间的灯光，太暗了，感觉整个房间都是黑的，然后没有一次性拖鞋，没有饮用水，总之就是非常后悔预定，可惜不能退。图片这个东西，真的不能相信。', '短评打分': 2}
{'短评内容': '12月淡季，没几间人住。帮老板在卫生间踩死一只蜈蚣 ，住的房间卫生间墙上有一方洞，不知为啥只用报纸堵住一半。洗漱用品太低档。', '短评打分': 2}
{'短评内容': '还算不错。旅馆虽小，该有的都有了，这个时候，算是物美价廉。', '短评打分': 5}
{'短评内容': '挺干净的，位置也挺好，安静，来厦门待了三天，很充实，也很慢节奏，吹吹海风，坐坐船，发发呆，吃点喝点，很惬意…', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不太好，价位高，设施陈旧，但服务挺好。', '短评打分': 3}
{'短评内容': '房间不错，环境也挺好。', '短评打分': 5}
{'短评内容': '好的呀，前台服务周到细心。。。。', '短评打分': 4}
{'短评内容': '环境不错，推荐给了朋友', '短评打分': 5}
{'短评内容': '没有去成，退房不让', '短评打分': 4}
{'短评内容': '环境很好，', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '前台服务态度好好，房间很温馨，有家的感觉。推荐', '短评打分': 5}
{'短评内容': '非常好，全五分！房间非常大，布局宽敞舒适，务注重个性，待客细致入微，人性化的服务氛围，成就了该酒店的独特魅力，企业以营造高品质的餐饮文化环境、持续创新的优质服务和品牌化的经营格局。', '短评打分': 5}
{'短评内容': '地方很好找，情侣住很温馨，服务也很好，还会告诉你岛上的交通攻略很棒！以后还会定这里！', '短评打分': 5}
{'短评内容': '对于私人酒店也没什么大的要求，房间挺大！下水道不是特别好用！酒店早饭也太不给力了，外带的豆浆和包子，包子还那么难吃！', '短评打分': 4}
{'短评内容': '服务还可以值得推荐的哦，呵呵呵额呵呵呵', '短评打分': 3}
{'短评内容': '家里有急事，临时行程改变，提前好几天居然退不了，携程太坑！', '短评打分': 1}
{'短评内容': '出行方便，但是入住晚上漏水了，出了点插曲，马上联络修好了，服务还好', '短评打分': 4}
{'短评内容': '环境和服务态度还是可以的，就是上面说送的小吃什么的有点匡人的意思哦！', '短评打分': 5}
{'短评内容': '性价比太底了！', '短评打分': 3}
