{'descr': '，挺好，就是正在装修，有点乱。', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '位置离北京站较近，服务态度较好,房间各项设施较好', 'star': 5}
{'descr': '房间不大没有窗户但很干净。看了那么多周围宾馆的评价都说卫生不好，这个着实超乎我的想象。唯一缺点就是房间隔音太不好，隔壁说话声大一点就会听得很清楚。早晨有点儿吵。', 'star': 3}
{'descr': '房间挺大，床很舒服，窗户在门廊里，因此隔音差，走道很长很长，像迷宫似的，一楼没有电梯，对于有行李的客户还要自己吃力的搬上二楼，这点挺不给力的。', 'star': 1}
{'descr': '很温馨。下次会再来。这次下大雨，广渠门桥北淹！', 'star': 5}
{'descr': '价格还可以，就是无窗的房间太潮湿，还有这个北京广渠门富力城店不是北京广渠门店。现在里面还在装修，到处不清爽！电梯还在2楼，郁闷！', 'star': 1}
{'descr': '房间大，干净', 'star': 3}
{'descr': '部分房间还在装修，上次住了一间刚刚装修好的，还可以吧就是比第一次住的大床间小了些，比较压抑，隔音效果不如之前。刚刚发现一个星期涨了10元钱，不过前台服务很好！值得推荐', 'star': 5}
{'descr': '房间很小，设施老化，房间灯光不好。失望！', 'star': 3}
{'descr': '  交通方便 环境也行 就是潮湿', 'star': 3}
{'descr': '房间之间隔音效果不是很好，其他基本满意，住了五天价格都一样，建议酒店可以适当优惠。', 'star': 5}
{'descr': '挺好的。干净，卫生，没有异味。', 'star': 3}
{'descr': '环境还好，交通也比较便利。只是我在网上订的是家庭房最后却没房，只好住双标。有点郁闷。服务还算可以吧。', 'star': 5}
{'descr': '环境还不错，卫生、干净、就是电视太差。住过几次了总的来说还行吧！', 'star': 5}
{'descr': '地点好 酒店稍旧 我老公说以后可以考虑继续入住', 'star': 5}
{'descr': '总的来说这里还是挺好的，首先因为离朋友工作的地方比较近，所以才选择这里，但刚进屋的时候，因为屋子里没窗户，还是味道挺重的，但是我开了换气能好一点了。隔音效果也一般，但是这里其它方面做得还都不错，态度也行，环境也挺好。', 'star': 5}
